pc1,pc2,pc3,pc4,pc5,pc6,macro
0.9451764418453732,0.36230964384669434,-0.3358507887848839,0.5806766991997864,-0.5957695016522571,-0.31576977350021385,0
-0.2604983656622242,-0.5633779436539164,-0.07219510694394282,0.11577291552301325,0.5266388262014129,0.027770139906515407,0
0.5242642451556185,-1.1910639554360174,-0.4272243735934104,-0.7987763139189056,0.1767911707633706,0.03643170702968626,0
-0.6551739182965797,-0.35894127003130866,1.5570693079577267,2.0339528765665,0.010260255689204151,0.01724715147000425,0
-0.21258458150867807,-0.6597603782635076,0.4996465419930046,-0.5690498717363752,-0.23354321414168006,0.14989941773678156,0
4.8750712890156205,3.4828407634360525,1.1761093536430836,0.1471098235134068,0.252892033700852,-0.46028667448988464,0
6.7641402144375045,3.478262244267384,-4.935959854980059,-3.2661300998753324,0.08460916735796033,0.7920808699361673,1
57.747167721281116,42.83956650582253,15.032674983976394,7.304028660406812,17.71458048238988,69.70334395472685,3
0.29784376561229936,0.39943860251587665,-2.5099225728173167,3.0690334280860756,-0.6564444468344202,0.05591100487167743,0
2.680094681807177,-0.3346467407904543,-9.257262110977177,9.169043909712927,-2.5234725410668766,0.44391984967938497,0
0.3719255058995699,-0.146912521466876,-1.7970997423677935,-0.8746610132801851,-0.525252037255217,0.10536701424657938,0
12.744370510397403,7.101768292085865,2.7156123148482143,0.3416098942194175,1.6175510726561138,3.0813861987994575,1
2.769561260683892,-3.8330182245778213,-0.8327808240233194,0.11034896824478008,1.6273606809974994,-0.24165853283191494,0
-0.9626915245202445,-0.17112146223710253,1.5940562749908793,-1.2743223574798013,-0.31060410391954973,0.2189978237610903,0
-1.3538630141456103,0.8101567735481664,0.08912257268484128,-0.0553604621494501,0.48867686434701624,0.06531041296175534,0
1.4352290376078245,-2.5624593175293646,-0.02047111745473092,-0.17348726814663748,0.6767557257308318,-0.0669741875537431,0
-0.944260828255411,0.10846730170843287,0.6748340987923795,0.03537895567483816,0.1667607999418415,0.10118139304658073,0
