Date,Open,High,Low,Close,r_cc,r_overnight,r_intraday,r_range,yz_var,log_yz,parkinson_var,gk_var,rs_var,rv_1,rv_5,rv_21,hv_10,hv_22,hv_100,target_yz_1,target_yz_5,target_yz_21,log_yz_jump,target_jump_1,target_jump_5,target_jump_21,vov_21,gap_abs,jump_flag,vdi,rsi_s,pde,fdi,srs,sai
1965-06-04,1120.530029296875,1120.530029296875,1120.530029296875,1120.530029296875,-0.0095832312866011,-0.0095832312866011,0.0,0.0,9.183832189249128e-05,-9.295480886747786,0.0,0.0,0.0,9.183832189249016e-05,0.0009806261601801,0.0018345646997916,0.0135475172300974,0.009390904864518,0.0098884852488342,-10.450885837006874,-10.078517675392549,-8.931797089795834,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604,,,1,,,8.289306334778562e-11,,,10.67774464183174
1965-06-07,1114.52001953125,1114.52001953125,1114.52001953125,1114.52001953125,-0.0053779773336306,-0.0053779773336306,0.0,0.0,2.8922640201045143e-05,-10.450885837006874,0.0,0.0,0.0,2.892264020104449e-05,0.0008175534159506,0.0018629148624005,0.0134446259853573,0.0092050027241747,0.0098778621336378,-10.769301990407175,-9.654255828268234,-8.940828768841591,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604,,0.0053779773336306,1,,,8.289306334778562e-11,,,28.2669003244792
1965-06-08,1109.4200439453125,1109.4200439453125,1109.4200439453125,1109.4200439453125,-0.0045864406237459,-0.0045864406237459,0.0,0.0,2.103543759514738e-05,-10.769301990407175,0.0,0.0,0.0,2.1035437595146684e-05,0.0008268546577106,0.0018839377949627,0.0133208317225779,0.0092174592189112,0.0098378398601042,-9.839565148541938,-9.41189760403534,-8.91876221766954,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604,,0.0045864406237459,1,,0.0024983953314276,8.289306334778562e-11,1.7499848950372836e-05,,39.30769753008016
1965-06-09,1101.3499755859375,1101.3499755859375,1101.3499755859375,1101.3499755859375,-0.0073007179696896,-0.0073007179696896,0.0,0.0,5.3300482872949946e-05,-9.839565148541938,0.0,0.0,0.0,5.330048287294864e-05,0.0003099570528068,0.0019358510731257,0.0133617543485305,0.0092698054377801,0.0097934523515589,-9.208258633079552,-9.455300591396558,-8.937615146276789,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604,,0.0073007179696896,1,,0.0025703560029329,8.289306334778562e-11,1.495264501094829e-05,,5.815276528176343
1965-06-10,1090.3800048828125,1090.3800048828125,1090.3800048828125,1090.3800048828125,-0.0100104140634611,-0.0100104140634611,0.0,0.0,0.0001002083897219,-9.208258633079552,0.0,0.0,0.0,0.0001002083897219,0.0002953052722835,0.0020027290713782,0.0128828084780738,0.0093673337456173,0.0098243328784348,-11.960623064130692,-9.608297055376427,-8.96406649661252,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604,0.6902819613758301,0.0100104140634611,1,,0.0026051910256425,8.289306334778562e-11,1.7902640872716514e-05,,2.946911632410465
1965-06-11,1093.1400146484375,1093.1400146484375,1093.1400146484375,1093.1400146484375,0.0025280384066711,0.0025280384066711,0.0,0.0,6.390978185604203e-06,-11.960623064130692,0.0,0.0,0.0,6.390978185604153e-06,0.0002098579285766,0.0020037288836574,0.0114457341648186,0.0094158842972692,0.0098261262887275,-8.875122242011734,-8.667343518172343,-8.91295110584762,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604,1.0393221442834908,0.0025280384066711,1,,0.0045918433145405,8.289306334778562e-11,2.6253347162568852e-05,,32.83658457992015
1965-06-14,1080.2900390625,1080.2900390625,1080.2900390625,1080.2900390625,-0.0118247424545691,-0.0118247424545691,0.0,0.0,0.0001398245341168,-8.875122242011734,0.0,0.0,0.0,0.0001398245341168,0.0003207598224925,0.0020774765732692,0.0111348228034733,0.0095467938281025,0.0098479513986342,-9.12412591636002,-8.819589455819333,-8.94976263702915,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604,1.0824884262330323,0.0118247424545691,1,,0.0062186662389904,8.289306334778562e-11,3.152883108652967e-05,,2.2940167276405306
1965-06-15,1069.0699462890625,1069.0699462890625,1069.0699462890625,1069.0699462890625,-0.0104404983523551,-0.0104404983523551,0.0,0.0,0.0001090040058455,-9.12412591636002,0.0,0.0,0.0,0.0001090040058455,0.0004087283907429,0.0021848459396366,0.0114851768263842,0.0096157488228293,0.0098107209922683,-10.233661741699152,-8.24666824537433,-8.976068770105025,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604,1.0550704050529558,0.0104404983523551,1,,0.0055280345051652,8.289306334778562e-11,3.2763472267554014e-05,,3.7496639121002495
1965-06-16,1062.6800537109375,1062.6800537109375,1062.6800537109375,1062.6800537109375,-0.0059949916414229,-0.0059949916414229,0.0,0.0,3.593992478073158e-05,-10.233661741699152,0.0,0.0,0.0,3.593992478073044e-05,0.0003913678326506,0.0022184626038659,0.0069301025918759,0.0096202800861995,0.0098196924445178,-10.0158477472232,-8.172192490533785,-8.964209508052136,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604,0.991756703390636,0.0059949916414229,1,,0.0053927185308861,8.289306334778562e-11,3.023156104037797e-05,,10.889500302208075
1965-06-17,1055.5999755859375,1055.5999755859375,1055.5999755859375,1055.5999755859375,-0.0066847672566013,-0.0066847672566013,0.0,0.0,4.4686113274929095e-05,-10.0158477472232,0.0,0.0,0.0,4.468611327492888e-05,0.0003358455562036,0.0022312630988336,0.0040992950281436,0.0096314441130811,0.0098316684381571,-7.540515010896255,-8.204191855241453,-8.920013715516067,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604,0.9351353430319052,0.0066847672566013,0,,0.0048701693180297,8.289306334778562e-11,2.8398170711031572e-05,,7.515658088714729
1965-06-18,1080.2099609375,1080.2099609375,1080.2099609375,1080.2099609375,0.0230461279978575,0.0230461279978575,0.0,0.0,0.0005311240156936,-7.540515010896255,0.0,0.0,0.0,0.0005311240156936,0.0008605785937117,0.0027622384488275,0.0101988059293325,0.011184705744711,0.010137724601878,-10.909096721844422,-8.661634751314965,-9.129647934366192,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604,1.1518835396002876,0.0230461279978575,0,,0.0077063516848617,8.289306334778562e-11,3.737493511963022e-05,,1.6202968923699774
1965-06-21,1075.5999755859375,1075.5999755859375,1075.5999755859375,1075.5999755859375,-0.0042768078022661,-0.0042768078022661,0.0,0.0,1.8291084977524297e-05,-10.909096721844422,0.0,0.0,0.0,1.829108497752419e-05,0.0007390451445723,0.0027788950491931,0.0101841856977889,0.011171982498901,0.0101277594760635,-7.292519414627243,-8.222176755606032,-9.110835513920469,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604,1.1476334645427697,0.0042768078022661,0,,0.0106542849171105,8.289306334778562e-11,3.619990575951891e-05,,40.404661892707054
1965-06-22,1104.030029296875,1104.030029296875,1104.030029296875,1104.030029296875,0.0260885252205607,0.0260885252205607,0.0,0.0,0.0006806111481838,-7.292519414627243,0.0,0.0,0.0,0.0006806111481838,0.0013106522869106,0.0033961413665438,0.0138122680822276,0.012734768701237,0.0104656932200775,-8.893498534336288,-8.90028870633353,-9.40733016401419,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604,1.3081193253486831,0.0260885252205607,0,,0.0137266244367641,8.289306334778562e-11,6.726916983270129e-06,,1.925699113924824
1965-06-23,1091.1700439453125,1091.1700439453125,1091.1700439453125,1091.1700439453125,-0.0117165926009672,-0.0117165926009672,0.0,0.0,0.000137278542177,-8.893498534336288,0.0,0.0,0.0,0.000137278542177,0.0014119909043069,0.0034726890027651,0.0141214396880247,0.0128492726479672,0.0105180099701949,-15.336190415415247,-9.035324749866762,-9.451085781862536,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604,1.273172254584686,0.0117165926009672,0,,0.0176261157398482,8.289306334778562e-11,1.3113341947676212e-05,,10.285590680302825
1965-06-24,1090.6600341796875,1090.6600341796875,1090.6600341796875,1090.6600341796875,-0.0004675064112713,-0.0004675064112713,0.0,0.0,2.1856224457979125e-07,-15.336190415415247,0.0,0.0,0.0,2.1856224457976995e-07,0.0013675233532766,0.0034320162787413,0.0137572700603525,0.0127795423315308,0.0104750474664176,-10.444561080657412,-9.00626157223437,-9.427497623423324,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604,1.923099511516205,0.0004675064112713,0,,0.0174828528197997,8.289306334778562e-11,3.5326620457147257e-07,1.898631407050494,6256.877069636882
1965-06-25,1096.56005859375,1096.56005859375,1096.56005859375,1096.56005859375,0.0053950114523284,0.0053950114523284,0.0,0.0,2.910614857075485e-05,-10.444561080657412,0.0,0.0,0.0,2.9106148570754595e-05,0.0008655054861537,0.0032355704842919,0.0138448076643542,0.0128073843096139,0.0104704115564604,-7.609067646010027,-9.052344480986587,-9.28469003828286,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604,1.8614708458399836,0.0053950114523284,0,,0.0165394902645063,8.289306334778562e-11,4.324783079461873e-06,1.7394369185226084,29.736172558645357
1965-06-28,1072.4100341796875,1072.4100341796875,1072.4100341796875,1072.4100341796875,-0.022269576288322,-0.022269576288322,0.0,0.0,0.0004959340280613,-7.609067646010027,0.0,0.0,0.0,0.0004959340280613,0.0013431484292375,0.0034125021966836,0.0151907638564985,0.0132737464666041,0.0106756978433797,-10.860053863682063,-9.58823339613321,-9.462725959799643,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604,1.8942307376708645,0.022269576288322,0,,0.0194595284465548,8.289306334778562e-11,1.1121273186779292e-05,1.362801721564823,2.70832076552561
