Date,Open,High,Low,Close,r_cc,r_overnight,r_intraday,r_range,yz_var,log_yz,parkinson_var,gk_var,rs_var,rv_1,rv_5,rv_21,hv_10,hv_22,hv_100,target_yz_1,target_yz_5,target_yz_21,log_yz_jump,target_jump_1,target_jump_5,target_jump_21,vov_21,gap_abs,jump_flag,vdi,rsi_s,pde,fdi,srs,sai
1992-05-26,3386.800048828125,3386.800048828125,3356.43994140625,3364.199951171875,-0.0066953583416636,0.0,-0.0066953583416636,0.0090046661868314,2.896586046703948e-05,-10.449392612202878,2.9244875911766783e-05,2.322527119706945e-05,2.07945462683683e-05,4.482782332328436e-05,0.0001141669105545,0.0007213954641678,0.0051344054492294,0.0060654626740055,0.0068589258446839,-11.256065030508935,-10.387556711242686,-10.406124715101445,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604,,,1,0.168411075636784,,1.3861995211560991,,,2.5467867842785243
1992-05-27,3364.199951171875,3380.330078125,3360.070068359375,3370.39990234375,0.0018412238464855,0.0,0.0018412238464855,0.0060115335408028,1.292864574812394e-05,-11.256065030508935,1.30342214921094e-05,1.675968921331347e-05,1.784243933658989e-05,3.39010525286686e-06,7.536619036478871e-05,0.0006885940797695,0.0051091353943636,0.0058400876924857,0.0068057329535478,-10.54257151147752,-10.265224522544724,-10.375649402425363,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604,,0.0,1,0.167558514369144,,1.3862090145407486,,,22.231217768190877
1992-05-28,3370.39990234375,3398.429931640625,3368.6201171875,3398.39990234375,0.0082733011814856,0.0,0.0082733011814856,0.0088103404179983,2.6388782342735105e-05,-10.54257151147752,2.799625406335442e-05,1.2370161052417793e-05,4.722163808001283e-06,6.844751243957102e-05,0.0001422840995417,0.0007560211550775,0.0057809010529226,0.0058610976691504,0.0068490380749347,-10.446638052815546,-10.367871338017697,-10.393718040247238,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604,,0.0,1,0.8316893804905597,0.0074843297615746,1.3842309571332057,8.558112696540637e-06,,2.078732920916341
1992-05-29,3398.39990234375,3420.2099609375,3396.10009765625,3396.89990234375,-0.0004414816321506,0.0,-0.0004414816321506,0.0070741980985727,2.9045758644273152e-05,-10.446638052815546,1.8049658189990245e-05,2.494684826799804e-05,4.390831908114296e-05,1.949060315263577e-07,0.0001225941282861,0.0006981627638239,0.0052469303722162,0.0058723555378958,0.0068492594176671,-9.670075595039194,-10.5455934099253,-10.373081437727429,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604,,0.0,1,0.3691063945125371,0.0078944807789284,1.385829922896458,4.6018581739059125e-06,,628.9877144300016
1992-06-01,3396.89990234375,3413.469970703125,3373.030029296875,3413.199951171875,0.0047870311172915,0.0,0.0047870311172915,0.0119179017363972,6.314508069875542e-05,-9.670075595039194,5.122879591159786e-05,6.216599798751667e-05,8.386932416161004e-05,2.2915666917917108e-05,0.0001397760139651,0.0006611658592772,0.0049875505468008,0.0057549540777914,0.0068615474869155,-10.699359899597647,-11.117592821792586,-10.458170770188117,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604,0.5621322987261741,0.0,1,0.2030314536706621,0.0072279887715568,1.3861281461322006,8.775086086111904e-06,,6.099582803598455
1992-06-02,3413.199951171875,3420.469970703125,3392.72998046875,3396.10009765625,-0.0050225101961065,0.0,-0.0050225101961065,0.0081430586855507,2.255937255667916e-05,-10.699359899597647,2.39160623515616e-05,2.3410191993125565e-05,2.1185856983153262e-05,2.5225608669993757e-05,0.0001201737993118,0.0006391860393462,0.0050642198330855,0.0056943444843722,0.0068838025838221,-10.319688518494544,-10.673089909049107,-10.433762170887366,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604,0.5112121471911816,0.0,1,0.0531076366006756,0.007744299279925,1.3862851149350046,2.615485241679356e-06,,4.763960153349576
1992-06-03,3396.10009765625,3422.280029296875,3389.360107421875,3407.0,0.003204395500317,0.0,0.003204395500317,0.0096658594757473,3.29773845263525e-05,-10.319688518494544,3.369733082136308e-05,4.274789105649352e-05,4.467608083139114e-05,1.0268150522451835e-05,0.0001270518445814,0.0004929300489126,0.0047342530958833,0.0054744083919538,0.0068786509652313,-11.574484728796364,-10.678477235109376,-10.369656579762037,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604,0.4722212008921695,0.0,1,0.1576036312948373,0.0078247336826748,1.386204350602212,4.524785262888506e-06,,12.373390118327986
1992-06-04,3407.0,3410.10009765625,3392.469970703125,3399.699951171875,-0.0021449606062746,0.0,-0.0021449606062746,0.0051833840001692,9.402971184772669e-06,-11.574484728796364,9.690391321907413e-06,1.165645011652658e-05,1.1876788096867794e-05,4.6008560024699e-06,6.320518814435895e-05,0.0004667162754124,0.0047747902391218,0.0048583964675032,0.006866025251952,-12.573957480180374,-10.480625864015632,-10.375342557064323,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604,0.5830482974436412,0.0,1,0.1216130551213951,0.0074711083146629,1.3862520948620571,2.3967361629976925e-06,,13.737698891843024
1992-06-05,3399.699951171875,3403.10009765625,3392.469970703125,3398.699951171875,-0.0002941868738458,0.0,-0.0002941868738458,0.0031285486034778,3.46098347098017e-06,-12.573957480180374,3.530208532485342e-06,4.860475982545913e-06,5.1993300898295135e-06,8.654591674316467e-08,6.309682802957577e-05,0.0004579682513315,0.004499476673319,0.0046835787621296,0.0066159425552377,-12.050234288747474,-10.215229097875156,-10.215571515708914,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604,0.8495659959968518,0.0,1,0.211747255513712,0.0067685664918836,1.386184669139686,1.841337362800924e-06,,729.0476703730644
1992-06-08,3398.699951171875,3404.1298828125,3391.68994140625,3404.10009765625,0.0015876249720393,0.0,0.0015876249720393,0.0036610609529912,5.843185427654852e-06,-12.050234288747474,4.834242884277907e-06,5.728008219927979e-06,7.554844530346025e-06,2.520553051842788e-06,4.2701714163501445e-05,0.0004573121401034,0.0044706666810826,0.0046584127773955,0.0066084451788475,-9.654835703387558,-10.13273061380504,-10.18318929287773,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604,0.8881334209348227,0.0,0,0.1841805283774682,0.0062255937534393,1.3862064228877475,2.277839977783497e-06,,16.941399900661537
