Date,Open,High,Low,Close,r_cc,r_overnight,r_intraday,r_range,yz_var,log_yz,parkinson_var,gk_var,rs_var,rv_1,rv_5,rv_21,hv_10,hv_22,hv_100,target_yz_1,target_yz_5,target_yz_21,log_yz_jump,target_jump_1,target_jump_5,target_jump_21,vov_21,gap_abs,jump_flag,vdi,rsi_s,pde,fdi,srs,sai
1928-05-24,19.8700008392334,19.8700008392334,19.8700008392334,19.8700008392334,0.0060576074527989,0.0060576074527989,0.0,0.0,3.669460805220572e-05,-10.212880706003952,0.0,0.0,0.0,3.669460805220478e-05,0.0009411646861632,0.0018858457408874,0.0119412661879797,0.0094045792229231,0.0084212444218425,-12.993127738140831,-9.139000373287011,-8.479598527716828,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604,,,1,,,8.289306334778562e-11,,,25.648581916330578
1928-05-25,19.89999961853028,19.89999961853028,19.89999961853028,19.89999961853028,0.0015086137611839,0.0015086137611839,0.0,0.0,2.2759154804335457e-06,-12.993127738140831,0.0,0.0,0.0,2.275915480433433e-06,0.0008436378851162,0.0018360438585353,0.0115830357653943,0.0093852271911675,0.0084092285962243,-8.182066488133874,-8.84827850048008,-8.451216877193994,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604,,0.0015086137611839,1,,,8.289306334778562e-11,,,370.6805115078454
1928-05-28,19.56999969482422,19.56999969482422,19.56999969482422,19.56999969482422,-0.0167219467471903,-0.0167219467471903,0.0,0.0,0.0002796235030158,-8.182066488133874,0.0,0.0,0.0,0.0002796235030158,0.0009081906441289,0.0020005747381531,0.0121782070549402,0.0100344036994314,0.0085906705136388,-8.733291422936562,-9.327140460190028,-8.493944625390457,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604,,0.0167219467471904,1,,0.0113897770999946,8.289306334778562e-11,3.679110772499238e-05,,3.247905240746797
1928-05-29,19.81999969482422,19.81999969482422,19.81999969482422,19.81999969482422,0.0126937476905531,0.0126937476905531,0.0,0.0,0.0001611312304314,-8.733291422936562,0.0,0.0,0.0,0.0001611312304314,0.0008775034696809,0.0021490993203087,0.0133279653512163,0.010140493913761,0.0086017495804028,-9.412024051442458,-9.494682248367951,-8.502945167082965,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604,,0.0126937476905531,1,,0.0173984162125775,8.289306334778562e-11,1.1148464647107136e-05,,5.445893151102046
1928-05-31,20.0,20.0,20.0,20.0,0.0090407600495145,0.0090407600495145,0.0,0.0,8.173534227289774e-05,-9.412024051442458,0.0,0.0,0.0,8.173534227289743e-05,0.0005614605992528,0.0022285307345757,0.0128125562152697,0.0102901769675639,0.0086227573196932,-11.313488149692992,-9.717826046609988,-8.519109493412168,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604,1.8851880236564675,0.0090407600495145,1,,0.0139620590696928,8.289306334778562e-11,2.8953489030136084e-05,,6.869251131401003
1928-06-01,20.06999969482422,20.06999969482422,20.06999969482422,20.06999969482422,0.003493874048686,0.003493874048686,0.0,0.0,1.2207155868082167e-05,-11.313488149692992,0.0,0.0,0.0,1.22071558680815e-05,0.0005369731470687,0.0022343643974986,0.0128128351434997,0.0103074377144961,0.0085618870384492,-8.603586577646846,-9.337186029812427,-8.505306701943642,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604,1.7812915358537136,0.003493874048686,1,,0.0122790244559199,8.289306334778562e-11,2.759562456381867e-05,,43.98838753950508
1928-06-04,19.799999237060547,19.799999237060547,19.799999237060547,19.799999237060547,-0.0135442484344839,-0.0135442484344839,0.0,0.0,0.000183446665655,-8.603586577646846,0.0,0.0,0.0,0.000183446665655,0.0007181438972432,0.0023925080419302,0.0131577217496361,0.0107298135318362,0.0086465089419172,-11.9653050696726,-8.064430256394377,-8.48688333314767,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604,1.726815990102731,0.0135442484344839,1,,0.0130722074604616,8.289306334778562e-11,4.055011858569466e-06,,3.914728516674448
1928-06-05,19.850000381469727,19.850000381469727,19.850000381469727,19.850000381469727,0.0025221271826244,0.0025221271826244,0.0,0.0,6.361125525333175e-06,-11.9653050696726,0.0,0.0,0.0,6.3611255253328925e-06,0.0004448815197527,0.0021606397104326,0.0122049667750678,0.0106862925721431,0.0086437497103867,-9.28825462318213,-7.873388891869704,-8.466374109156266,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604,1.7544382643685497,0.0025221271826244,1,,0.0134999457685539,8.289306334778562e-11,6.579413436244495e-06,,69.93753668960677
1928-06-06,19.65999984741211,19.65999984741211,19.65999984741211,19.65999984741211,-0.0096179193931344,-0.0096179193931344,0.0,0.0,9.250437345283189e-05,-9.28825462318213,0.0,0.0,0.0,9.25043734528308e-05,0.0003762546627741,0.002183185308932,0.0116909886441105,0.0102695100083118,0.0086942728014207,-11.946121229352624,-7.529773347330026,-8.482585462281822,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604,1.6676493627239697,0.0096179193931344,1,,0.0133299583694545,8.289306334778562e-11,5.242314151100527e-06,,4.0674256217575655
1928-06-07,19.61000061035156,19.61000061035156,19.61000061035156,19.61000061035156,-0.0025464356249229,-0.0025464356249229,0.0,0.0,6.484334391876576e-06,-11.946121229352624,0.0,0.0,0.0,6.48433439187648e-06,0.0003010036548931,0.0021422941429399,0.0097604850211126,0.0100403846979589,0.0086868040102378,-8.79401244062277,-7.505972499297412,-8.481091249224516,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604,1.6795689900785222,0.0025464356249229,0,,0.0126345723026498,8.289306334778562e-11,6.943433369315667e-06,,46.42012429989276
