Date,p_change,expected_runlen,p_evt,TRS,regime
2008-02-14,1.0,0.0,0.0,0.03227809600360871,MEDIUM
2008-02-15,0.9935135819415912,0.0064864180584087,0.0,0.06417397806782602,MEDIUM
2008-02-18,0.9393288792378096,0.0606737206832995,0.0,0.09144977803554684,HIGH
2008-02-19,0.994219567875652,0.005821778799224,0.0,0.1284311939537256,HIGH
2008-02-20,0.9406769397956252,0.0598865854832874,0.0,0.152616565553863,HIGH
2008-02-21,0.8710315988978271,0.1354826918119172,0.0,0.17066572250399556,HIGH
2008-02-22,0.923412264449014,0.082532799420673,0.0,0.21006835515950742,HIGH
2008-02-25,0.9437299264187,0.0769379057792978,0.0,0.2449119628184159,HIGH
2008-02-26,0.9988153256911292,0.0021040363424219,0.0,0.2901888596825998,HIGH
2008-02-27,0.9991516821774538,0.0008531207567715,0.0,0.3225311318133968,HIGH
2008-02-28,0.8075225659487351,0.1926710415180929,0.0,0.2918587604481636,HIGH
2008-02-29,0.9999931322635656,1.1702427741360095e-05,0.0,0.3873347251563419,HIGH
2008-03-03,0.9999999999985328,1.4672695273937401e-12,0.0,0.4196152480463516,HIGH
2008-03-04,0.997540935217166,0.0024590647842375,0.0,0.45087935119579237,HIGH
2008-03-05,0.8075308540816221,0.1924693214984244,0.0,0.3979929742145758,HIGH
2008-03-07,0.999990371180369,1.712893718646559e-05,0.0,0.5164449992768003,HIGH
2008-03-10,0.9999997840722804,2.1592771973583495e-07,0.0,0.5487275239648115,HIGH
2008-03-11,0.999752558037493,0.0002474420451163,0.0,0.5808745658897215,HIGH
2008-03-12,0.9999984774908414,1.523945682279584e-06,0.0,0.6132829722089728,HIGH
2008-03-13,0.9999999960386246,3.961375449911811e-09,0.0,0.6455619177390898,HIGH
2008-03-14,0.99999603651123,3.963488769831982e-06,0.0,0.6455595857423806,HIGH
2008-03-17,0.9999999999882964,1.1703497376848472e-11,0.0,0.6455619200652812,HIGH
2008-03-18,0.9999718743766642,2.8125623335781448e-05,0.0,0.6455453552206298,HIGH
2008-03-19,0.9999999196527036,8.034729642815517e-08,0.0,0.6455618727509775,HIGH
2008-03-24,0.9990574281047514,0.0009425724489775,0.0,0.6450067442436129,HIGH
2008-03-25,1.0,0.0,0.0,0.6455619200721742,HIGH
2008-03-26,0.9955284611523952,0.0044715388476046,0.0,0.6429274622406043,HIGH
2008-03-27,0.9989217807282402,0.0010782230676544,0.0,0.6449268411467667,HIGH
2008-03-28,0.9998969632874594,0.0001032581595184,0.0,0.6455012352758251,HIGH
2008-03-31,0.9999999772164296,2.2783570495251544e-08,0.0,0.6455619066536044,HIGH
2008-04-01,0.9999656190477284,3.438095406613337e-05,0.0,0.6455416710757784,HIGH
2008-04-02,0.9999984269564884,1.5731904109439729e-06,0.0,0.6455609936152392,HIGH
2008-04-03,0.9806052195319108,0.0193949452566097,0.0,0.6341221966863868,HIGH
2008-04-04,0.9989665603895392,0.0010444370678326,0.0,0.6449532187944308,HIGH
2008-04-07,0.999942560175229,5.745559156996938e-05,0.0,0.6455280902681733,HIGH
2008-04-08,0.1622858275634855,0.8378868044171149,0.0,0.0069531150486137885,LOW
2008-04-09,0.629772241180372,0.4902292666004997,0.0,0.04224855777169939,MEDIUM
2008-04-10,0.9506686061691404,0.0602130203290359,0.0,0.030819945556927394,LOW
2008-04-11,0.8814774711028046,0.1267129393388772,0.0,0.05751466652321127,MEDIUM
2008-04-15,0.999848484714414,0.0001610528978815,0.0,0.09682090242942974,HIGH
2008-04-16,0.995479116482998,0.0045307689553839,0.0,0.12857967602941608,HIGH
2008-04-17,0.9048122210303644,0.0953031067407633,0.0,0.14727559324379888,HIGH
2008-04-21,0.999100396466054,0.001187970450584,0.0,0.19350961632330535,HIGH
2008-04-22,0.9274181882849668,0.0727484449606979,0.0,0.21090324214235376,HIGH
2008-04-23,0.8370844311808582,0.1665606259848734,0.0,0.21939343669690642,HIGH
2008-04-24,0.97279115344486,0.0317719744649628,0.0,0.28327664728239416,HIGH
2008-04-25,0.9999999868118358,1.3487130450296392e-08,0.0,0.32278095615244856,HIGH
2008-04-28,0.3363366612965656,0.6636709725317826,0.0,0.012168432768220794,LOW
2008-04-29,0.9990990873289368,0.0009893421048275,0.0,0.032251564163840736,MEDIUM
2008-04-30,0.2629900901069468,0.7412323801868654,0.0,0.009956953829856122,LOW
2008-05-02,0.9999999824644508,3.495802216854159e-08,0.0,0.03227809548722346,MEDIUM
2008-05-05,0.0410695506119448,0.9589380680038788,0.0,0.0033961859765629723,LOW
2008-05-06,0.0398171671235454,0.99561667009281,0.0,0.006719592299266101,LOW
2008-05-07,0.2139636065711729,1.5412908960835774,0.0,0.02546838133159462,LOW
2008-05-08,0.01498340487434,2.514673817656793,0.0,0.01055909123435559,LOW
2008-05-09,0.1866401894260864,2.376000122960523,0.0,0.038378758702651596,MEDIUM
2008-05-12,0.4603064130502028,1.112194482032992,0.0,0.09563757845957714,HIGH
2008-05-13,0.2334649952432654,1.257188257005316,0.0,0.06350453211487082,MEDIUM
2008-05-14,0.0059170932312891,2.280964943474263,0.0,0.019021184488513605,LOW
2008-05-15,0.9978663248228568,0.0069199548077392,0.0,0.03221525338209854,MEDIUM
2008-05-16,0.0020747042092764,1.1082542617196391,0.0,0.0022666770775855655,LOW
2008-05-20,0.0023159514465216,3.464743448815563,0.0,0.004547284740054838,LOW
2008-05-21,0.0248034371265111,5.765478486984266,0.0,0.00877241112269579,LOW
2008-05-22,0.7786120609778122,1.456738173174082,0.0,0.10263214630142617,HIGH
2008-05-23,0.0221624097142665,4.896770140876373,0.0,0.014238067881036279,LOW
2008-05-26,0.6094426084248754,1.761766900343766,0.0,0.12301444094798131,HIGH
2008-05-27,0.0293002366408188,3.1141128381843344,0.0,0.02138156038156774,LOW
2008-05-28,0.0024930523387649,6.253635335048552,0.0,0.01823004646378915,LOW
2008-05-29,0.1346856727701026,8.784597285576284,0.0,0.05523571775315749,MEDIUM
2008-05-30,0.0067826381734141,11.022386274556526,0.0,0.024026554882960457,LOW
2008-06-02,0.9507419270968542,0.6204785375603853,0.0,0.030822120727143965,LOW
2008-06-03,0.9167676489842292,0.2456616376689878,0.0,0.05962357379277941,MEDIUM
2008-06-04,0.9945492059762432,0.0060135084954608,0.0,0.09635254212457264,HIGH
2008-06-05,0.4005470026674874,0.6030457729459757,0.0,0.014117496468187685,LOW
2008-06-06,0.6443549438547399,0.529030148648065,0.0,0.04314023997881142,MEDIUM
