Date,rho,state_id,state,p_hmm_crisis,p_change,p_evt,macro,macro_norm,vov_21,vov_norm,vdi,vdi_norm
1997-12-17,0.00854273118949724,0,CALM,0.0006130400999116,0.0419473558225967,0.0,0,0.0,0.6796939964213291,0.0,0.211712122404246,0.0
1997-12-18,0.062150076658423196,0,CALM,0.0007771707435895,0.3049532751664634,0.0,0,0.0,0.6587375387787676,0.0,0.2358988556233557,0.009651289392331406
1997-12-19,0.2528772210367263,0,CALM,0.0057132427614668,0.999997759216912,0.0,0,0.0,0.6407028858652779,0.0,0.8837494179818808,0.5144935850297716
1997-12-22,0.0526548100299272,0,CALM,0.0042586191654685,0.2253778872518995,0.0,0,0.0,0.630324259104523,0.0,0.3071134426070137,0.06514577788180176
1997-12-23,0.00431660555135676,0,CALM,0.0030252656069676,0.0178014457480743,0.0,0,0.0,0.6327151409198972,0.0,0.2126444664378655,0.0
1997-12-24,0.1720854262207047,0,CALM,0.002229420032708,0.8279178428844642,0.0,0,0.0,0.621714427369513,0.0,0.2997978212465493,0.05944502635634847
1997-12-26,0.0027387026795184202,0,CALM,0.001612141602194,0.0048635969521206,0.0,0,0.0,0.7406268214173226,0.0,0.2410039593806323,0.013629478885458
1997-12-29,0.2158062877414828,0,CALM,0.0012502604982389,0.9714566648835176,0.0,0,0.0,0.7168754160756897,0.0,0.4955981882471375,0.21202389640219543
1997-12-30,0.19548083462721907,0,CALM,0.0010032189922284,0.9349437567203072,0.0,0,0.0,0.710061625401826,0.0,0.3292717296519763,0.08241278535100517
1997-12-31,0.19420029708660638,0,CALM,0.0009019747434132,0.9604823374707216,0.0,0,0.0,0.7071241000589576,0.0,0.2476177954284485,0.01878335906608736
1998-01-01,0.002470394862044875,0,CALM,0.0007068783985735,0.0114683763120075,0.0,0,0.0,0.7176971767950683,0.0,0.0840716411525362,0.0
1998-01-02,0.0032951676854127802,0,CALM,0.0005676799986912,0.0157662384286999,0.0,0,0.0,0.7735573267554057,0.0,0.209908650140375,0.0
1998-01-05,0.19291196090576562,0,CALM,0.0005050360015312,0.9185553535259006,0.0,0,0.0,0.7311034064576828,0.0,0.3399659206378512,0.09074631200202708
1998-01-06,0.08665703327043858,0,CALM,0.0004444643835588,0.3919171228296724,0.0,0,0.0,0.7402870825509934,0.0,0.3282606910123647,0.08162492608614402
1998-01-07,0.10741144755957595,0,CALM,0.0007541839572182,0.536114507851357,0.0,0,0.0,0.7200354800984656,0.0,0.1515862074591816,0.0
1998-01-08,0.2303260451340352,0,CALM,0.0034219766132128,0.9984950086667348,0.0,0,0.0,0.6710020019978492,0.0,0.6055639125617469,0.29771549247385043
1998-01-09,0.009071613932597537,0,CALM,0.0156890748363851,0.0257467261175063,0.0,0,0.0,0.6766654768288215,0.0,0.1872811329809637,0.0
1998-01-12,0.5277455880963674,1,WATCH,0.3109823523854695,1.0,0.0,1,1.0,0.6231505056882312,0.0,2.730018823366621,1.0
1998-01-13,0.11950441027881717,0,CALM,0.2360285801967731,0.2887810440130769,0.0,0,0.0,0.6255838842827992,0.0,0.2586888562157289,0.027410564270085033
1998-01-14,0.17422134219150842,0,CALM,0.1680526265176393,0.661040927810493,0.0,0,0.0,0.6456447998176954,0.0,0.167744593837357,0.0
1998-01-15,0.1939742419100278,0,CALM,0.118135715414719,0.8222015652817402,0.0,0,0.0,0.6712112395016074,0.0,0.2053684420381306,0.0
1998-01-16,0.023421008623766972,0,CALM,0.0827782883595383,0.013632182669412,0.0,0,0.0,0.6761217270196979,0.0,0.1820528029807106,0.0
1998-01-19,0.23793157834328044,0,CALM,0.0586504936895463,0.9999455742942313,0.0,0,0.0,0.7132117701752404,0.0,0.5222575516896135,0.23279840062047572
1998-01-20,0.023260331726758055,0,CALM,0.0412074682582767,0.0647923233109444,0.0,0,0.0,0.7006625966029248,0.0,0.0806636169827468,0.0
1998-01-21,0.012436240751992745,0,CALM,0.0288971255535973,0.0260597968179671,0.0,0,0.0,0.722707230965448,0.0,0.2069416867575359,0.0
1998-01-22,0.006272490821568745,0,CALM,0.0203002939540781,0.0059870866652461,0.0,0,0.0,0.7543372292573404,0.0,0.1192806360185632,0.0
1998-01-23,0.0042874457271206,0,CALM,0.0144214415521152,0.003410426695459,0.0,0,0.0,0.7768749281555116,0.0,0.0826241513203717,0.0
1998-01-27,0.23928026563856844,0,CALM,0.0118879005224664,0.99998718599418,0.0,0,0.0,0.7184506030033816,0.0,0.6894810457028295,0.3631085330911585
1998-01-28,0.1657929554221409,0,CALM,0.0096286547063311,0.8169289587277906,0.0,0,0.0,0.7495253292227666,0.0,0.0467207823356372,0.0
1998-01-29,0.17716552625170806,0,CALM,0.0074398293126917,0.8765278446176756,0.0,0,0.0,0.7520024739941816,0.0,0.2027701597057383,0.0
