Date,rho,state_id,state,p_hmm_crisis,p_change,p_evt,macro,macro_norm,vov_21,vov_norm,vdi,vdi_norm
2007-09-17,0.013306083474619663,0,CALM,0.0004751887021446,0.0502401270135539,0.0,0,0.0,0.8120254714134707,0.03139260896372733,0.0814691970696573,0.0
2007-09-18,0.23679908944159317,0,CALM,0.0005197654888248,0.9999937069883214,0.0,0,0.0,0.8375877181858392,0.06930023787727385,0.5222491614965642,0.29740382883995303
2007-09-19,0.2249252226556079,0,CALM,0.0004048674227713,0.9993341511465396,0.0,0,0.0,0.819088398531985,0.04186660300017786,0.4250146058548203,0.20770515270589351
2007-09-20,0.031140629616261566,0,CALM,0.0002903591119339,0.1078927901678092,0.0,0,0.0,0.8281705377677228,0.055334995155035684,0.2427428362777443,0.03955982289212681
2007-09-21,0.11573580258117402,0,CALM,0.0002114219039521,0.5604413554770664,0.0,0,0.0,0.8064663438397901,0.0231486800547106,0.2137327517783611,0.01279808004301633
2007-09-24,0.012527667134473463,0,CALM,0.0001552375568126,0.0035033223939162,0.0,0,0.0,0.8703478064945188,0.11788193266487072,0.1604968548957209,0.0
2007-09-25,0.06895009249569467,0,CALM,0.0001165228157755,0.2789667054803005,0.0,0,0.0,0.8583927898237714,0.10015319623393126,0.2335972198912303,0.0311230107229757
2007-09-26,0.018174198001066136,0,CALM,9.10446099553168e-05,0.004753502488806,0.0,0,0.0,0.9068462016601032,0.17200736350816107,0.1301323122775207,0.0
2007-09-27,0.07257389792018193,0,CALM,7.588852458788824e-05,0.2146461618458965,0.0,0,0.0,0.9161256409562396,0.18576834252131869,0.3196305631905555,0.11048859167723786
2007-09-28,0.13843232448202536,0,CALM,6.421331013503372e-05,0.588808254679811,0.0,0,0.0,0.907866269730976,0.17352007724735397,0.2356602209632974,0.033026124937940236
2007-10-01,0.22736745548621523,0,CALM,7.248311939882411e-05,0.9980977170823244,0.0,0,0.0,0.9302872491636306,0.20676935207753275,0.2763133592902045,0.07052856082147368
2007-10-02,0.012718714132174319,0,CALM,5.7583039235516e-05,0.0077097164773064,0.0,0,0.0,0.8608243954105139,0.10375915478159613,0.2083847895721841,0.007864595987445462
2007-10-03,0.0196263934117771,0,CALM,4.981851515895903e-05,0.0035176736728782,0.0,0,0.0,0.9183750017558192,0.1891040404841172,0.1677711336288561,0.0
