Date,rho,state_id,state,p_hmm_crisis,p_change,p_evt,macro,macro_norm,vov_21,vov_norm,vdi,vdi_norm
1988-02-23,0.24969159590114792,0,CALM,0.99716249824102,0.0020048567044646,0.0,0,0.0,0.7360282982424635,0.0,0.1653616117389446,0.0
1988-02-24,0.4927430504244614,1,WATCH,0.9940399160224592,0.9820401703357868,0.0,0,0.0,0.7118691928462464,0.0,1.2991236732225373,0.4782503735168926
1988-02-25,0.2545281516874097,0,CALM,0.9759983045032294,0.0526428778080117,0.0,0,0.0,0.7500802886594564,0.0,0.1897001930363761,0.0
1988-02-26,0.1791409126186526,0,CALM,0.7056142834318837,0.0020035547470193,0.0,0,0.0,0.8668592256355425,0.023366308112777897,0.0799361388131749,0.0
1988-02-29,0.35075120419277867,0,CALM,0.4943212219229821,0.999978989199102,0.0,0,0.0,1.0891984608227754,0.271751008722127,0.0921934078773133,0.0
1988-03-01,0.12213026833109798,0,CALM,0.3460256343316236,0.0314944311557796,0.0,0,0.0,1.1084428441695495,0.2932497351703617,0.1637537659022129,0.0
1988-03-02,0.3398367622173468,0,CALM,0.2422246475613766,0.9999998571847356,0.0,0,0.0,1.0849927479318306,0.2670526263768495,1.4047925610723837,0.5257536625237055
1988-03-03,0.08428874385158447,0,CALM,0.169558995331112,0.0678330663036472,0.0,0,0.0,1.099557752132934,0.2833238175807703,0.0703127239246778,0.0
1988-03-04,0.1789631218778357,0,CALM,0.1186948940005854,0.6069066278461642,0.0,0,0.0,1.0957595903657122,0.279080728084565,0.1977066744017108,0.0
1988-03-07,0.2503358618975665,0,CALM,0.0830917907353708,0.9940183440611698,0.0,0,0.0,1.121281594425006,0.30759245401489826,0.0423840213465785,0.0
1988-03-08,0.25736366107559505,0,CALM,0.0581667786442174,0.9998683408105916,0.0,0,0.0,1.1374775751939148,0.3256856791308906,0.4639455373659465,0.10279730339333286
1988-03-09,0.2806343291784536,0,CALM,0.0407180671889695,0.9999995395494355,0.0,0,0.0,1.1459065283680656,0.33510202442347303,1.0570956037935904,0.3694470202897679
1988-03-10,0.24102281172433088,0,CALM,0.0285070196813114,0.9985554730210618,0.0,0,0.0,1.1205184322792625,0.30673989283320996,0.3133776327105842,0.03510972916469642
1988-03-11,0.23921069341713047,0,CALM,0.0199644597991105,0.9975135349367774,0.0,0,0.0,1.0920172391840852,0.2748999869884616,0.3960361210535654,0.0722687278115117
1988-03-14,0.04226122894136592,0,CALM,0.0139751899424034,0.0192929177854063,0.0,0,0.0,1.1584263719935812,0.34908847898683804,0.0807083054151262,0.0
1988-03-15,0.0738495902481855,0,CALM,0.0097826429517987,0.1544671384737677,0.0,0,0.0,1.2085690516589995,0.40510501815482286,0.1859095517478065,0.0
1988-03-16,0.27746195812917634,0,CALM,0.0068479329619344,0.9999987645227836,0.0,0,0.0,1.2080397203453268,0.4045136794297479,1.0204844701061029,0.3529885404116122
1988-03-17,0.30159175252040643,0,CALM,0.0047935879987481,0.9999999806638152,0.0,0,0.0,1.210013076705211,0.4067182004996916,1.5637559040592903,0.597215393379872
1988-03-18,0.24773267361734927,0,CALM,0.0033556367826278,0.9985016722484134,0.0,0,0.0,1.2002141322073998,0.39577137911062427,0.404698574341259,0.0761629206094718
1988-03-21,0.23737944032106684,0,CALM,0.0023491444588418,0.9876742471089194,0.0,0,0.0,1.197351175972299,0.3925730478457247,0.0929318716270064,0.0
