Date,p_calm,p_crisis,p_calm_raw,p_crisis_raw,state,quality_flag
1962-01-02,1.0,1.285048000298102e-73,1.0,1.285048000298102e-73,0,OK
1962-01-03,1.0,8.995898962220597e-74,1.0,1.8765337796114713e-77,0,OK
1962-01-04,1.0,6.2971292735761365e-74,1.0,7.239676622486419e-85,0,OK
1962-01-05,1.0,4.407990491503295e-74,1.0,5.177453340623682e-90,0,OK
1962-01-08,1.0,3.0855933440523063e-74,1.0,1.0473530697751266e-91,0,OK
1962-01-09,1.0,2.1599153408366144e-74,1.0,3.0978846528037014e-96,0,OK
1962-01-10,1.0,1.51194073858563e-74,1.0,1.3268818636122327e-98,0,OK
1962-01-11,1.0,1.058358517009941e-74,1.0,4.742359922968627e-101,0,OK
1962-01-12,1.0,7.408509619069587e-75,1.0,2.0337404605489976e-103,0,OK
1962-01-15,1.0,5.18595673334871e-75,1.0,5.12255116173436e-100,0,OK
1962-01-16,1.0,3.630169713344097e-75,1.0,3.226212361655593e-100,0,OK
1962-01-17,1.0,4.1802289759542325e-75,1.0,5.463700588711217e-75,0,OK
1962-01-18,1.0,4.4019736135218513e-75,1.0,4.919377767846297e-75,0,OK
1962-01-19,1.0,3.0813816489790413e-75,1.0,3.9837915071800834e-82,0,OK
1962-01-22,1.0,2.2141613423384884e-75,1.0,1.906472935105319e-76,0,OK
1962-01-23,1.0,1.6777924555970573e-75,1.0,4.26265053200385e-76,0,OK
1962-01-24,1.0,1.6523362646667202e-53,1.0,5.507787548889067e-53,0,OK
1962-01-25,1.0,1.2428809284611606e-42,1.0,4.1429364281653144e-42,0,OK
1962-01-26,1.0,1.962116728506623e-42,1.0,3.640333595279369e-42,0,OK
1962-01-29,0.9999999922077225,7.792277439836645e-09,0.9999999740248317,2.5974258132788817e-08,0,OK
1962-01-30,0.7109919773237038,0.2890080226762962,0.03663994259377808,0.9633600574056734,0,OK
1962-01-31,0.49841861505405205,0.501581384945948,0.002414103089024421,0.9975858969084688,1,OK
1962-02-01,0.3489723500705333,0.6510276499294667,0.0002643984458306351,0.9997356015576773,1,OK
1962-02-02,0.24453142062988953,0.7554685793701105,0.0008359186014493417,0.9991640813982794,1,OK
1962-02-05,0.17127306524839492,0.8287269347516051,0.0003369026913348365,0.9996630973084262,1,OK
1962-02-06,0.11990115411922297,0.880098845880777,3.3361485747819546e-05,0.999966638515512,1,OK
1962-02-07,0.08395703205549887,0.9160429679445011,8.741390582418274e-05,0.9999125860931909,1,OK
1962-02-08,0.05879656996010174,0.9412034300398983,8.882506888070872e-05,0.9999111749291583,1,OK
1962-02-09,0.04117942611850112,0.9588205738814989,7.275715343980692e-05,0.9999272428452336,1,OK
1962-02-12,0.029325588031684502,0.9706744119683155,0.0016666324948988686,0.9983333675042207,1,OK
1962-02-13,0.020818990968318296,0.9791810090316817,0.0009702644857639258,0.9990297355128696,1,OK
1962-02-14,0.015115175811302506,0.9848848241886975,0.001806273781493467,0.9981937262217344,1,OK
1962-02-15,0.010835180684245715,0.9891648193157543,0.0008485253848581121,0.9991514746122203,1,OK
1962-02-16,0.0077790525160450485,0.992220947483955,0.000648086790575951,0.9993519132097568,1,OK
