Date,p_calm,p_crisis,p_calm_raw,p_crisis_raw,state,quality_flag
1988-04-08,0.0,1.0,2.1489172323513008e-45,1.0,1,LOW_CONFIDENCE
1988-04-11,0.0,1.0,1.1975040893266002e-37,1.0,1,LOW_CONFIDENCE
1988-04-12,0.0,1.0,1.0332085214411482e-37,1.0,1,LOW_CONFIDENCE
1988-04-13,0.0,1.0,7.394188186635703e-41,1.0,1,LOW_CONFIDENCE
1988-04-14,0.0,1.0,1.2650368179740986e-38,1.0,1,LOW_CONFIDENCE
1988-04-15,0.0,1.0,3.4096857851825026e-37,1.0,1,LOW_CONFIDENCE
1988-04-18,0.0,1.0,2.469940473818557e-37,1.0,1,LOW_CONFIDENCE
1988-04-19,0.0,1.0,1.1189807241852372e-37,1.0,1,LOW_CONFIDENCE
1988-04-20,0.0,1.0,7.011914199291708e-38,1.0,1,LOW_CONFIDENCE
1988-04-21,0.0,1.0,1.2698986975454627e-38,1.0,1,LOW_CONFIDENCE
1988-04-22,0.0,1.0,1.9318171959015258e-39,1.0,1,LOW_CONFIDENCE
1988-04-25,0.0,1.0,2.966314664677845e-39,1.0,1,LOW_CONFIDENCE
1988-04-26,0.0,1.0,2.212800502434711e-15,1.0,1,LOW_CONFIDENCE
1988-04-27,0.0,1.0,2.0823400257128046e-13,1.0,1,LOW_CONFIDENCE
1988-04-28,0.0,1.0,4.010583050785359e-27,1.0,1,LOW_CONFIDENCE
1988-05-02,0.0,1.0,1.067610599332639e-16,1.0,1,LOW_CONFIDENCE
1988-05-06,5.4569682106375694e-11,0.9999999999454303,1.8525778070564258e-10,0.9999999998181011,1,LOW_CONFIDENCE
1988-05-09,1.6163540506042295e-09,0.999999998383646,5.259382378513036e-09,0.9999999947394826,1,LOW_CONFIDENCE
1988-05-10,5.052420043427652e-05,0.9999494757995657,0.00016841022742311004,0.9998315897700452,1,LOW_CONFIDENCE
1988-05-11,9.485715400192607e-05,0.9999051428459981,0.00019830071097550606,0.9998016992876738,1,LOW_CONFIDENCE
1988-05-12,0.00021132717650884647,0.9997886728234912,0.00048309056244824844,0.9995169094376418,1,LOW_CONFIDENCE
1988-05-13,0.00014795669038381032,0.9998520433096162,9.221913901362476e-08,0.9999999077772415,1,LOW_CONFIDENCE
1988-05-16,0.0001036028136123246,0.9998963971863877,1.1043474979682977e-07,0.9999998895655214,1,LOW_CONFIDENCE
1988-05-17,0.00019282646326845843,0.9998071735367315,0.00040101498220626597,0.9995989850208675,1,LOW_CONFIDENCE
1988-05-18,0.0001352493513151476,0.9998647506486849,9.027537191987825e-07,0.9999990972432424,1,LOW_CONFIDENCE
1988-05-19,9.467454592071434e-05,0.9999053254540793,2.258046218992931e-14,1.0,1,LOW_CONFIDENCE
1988-05-20,7.641775649580573e-05,0.9999235822435042,3.381858190781513e-05,0.9999661814188293,1,LOW_CONFIDENCE
1988-05-23,6.961037015706939e-05,0.9999303896298429,5.3726471819294064e-05,0.9999462735313004,1,LOW_CONFIDENCE
1988-05-24,6.230660843065117e-05,0.9999376933915693,4.526449854468953e-05,0.9999547355022649,1,LOW_CONFIDENCE
1988-05-25,5.67806937867843e-05,0.9999432193062132,4.38868915216753e-05,0.9999561131070489,1,LOW_CONFIDENCE
1988-05-26,0.00020357567663753517,0.9997964243233625,0.0005460973059901669,0.9994539026967109,1,LOW_CONFIDENCE
1988-05-27,0.0005099365227765329,0.9994900634772235,0.001224778494725059,0.9987752215028993,1,LOW_CONFIDENCE
1988-05-30,0.0003569558038674092,0.9996430441961326,7.937302458487609e-10,0.9999999992069206,1,LOW_CONFIDENCE
1988-05-31,0.0002498690627072975,0.9997501309372927,1.1634151953079262e-13,1.0,1,LOW_CONFIDENCE
1988-06-01,0.00018243259451922178,0.9998175674054808,2.5080834447290268e-05,0.9999749191645867,1,LOW_CONFIDENCE
1988-06-02,0.00013179517389416695,0.9998682048261058,1.3641191935510376e-05,0.9999863588075647,1,LOW_CONFIDENCE
1988-06-03,9.251161046264222e-05,0.9999074883895374,8.49959561826963e-07,0.9999991500375447,1,LOW_CONFIDENCE
1988-06-06,6.532104799128469e-05,0.9999346789520087,1.8764039560529087e-06,0.9999981235977754,1,LOW_CONFIDENCE
1988-06-07,4.60279116805129e-05,0.9999539720883195,1.0105942907055983e-06,0.9999989894063779,1,LOW_CONFIDENCE
1988-06-08,3.2379920612002344e-05,0.999967620079388,5.346073841300241e-07,0.9999994653918812,1,LOW_CONFIDENCE
1988-06-09,2.3434860822901804e-05,0.9999765651391771,2.5630531861607163e-06,0.9999974369453516,1,LOW_CONFIDENCE
1988-06-10,1.86787229725649e-05,0.9999813212770274,7.581068281160023e-06,0.9999924189320119,1,LOW_CONFIDENCE
1988-06-13,1.3281137119180997e-05,0.9999867188628808,6.867731166789451e-07,0.9999993132298726,1,LOW_CONFIDENCE
1988-06-14,1.0620415627604629e-05,0.9999893795843724,4.41206875107746e-06,0.9999955879345196,1,LOW_CONFIDENCE
1988-06-15,9.733737208694748e-06,0.9999902662627913,7.664823931026938e-06,0.9999923351791021,1,LOW_CONFIDENCE
1988-06-16,0.00021269971811133104,0.9997873002818887,0.0006862870086785414,0.9993137129931157,1,LOW_CONFIDENCE
1988-06-17,0.0013986056726673635,0.9986013943273326,0.004165719566090387,0.9958342804333689,1,LOW_CONFIDENCE
1988-06-20,0.0024263928302792337,0.9975736071697208,0.004824562863902683,0.9951754371352934,1,LOW_CONFIDENCE
1988-06-21,0.0019693687304949137,0.9980306312695051,0.0009029791676046586,0.9990970208356685,1,LOW_CONFIDENCE
1988-06-22,0.001980295140773247,0.9980197048592268,0.002005790101325822,0.9979942099019107,1,LOW_CONFIDENCE
1988-06-23,0.0024270476621113257,0.9975729523378887,0.0034694702136636958,0.9965305297881,1,LOW_CONFIDENCE
1988-06-24,0.006419675670072067,0.9935803243299279,0.0157358076858915,0.9842641923113529,1,LOW_CONFIDENCE
1988-06-27,0.04276761569310927,0.9572323843068907,0.12757947574500417,0.8724205242531373,1,LOW_CONFIDENCE
1988-06-28,0.29727800070289834,0.7027219992971017,0.8911355657273338,0.10886443427426044,1,LOW_CONFIDENCE
1988-06-29,0.5011079368326301,0.4988920631673699,0.9767111211384284,0.023288878864662528,0,LOW_CONFIDENCE
1988-06-30,0.6481315576544077,0.35186844234559234,0.9911866729032317,0.00881332709477806,0,LOW_CONFIDENCE
1988-07-01,0.7502113080289271,0.24978869197107287,0.988397392239549,0.011602607763860812,0,LOW_CONFIDENCE
1988-07-04,0.8080942126506714,0.19190578734932867,0.9431543234319011,0.056845676565258886,0,LOW_CONFIDENCE
1988-07-05,0.6376446542998647,0.3623553457001353,0.23992901814498824,0.7600709818520174,0,LOW_CONFIDENCE
1988-07-06,0.4463693833213984,0.5536306166786016,6.0417705770297864e-05,0.9999395822950228,1,LOW_CONFIDENCE
1988-07-07,0.5859431258135022,0.4140568741864978,0.9116151916292996,0.08838480837158894,0,LOW_CONFIDENCE
1988-07-08,0.6978735042746176,0.30212649572538247,0.959044387353485,0.040955612649446874,0,LOW_CONFIDENCE
1988-07-11,0.7635963417788236,0.23640365822117637,0.9169496292906754,0.08305037071136212,0,LOW_CONFIDENCE
1988-07-12,0.6639664332320819,0.33603356676791807,0.4314966466195744,0.568503353376982,0,LOW_CONFIDENCE
1988-07-13,0.7512593035238047,0.24874069647619537,0.9549426675381689,0.04505733246217574,0,LOW_CONFIDENCE
1988-07-14,0.8240328185694252,0.17596718143057472,0.9938376870107322,0.0061623129907932145,0,LOW_CONFIDENCE
1988-07-15,0.876461589288885,0.12353841071111504,0.9987953876360859,0.001204612365709174,0,LOW_CONFIDENCE
1988-07-18,0.9122151130342214,0.08778488696577859,0.9956400017706932,0.004359998226660197,0,LOW_CONFIDENCE
1988-07-19,0.9234276869718013,0.07657231302819868,0.9495903594915964,0.05040964050717894,0,LOW_CONFIDENCE
1988-07-20,0.9155457398770968,0.08445426012290319,0.897154529986463,0.10284547001054709,0,LOW_CONFIDENCE
1988-07-21,0.8654576034126671,0.13454239658733294,0.7485852849944009,0.2514147150043357,0,LOW_CONFIDENCE
1988-07-22,0.6507270365224724,0.3492729634775275,0.14968904711383937,0.8503109528879816,0,LOW_CONFIDENCE
1988-07-25,0.4955044118930638,0.5044955881069362,0.13331828775989338,0.8666817122422231,1,LOW_CONFIDENCE
1988-07-26,0.3572104206970925,0.6427895793029075,0.03452444124112391,0.9654755587601741,1,LOW_CONFIDENCE
1988-07-27,0.25024330382656657,0.7497566961734334,0.0006533644594692705,0.9993466355379942,1,LOW_CONFIDENCE
1988-07-28,0.17648336131149467,0.8235166386885053,0.004376828779677061,0.9956231712236736,1,LOW_CONFIDENCE
1988-07-29,0.12527430782127524,0.8747256921787248,0.005786516345149962,0.9942134836559033,1,LOW_CONFIDENCE
