ticker,n_obs,sep_logyz,occ_min,persist_min,flag_sep,flag_occ,flag_persist,quality_flag
AEX_NETHERLANDS,8342,0.14136475354132494,0.3830016782546152,0.9624295554164057,1,0,0,LOW_CONFIDENCE
CAC40_FRANCE,8974,0.17422819331959863,0.42678850011143304,0.9660485766518673,1,0,0,LOW_CONFIDENCE
DAX_GERMANY,8099,0.06568425265660963,0.30818619582664525,0.9535070140280562,1,0,0,LOW_CONFIDENCE
DJIA,8434,0.6726687984936861,0.2572919136827128,0.8764976958525346,0,0,0,OK
EUROSTOXX50,4569,0.9008827968665796,0.04946377763186693,0.8407079646017699,0,0,0,OK
HANG_SENG,9031,0.6171300477069033,0.28867235079171744,0.9532029152282316,0,0,0,OK
HANG_SENG_CHINA_ENT,7718,1.22753087542527,0.16895568800207308,0.9187116564417178,0,0,0,OK
NASDAQ,10361,0.043340333279092806,0.33211080011581895,0.9558267945364719,1,0,0,LOW_CONFIDENCE
NIFTY50,4360,0.2098660060316852,0.36720183486238533,0.9594003747657714,1,0,0,LOW_CONFIDENCE
NIKKEI225,9239,0.02673538645018158,0.4228812642060829,0.9659585359610955,1,0,0,LOW_CONFIDENCE
RUSSELL2000,9524,0.6492279731801449,0.3859722805543889,0.9730685527747551,0,0,0,OK
SENSEX,6895,0.815228780920739,0.34169688179840463,0.9588285229202037,0,0,0,OK
SP500,16047,0.7538525342867811,0.28977378949336324,0.9946236559139785,0,0,0,OK
STI_SINGAPORE,8373,0.922301477474748,0.16529320434730682,0.9356936416184971,0,0,0,OK
