Date,p_calm,p_crisis,p_calm_raw,p_crisis_raw,state,quality_flag
1992-06-10,0.0,1.0,1.0016065782077694e-27,1.0,1,OK
1992-06-12,0.0,1.0,2.6180030184064787e-23,1.0,1,OK
1992-06-15,0.0,1.0,1.5634753877387987e-16,1.0,1,OK
1992-06-16,0.0,1.0,1.1844669724485196e-15,1.0,1,OK
1992-06-17,0.0,1.0,6.5172001147148515e-15,1.0,1,OK
1992-06-18,0.0,1.0,3.553910502331118e-15,1.0,1,OK
1992-06-19,0.0,1.0,9.352869068177984e-15,1.0,1,OK
1992-06-22,0.0,1.0,4.573033998217071e-15,1.0,1,OK
1992-06-23,0.0,1.0,6.671623069680275e-16,1.0,1,OK
1992-06-24,0.0,1.0,1.617491654939276e-15,1.0,1,OK
1992-06-25,0.0,1.0,1.1348468770579738e-12,1.0,1,OK
1992-06-26,4.3656189774310405e-12,0.9999999999956344,1.3195520096322542e-11,0.9999999999854481,1,OK
1992-06-29,2.7664646129466064e-09,0.9999999972335354,9.21097955143805e-09,0.9999999907886377,1,OK
1992-06-30,5.413705483903186e-09,0.9999999945862945,1.1591028074443155e-08,0.9999999884093996,1,OK
1992-07-01,2.7830812099338686e-08,0.9999999721691879,8.013731250140272e-08,0.9999999198626061,1,OK
1992-07-02,3.56538045567234e-05,0.9999643461954433,0.00011878107614891408,0.9998812189233726,1,OK
1992-07-06,0.2831568643699154,0.7168431356300846,0.9437730223544749,0.0562269776442478,1,OK
1992-07-07,0.49741952094584096,0.502580479054159,0.9973657196231224,0.002634280376999178,1,OK
1992-07-08,0.648122865590887,0.35187713440911295,0.9997640030953469,0.0002359969040056086,0,OK
1992-07-09,0.7536492701991724,0.24635072980082767,0.9998775476197203,0.0001224523814953894,0,OK
1992-07-10,0.8275227919550787,0.1724772080449213,0.9998943427177529,0.0001056572811398258,0,OK
1992-07-13,0.8792289166268363,0.12077108337316372,0.9998765408601279,0.00012345913906273984,0,OK
1992-07-14,0.9153273619660187,0.08467263803398128,0.9995570677564386,0.0004429322425555883,0,OK
1992-07-17,0.9385653113754601,0.061434688624539914,0.9927871933320862,0.007212806669176739,0,OK
1992-07-20,0.9525773107812446,0.04742268921875533,0.9852719760622558,0.014728023938591314,0,OK
1992-07-21,0.953276966770027,0.04672303322997293,0.9549094974098087,0.04509050258948064,0,OK
1992-07-22,0.9446455952293401,0.055354404770659935,0.9245057283010164,0.07549427169892962,0,OK
1992-07-23,0.8791337837746037,0.12086621622539626,0.726272890379859,0.27372710961978103,0,OK
1992-07-24,0.6838633327580925,0.31613666724190753,0.2282322803871422,0.7717677196137672,0,OK
1992-07-27,0.4787043949851181,0.5212956050148819,2.0684701551582533e-07,0.9999997931518224,1,OK
1992-07-28,0.33509307651577613,0.6649069234842239,8.842576919179756e-11,0.9999999999126885,1,OK
1992-07-29,0.234565195181337,0.765434804818663,1.387333036704744e-07,0.9999998612656879,1,OK
1992-07-30,0.16419564062907643,0.8358043593709236,1.3341386106582762e-08,0.9999999866595318,1,OK
1992-07-31,0.11493707604388825,0.8850629239561117,4.253440485556476e-07,0.9999995746548843,1,OK
1992-08-03,0.08045599399863712,0.9195440060013629,1.3589365967418803e-07,0.9999998641069489,1,OK
1992-08-04,0.056319230873161485,0.9436807691268385,1.1691372839903505e-07,0.999999883086282,1,OK
1992-08-05,0.039423477838053333,0.9605765221619467,5.4090905505559903e-08,0.9999999459105325,1,OK
1992-08-06,0.027596442583686653,0.9724035574163133,2.6989396708166496e-08,0.9999999730098356,1,OK
1992-08-07,0.01931752726978697,0.980682472730213,5.8203316273989096e-08,0.9999999417959787,1,OK
1992-08-11,0.013522269088851013,0.986477730911149,1.1987656206298064e-12,1.0,1,OK
1992-08-12,0.009465591366802473,0.9905344086331975,1.0013920898827567e-08,0.9999999899846443,1,OK
1992-08-13,0.006626971046039376,0.9933730289539606,3.52363124106682e-06,0.9999964763690748,1,OK
1992-08-14,0.004639331261082624,0.9953606687389174,1.505097465141806e-06,0.9999984949038165,1,OK
1992-08-17,0.0032581368677393474,0.9967418631322607,3.534994866678797e-05,0.9999646500500616,1,OK
1992-08-18,0.002282312188697455,0.9977176878113025,5.387937506834631e-06,0.9999946120624003,1,OK
1992-08-19,0.00159762869623703,0.998402371303763,3.3881518541138086e-08,0.9999999661195039,1,OK
1992-08-20,0.0011190006395438434,0.9988809993604562,2.201840603605604e-06,0.9999977981594068,1,OK
1992-08-21,0.0007875645294437295,0.9992124354705563,1.4213605126697178e-05,0.9999857863941237,1,OK
1992-08-24,0.0005724021655513223,0.9994275978344487,7.035664851565711e-05,0.9999296433501976,1,OK
1992-08-25,0.00040570866316480547,0.9995942913368352,1.6757159311949824e-05,0.9999832428424037,1,OK
1992-08-26,0.00034973498101420475,0.9996502650189858,0.00021912972285478976,0.9997808702773374,1,OK
1992-08-27,0.0006232276183737451,0.9993767723816263,0.0012613771044939755,0.9987386228944544,1,OK
1992-08-28,0.000511256208870936,0.9994887437911291,0.0002499895864406021,0.9997500104133024,1,OK
1992-08-31,0.00037455009114395477,0.999625449908856,5.556914808452664e-05,0.9999444308502193,1,OK
1992-09-01,0.00032415001684615863,0.9996758499831538,0.00020654984337226289,0.9997934501565153,1,OK
1992-09-02,0.0005283069043251487,0.9994716930956749,0.0010046729738788353,0.998995327024891,1,OK
1992-09-03,0.0004067872096653602,0.9995932127903346,0.0001232412560053602,0.9998767587445411,1,OK
1992-09-04,0.0002904878032774505,0.9997095121967225,1.9122521625232467e-05,0.9999808774782943,1,OK
1992-09-07,0.00020363131993472727,0.9997963686800653,9.661913366415318e-07,0.9999990338078653,1,OK
1992-09-08,0.0001426565333616514,0.9998573434666383,3.820327291321529e-07,0.9999996179686425,1,OK
1992-09-09,9.988859896570279e-05,0.9999001114010343,9.675198914398972e-08,0.9999999032479583,1,OK
1992-09-10,6.999890576553369e-05,0.9999300010942345,2.562869033836494e-07,0.9999997437117019,1,OK
