Date,yz_var,log_yz,parkinson_var,gk_var,rs_var,rv_1,rv_5,rv_21,hv_10,hv_22,hv_100,target_yz_1,target_yz_5,target_yz_21,log_yz_jump,target_jump_1,target_jump_5,target_jump_21
1992-05-26,2.8965860467039477e-05,-10.449392612202878,2.9244875911766783e-05,2.322527119706945e-05,2.07945462683683e-05,4.4827823323284355e-05,0.00011416691055452161,0.0007213954641678257,0.005134405449229417,0.006065462674005506,0.006858925844683952,-11.256065030508935,-10.387556711242686,-10.406124715101443,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1992-05-27,1.292864574812394e-05,-11.256065030508935,1.3034221492109399e-05,1.675968921331347e-05,1.784243933658989e-05,3.3901052528668602e-06,7.536619036478871e-05,0.0006885940797695772,0.005109135394363603,0.005840087692485753,0.006805732953547863,-10.542571511477519,-10.265224522544724,-10.375649402425363,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1992-05-28,2.6388782342735102e-05,-10.542571511477519,2.799625406335442e-05,1.2370161052417793e-05,4.722163808001283e-06,6.844751243957102e-05,0.00014228409954175066,0.0007560211550775426,0.005780901052922628,0.0058610976691504234,0.006849038074934771,-10.446638052815546,-10.367871338017695,-10.393718040247238,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1992-05-29,2.9045758644273152e-05,-10.446638052815546,1.8049658189990245e-05,2.4946848267998037e-05,4.3908319081142964e-05,1.949060315263577e-07,0.00012259412828619762,0.0006981627638239285,0.005246930372216221,0.005872355537895857,0.00684925941766719,-9.670075595039194,-10.545593409925301,-10.373081437727429,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1992-06-01,6.314508069875542e-05,-9.670075595039194,5.1228795911597864e-05,6.216599798751667e-05,8.386932416161004e-05,2.2915666917917108e-05,0.0001397760139651657,0.0006611658592772723,0.004987550546800893,0.0057549540777914404,0.006861547486915593,-10.699359899597647,-11.117592821792586,-10.458170770188115,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1992-06-02,2.2559372556679156e-05,-10.699359899597647,2.3916062351561596e-05,2.3410191993125565e-05,2.1185856983153262e-05,2.5225608669993754e-05,0.0001201737993118751,0.0006391860393462781,0.005064219833085591,0.0056943444843722745,0.006883802583822191,-10.319688518494543,-10.673089909049107,-10.433762170887366,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1992-06-03,3.29773845263525e-05,-10.319688518494543,3.369733082136308e-05,4.274789105649352e-05,4.467608083139114e-05,1.0268150522451837e-05,0.00012705184458146007,0.0004929300489126176,0.004734253095883326,0.005474408391953876,0.006878650965231346,-11.574484728796365,-10.678477235109376,-10.369656579762037,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1992-06-04,9.402971184772667e-06,-11.574484728796365,9.690391321907413e-06,1.165645011652658e-05,1.1876788096867794e-05,4.6008560024699e-06,6.320518814435895e-05,0.00046671627541247575,0.004774790239121815,0.00485839646750326,0.0068660252519520334,-12.573957480180374,-10.480625864015632,-10.375342557064323,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1992-06-05,3.46098347098017e-06,-12.573957480180374,3.530208532485342e-06,4.860475982545913e-06,5.1993300898295135e-06,8.654591674316466e-08,6.309682802957577e-05,0.0004579682513315955,0.004499476673319018,0.004683578762129679,0.0066159425552377435,-12.050234288747474,-10.215229097875156,-10.215571515708914,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1992-06-08,5.843185427654852e-06,-12.050234288747474,4.834242884277907e-06,5.728008219927979e-06,7.554844530346025e-06,2.5205530518427877e-06,4.2701714163501445e-05,0.00045731214010347085,0.004470666681082631,0.004658412777395548,0.006608445178847517,-9.654835703387558,-10.13273061380504,-10.18318929287773,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
