Date,yz_var,log_yz,parkinson_var,gk_var,rs_var,rv_1,rv_5,rv_21,hv_10,hv_22,hv_100,target_yz_1,target_yz_5,target_yz_21,log_yz_jump,target_jump_1,target_jump_5,target_jump_21
1928-05-24,3.669460805220572e-05,-10.212880706003952,0.0,0.0,0.0,3.669460805220478e-05,0.0009411646861632492,0.001885845740887486,0.011941266187979745,0.009404579222923126,0.00842124442184252,-12.993127738140831,-9.139000373287011,-8.479598527716828,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1928-05-25,2.2759154804335457e-06,-12.993127738140831,0.0,0.0,0.0,2.275915480433433e-06,0.0008436378851162706,0.001836043858535301,0.011583035765394378,0.009385227191167564,0.008409228596224337,-8.182066488133874,-8.84827850048008,-8.451216877193994,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1928-05-28,0.0002796235030158743,-8.182066488133874,0.0,0.0,0.0,0.0002796235030158683,0.000908190644128937,0.002000574738153105,0.012178207054940247,0.010034403699431428,0.008590670513638802,-8.733291422936562,-9.327140460190028,-8.493944625390457,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1928-05-29,0.0001611312304314229,-8.733291422936562,0.0,0.0,0.0,0.0001611312304314222,0.0008775034696809687,0.0021490993203087372,0.0133279653512163,0.01014049391376106,0.008601749580402888,-9.412024051442458,-9.494682248367953,-8.502945167082965,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1928-05-31,8.173534227289774e-05,-9.412024051442458,0.0,0.0,0.0,8.173534227289743e-05,0.0005614605992528261,0.0022285307345757074,0.01281255621526978,0.010290176967563982,0.00862275731969324,-11.313488149692992,-9.717826046609988,-8.519109493412168,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1928-06-01,1.2207155868082167e-05,-11.313488149692992,0.0,0.0,0.0,1.22071558680815e-05,0.0005369731470687029,0.0022343643974986954,0.012812835143499703,0.0103074377144961,0.008561887038449215,-8.603586577646846,-9.337186029812427,-8.505306701943642,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1928-06-04,0.00018344666565501964,-8.603586577646846,0.0,0.0,0.0,0.00018344666565501958,0.000718143897243289,0.002392508041930276,0.013157721749636104,0.010729813531836281,0.00864650894191726,-11.965305069672599,-8.064430256394377,-8.48688333314767,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1928-06-05,6.361125525333175e-06,-11.965305069672599,0.0,0.0,0.0,6.3611255253328925e-06,0.0004448815197527536,0.002160639710432651,0.01220496677506786,0.010686292572143123,0.0086437497103867,-9.28825462318213,-7.873388891869704,-8.466374109156266,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1928-06-06,9.250437345283187e-05,-9.28825462318213,0.0,0.0,0.0,9.25043734528308e-05,0.00037625466277416223,0.002183185308932092,0.011690988644110542,0.010269510008311849,0.008694272801420735,-11.946121229352624,-7.529773347330026,-8.482585462281822,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1928-06-07,6.484334391876576e-06,-11.946121229352624,0.0,0.0,0.0,6.48433439187648e-06,0.0003010036548931412,0.002142294142939975,0.009760485021112661,0.010040384697958985,0.008686804010237891,-8.79401244062277,-7.505972499297412,-8.481091249224516,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
