Date,yz_var,log_yz,parkinson_var,gk_var,rs_var,rv_1,rv_5,rv_21,hv_10,hv_22,hv_100,target_yz_1,target_yz_5,target_yz_21,log_yz_jump,target_jump_1,target_jump_5,target_jump_21
1990-07-27,3.09888565901065e-05,-10.38188285066771,2.7009325856129618e-05,3.1065998177405235e-05,3.972610845591788e-05,9.259757817478251e-05,0.0005664977334807646,0.0014903885164508073,0.008584449423434374,0.008281097914141068,0.009093286723175203,-10.608915587915222,-8.958367363117096,-7.391537347193164,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1990-07-30,2.4694855178133173e-05,-10.608915587915222,2.420777557908284e-05,3.194527568671363e-05,3.9907289881099596e-05,2.603093342596162e-05,0.0001766279569428928,0.001514249379404333,0.00784460275501646,0.00827456805793066,0.008992902958668229,-9.44603831859724,-8.103074337648323,-7.362909034670711,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1990-07-31,7.900192558859265e-05,-9.44603831859724,2.3961760471691305e-05,3.2818282312716386e-05,3.7414788733684455e-05,2.603093342596162e-05,0.00019636174376340922,0.0015402803128302949,0.008122819305746652,0.00840800957026606,0.008977237671408976,-10.601144100941395,-7.763637809307485,-7.356494046924159,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1990-08-01,2.488751860221315e-05,-10.601144100941395,1.5875006160813446e-05,2.1906824603888847e-05,2.1877270811120464e-05,6.4911425655057385e-06,0.0002005949897590173,0.001542900256318501,0.007671676972120807,0.00840259551459341,0.008981024535031867,-8.06773914960535,-7.489084336696289,-7.350556636332142,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1990-08-02,0.0003134912362601121,-8.06773914960535,0.00038497596374439084,0.00042104074576186407,0.00039729131035619975,0.0005155076566760723,0.0006666582442682838,0.002058165605769406,0.009779974186425837,0.009521837835127299,0.009266017135325804,-8.511185693122465,-7.556995130409364,-7.363138986106389,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1990-08-03,0.0002012051149002243,-8.511185693122465,0.00026362960894865597,0.0002170197752943798,0.0001739812890823669,0.000616834400232294,0.0011908950663257953,0.0024230367925642043,0.010885363899267857,0.01059467697302589,0.009392777333833468,-7.0193002713878885,-7.578253533909653,-7.352623317539667,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1990-08-06,0.0008944511459889979,-7.0193002713878885,0.0010437344086592028,0.0011244894012705988,0.0011783832456222884,0.002721358807366008,0.0038862229402658417,0.005143396599014379,0.017456935871752604,0.014623575814059039,0.010728170535276733,-7.278087145691123,-7.774282008560379,-7.403031680194947,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1990-08-07,0.0006905051359412443,-7.278087145691123,0.000421055168749251,0.00021669512948664893,0.0001092337674233662,0.00044919935851615405,0.004309391365356034,0.005592595957530533,0.019944539767044866,0.015645832291254783,0.010943350914527663,-7.269987089561984,-7.959474722513081,-7.453849702542639,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1990-08-08,0.000696120979928664,-7.269987089561984,0.000741231452920479,0.0007469404834239909,0.0008332648846606272,0.000950081889900831,0.0052529821126913595,0.006155660141129785,0.0205517043524233,0.016573234799993203,0.011332124157778088,-8.94850379188984,-8.3580017350829,-7.481907683876667,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1990-08-09,0.0001299314181265701,-8.94850379188984,4.1350240569077e-05,5.2919610111153004e-05,5.5660423651936475e-05,0.00016914446343400147,0.004906618919449289,0.006312133656941317,0.022100820689949268,0.016746713437357508,0.011351192134437648,-8.830126640676616,-8.047337588627911,-7.3864961140826715,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
