Date,yz_var,log_yz,parkinson_var,gk_var,rs_var,rv_1,rv_5,rv_21,hv_10,hv_22,hv_100,target_yz_1,target_yz_5,target_yz_21,log_yz_jump,target_jump_1,target_jump_5,target_jump_21
1988-02-02,1.256514817382087e-05,-11.284583514868809,9.361769605985328e-06,1.1902321581228337e-05,1.745401109479926e-05,3.05690538193084e-06,0.00013180587750788044,0.0029242846553288867,0.009110343052284125,0.012856009028538954,0.025725550468190687,-10.685857112135423,-11.280864655206997,-10.435388701984284,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1988-02-03,2.2866052842841066e-05,-10.685857112135423,2.2328197250713752e-05,2.300577247155147e-05,2.387836739524652e-05,1.9860557197058556e-05,0.00015071935651453968,0.002500118419972774,0.004959384224931485,0.011819616883012904,0.02569645504709574,-11.85847496290967,-10.81713698644861,-10.455365263723165,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1988-02-04,7.07831194746172e-06,-11.85847496290967,6.4494229131980634e-06,8.58732299243126e-06,1.0173335250530694e-05,1.07402081053259e-06,9.417869178533311e-05,0.002453940741647136,0.004813375943041884,0.010911088129436914,0.025698612066907534,-11.370616454941375,-10.661765911971608,-10.383971217051291,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1988-02-05,1.15293276131425e-05,-11.370616454941375,1.2515852048492398e-05,1.5696443100444994e-05,1.5262666637144413e-05,4.282257743020388e-06,4.2906984370011934e-05,0.002392976743303041,0.004266267993966294,0.010809866913934521,0.02570017103229323,-10.994637184642668,-10.525567725862725,-10.343280973444948,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1988-02-08,1.679150852633178e-05,-10.994637184642668,1.5811916724034518e-05,1.5542341231491513e-05,1.693664827915925e-05,1.6509766653195867e-05,4.478350778573824e-05,0.0013023126833127101,0.004340358617310229,0.01066310899308301,0.025700058845963634,-12.248016926279638,-10.566739782601818,-10.323626469847097,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1988-02-09,4.794615047832592e-06,-12.248016926279638,4.447422766909231e-06,4.504622236055875e-06,5.0497513132481114e-06,4.299350532613723e-06,4.602595293642113e-05,0.00119177668372828,0.004007279479913965,0.007862990349955879,0.025703953484085277,-9.719988159805624,-10.494371436039083,-10.281137963160633,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1988-02-10,6.0070710791462735e-05,-9.719988159805624,6.301487161813385e-05,2.146222860292284e-05,2.0784360741308357e-06,0.00016850852003959726,0.00019467391577895982,0.0012482501951575193,0.005310760272177518,0.007860323342613783,0.025752233070525054,-10.640298155687573,-10.974990043963333,-10.326031478877255,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1988-02-11,2.393190151915359e-05,-10.640298155687573,2.4855097730802402e-05,1.6497238145873618e-05,1.2310504361050173e-05,4.649108423782437e-05,0.0002400909792062516,0.0012944080668437518,0.005242202833191701,0.007430176685221789,0.025764745506043334,-10.461477956900634,-11.16800801099303,-10.357170045611852,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1988-02-12,2.8617904863507454e-05,-10.461477956900634,3.0358021637657608e-05,9.570638693868543e-06,0.0,8.417030842208e-05,0.0003199790298853112,0.001362981507079729,0.005431362923841832,0.007550407457487629,0.02578956121224353,-11.383815696039099,-11.14623660612278,-10.396641067826835,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1988-02-16,1.1378149140490082e-05,-11.383815696039099,1.2091083419205347e-05,5.804739021943102e-06,2.627584306722667e-06,2.8364539700155692e-05,0.00033183380293227104,0.001154168034862673,0.005473555018074876,0.007565453507819908,0.02578570059651591,-11.144074909465054,-11.251430036501405,-10.388390221556499,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1988-02-17,1.446071380104077e-05,-11.144074909465054,1.1952276021874665e-05,1.4374979797130648e-05,1.9418368258285946e-05,6.053865835579493e-06,0.00033358831823523683,0.0011508091429891386,0.005456153894281136,0.0070344593567265796,0.025788935973905597,-11.836620152419679,-11.234150250493736,-10.394575554898214,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1988-02-18,7.23470993468618e-06,-11.836620152419679,7.89525753582682e-06,8.318809919423771e-06,7.620735634947631e-06,7.204931418349179e-06,0.00017228472961398875,0.0011481610239262845,0.004742757850060757,0.0070330587979487436,0.025792165159273555,-11.629213606173778,-10.76737862892609,-10.382314643889593,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
