Date,yz_var,log_yz,parkinson_var,gk_var,rs_var,rv_1,rv_5,rv_21,hv_10,hv_22,hv_100,target_yz_1,target_yz_5,target_yz_21,log_yz_jump,target_jump_1,target_jump_5,target_jump_21
1997-11-27,0.0004204413706740871,-7.774205513541587,0.00041612543342449263,0.0002908581990185269,0.00021131612172496867,0.0006677288978921079,0.0028878702898756867,0.0059755095127652135,0.01972189655339447,0.016465114225305014,0.014118669638642778,-8.395861669532879,-8.42097906963775,-8.615612655639001,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1997-11-28,0.00022579982665050087,-8.395861669532879,0.00025404197437103095,0.00025748749048415376,0.00028377548381562173,0.0003556555479327227,0.0029814598484113,0.006296804653763845,0.020759483209644644,0.01665153249306486,0.014189983372301792,-8.189817781309383,-8.44058514446505,-8.63461299131831,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1997-12-01,0.00027746443784122774,-8.189817781309383,0.0002109551489796549,0.00025793746076221573,0.0003229776066614123,6.893309167682798e-06,0.0017801106428511511,0.005155349679427408,0.020763788152853384,0.01672409801777303,0.014197324853093683,-9.06533421468509,-8.674029697706866,-8.639380748419516,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1997-12-02,0.0001156046678362086,-9.06533421468509,0.00011388297627685037,0.00015268443100765707,0.00016558581034143381,2.0612734049138637e-05,0.0013024218817769193,0.005165263234837305,0.020037415722858252,0.01537815119085762,0.014198276919782633,-9.498697960364941,-8.385213111186092,-8.64931643761904,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1997-12-03,7.494935241294102e-05,-9.498697960364941,8.044489346428818e-05,0.00011133140547119078,0.000112751989160614,6.243437113999554e-06,0.0010571339261556516,0.00515564042132434,0.018842752769898247,0.015424003254729922,0.014194031585570676,-7.806263813015442,-8.349682471077262,-8.660770450032665,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1997-12-04,0.00040717649597724477,-7.806263813015442,0.00023978825888559864,0.0003320974519629983,0.0003974615468009114,9.900360146290154e-05,0.0004884086297264452,0.005201208244753059,0.019283277004426825,0.01541718156386256,0.01420652530840275,-8.495314898768505,-8.349589860624887,-8.743000278538714,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1997-12-05,0.0002044238744913673,-8.495314898768505,0.00020254221977145638,0.00017839639855118358,0.00017576542514924213,0.0002751146229602003,0.0004078677047539229,0.005462003783871142,0.019336644939066665,0.01565259454819146,0.014061467772208234,-9.851095990511268,-8.400472191722406,-8.787063595716347,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1997-12-08,5.268941326073986e-05,-9.851095990511268,4.1678043861718304e-05,5.3748149280972554e-05,5.2640719259555524e-05,6.585613378884273e-08,0.0004010402517200289,0.005442438996229932,0.01543884815911685,0.01567168220635914,0.014058311357238602,-7.8194405106315505,-8.25358256480479,-8.748541746844248,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1997-12-09,0.0004018464477362373,-7.8194405106315505,0.00042147647367872445,0.00038290361126152434,0.00032719807366379436,0.0004988059143062999,0.0008792334319771902,0.005891753173140636,0.015331873540300044,0.016167341022575617,0.014160761379526057,-9.060010726472226,-8.487023929312828,-8.830067949574355,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1997-12-10,0.00011622172892957089,-9.060010726472226,9.629517895473547e-05,0.00012336974840582016,0.0001224218065968097,0.000172549962294511,0.0010455399571577015,0.006063904591346796,0.014155853857648431,0.016264318187072704,0.014054485176573017,-7.80599491474811,-8.522091538319874,-8.841568529556346,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1997-12-11,0.0004072859997538085,-7.80599491474811,0.0003110060290292178,0.00042934787263503916,0.0006790197227544452,2.9692215141514294e-05,0.0009762285708363144,0.005491928688903892,0.008976903093391064,0.016219031222408798,0.014057225397767303,-8.833533687603856,-8.826739035195471,-8.920574096405408,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1997-12-12,0.0001457622490924439,-8.833533687603856,0.0001260019576163061,0.00017056381910053492,0.0002219389325746635,1.5277540977825586e-09,0.0007011154756302118,0.005007649240178902,0.008556287519212481,0.015652581742828697,0.014043492217817989,-8.375238648387707,-8.720256215815052,-8.914896297411397,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1997-12-15,0.00023050485041679257,-8.375238648387707,0.00021134922677492097,0.0002198850633787098,0.000230168024744169,0.00013076831157912035,0.0008318179310755434,0.005119063893457151,0.009962224726720493,0.01544004801302792,0.014102763639546177,-8.941427340456062,-8.871906409013206,-8.88635046596674,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1997-12-16,0.0001308541324247036,-8.941427340456062,0.00015482419113592202,0.00013010196510814968,0.00012174145719749134,0.0002847684968292127,0.0006177805135984561,0.005398399821565187,0.012297784796519143,0.015925097665264287,0.014155160525835889,-9.424692744868102,-8.934661412322125,-8.839178651055873,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1997-12-17,8.070639374544529e-05,-9.424692744868102,5.81739111870099e-05,5.4168587681622564e-05,4.97211281078598e-05,0.0003234228122981044,0.0007686533636020495,0.005443481875224311,0.014017802023724579,0.01646294934966014,0.014266035420439683,-8.83222932005236,-8.707882557691228,-8.842668585592232,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1997-12-18,0.00014595250069373108,-8.83222932005236,0.00011479413546401957,0.00015619403240825345,0.00020370977011318063,1.7773665881756897e-05,0.0007567348143422922,0.0051216904631889056,0.013777956002825132,0.016114463744269805,0.014236194884779388,-8.385249048904198,-8.86674727126397,-8.779759816618325,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1997-12-19,0.0002282089153206318,-8.385249048904198,0.00019719106485001866,8.78859954081831e-05,3.3380665472534726e-05,0.00037437432692615067,0.001131107613514345,0.005483616631706888,0.014106936457003371,0.016137609669292657,0.014290322096304953,-9.064919600881684,-9.095446591226976,-8.806400355513237,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1997-12-22,0.00011565260906550719,-9.064919600881684,0.00016041072904523297,0.00010436000194831046,7.613917840929931e-05,0.0004529280992751891,0.0014532674012104137,0.005674478741584969,0.015311989752041495,0.016698370200814838,0.014469697278926217,-9.335994279627387,-9.029043381867503,-8.826105716016185,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1997-12-23,8.819200097424395e-05,-9.335994279627387,6.67223263944152e-05,9.245955938563187e-05,0.00011164281181018556,4.659592459835196e-05,0.001215094828979553,0.004512832151455488,0.012151455977580456,0.016434605086304118,0.014475655369855879,-8.30053775204369,-8.777397202592873,-8.841060690649954,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1997-12-24,0.00024838322160255073,-8.30053775204369,0.00012750104201848767,0.00017273362980463195,0.00022613936234509117,8.502587518622139e-05,0.00097669789186767,0.00409955653151834,0.01147112782150487,0.01454531077286949,0.01449665872061383,-10.614161698986782,-9.025740776138003,-8.914393133608462,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1997-12-26,2.456564244823878e-05,-10.614161698986782,2.537645653804755e-05,3.062074263012816e-05,4.1544061391916155e-05,5.0348251446844215e-05,0.0010092724774327573,0.0038983733902299166,0.01054761016812317,0.013913375333840124,0.01448690048660521,-9.383698283560529,-9.011752218920313,-8.848631683285394,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1997-12-29,8.408366058169736e-05,-9.383698283560529,0.00011601302234049175,6.428287566939068e-05,3.6013564086354845e-05,0.00040011885890807843,0.0010350170094146852,0.003630763351245888,0.010605893048356997,0.014136699831567005,0.014624658616300466,-8.777512753940515,-8.954568913601133,-8.771146995494131,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1997-12-30,0.00015416104419564778,-8.777512753940515,0.00017158102995716164,0.00011248274611948465,8.277959761530188e-05,0.00035388876557297465,0.0009359776757124707,0.0036289965688861394,0.014117710105988866,0.01377425491356731,0.014642142342133983,-8.255980644232581,-9.112236668898575,-8.764726237939072,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1997-12-31,0.0002597007248788731,-8.255980644232581,0.00017467051677106266,0.0002185246489624207,0.0003122079813516973,3.398963059842145e-05,0.0009233713817125401,0.003656092890316878,0.013748815393615584,0.013145710991155258,0.01461757701431616,-9.447870600229251,-9.271233618307733,-8.761080172005604,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1998-01-01,7.885730434349726e-05,-9.447870600229251,7.559927982613785e-05,6.718480910336077e-05,6.673589349927826e-05,9.396053874067406e-05,0.0009323060452669929,0.0037294406950084138,0.013226952213224494,0.01326691622604834,0.014378690317639073,-10.317881426379829,-9.14728799578474,-8.762698692802925,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1998-01-02,3.303703157732688e-05,-10.317881426379829,3.7588470432236026e-05,4.5477577076310543e-05,5.323798775568044e-05,4.631662681189638e-05,0.000928274420632045,0.0037695138847063103,0.0127518653152324,0.013238819683975212,0.014260510281100765,-9.028246656078023,-9.060881615959868,-8.70411121413665,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1998-01-05,0.00011997266120695648,-9.028246656078023,7.957204586874457e-05,0.00010932385340770195,0.0001815236453832545,2.6946248203177818e-05,0.0005551018099271445,0.003697456531446587,0.011976717292705656,0.013255309221463358,0.014274114016204912,-9.721651783205138,-8.967791298310075,-8.72877357812232,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1998-01-06,5.9970858830759625e-05,-9.721651783205138,4.906470838736549e-05,6.737304413971338e-05,0.0001064576191902485,2.759195707000526e-05,0.000228805001424175,0.003449933865556392,0.010982255581302008,0.013087006643837433,0.01419745181000299,-8.630227627672294,-8.81963078723907,-8.718732583117546,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1998-01-07,0.00017862397977615099,-8.630227627672294,0.00019808119212585704,0.00024556748488776186,0.00023813907687951703,9.623067893436125e-05,0.00029104604976011475,0.0035460986883569644,0.011552484067500273,0.012692238630225288,0.014188832389732006,-8.867199165453364,-8.653462799324501,-8.76405761526274,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1998-01-08,0.00014093677497969552,-8.867199165453364,0.00017865912133254862,8.95906204531976e-05,4.5113084758784735e-05,0.0005470565982640242,0.0007441421092834649,0.003594349372314688,0.013645302440497893,0.01385577617566164,0.01419716533102286,-9.419845972515205,-8.514425707981303,-8.79667374894721,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
1998-01-09,8.109850874666894e-05,-9.419845972515205,0.00011834067041732148,9.053204605416414e-05,7.821243400859853e-05,0.0003635911611964343,0.001061416643668003,0.0037853905712166114,0.014555244840229884,0.013601489345302283,0.014259379879271849,-8.641528316643921,-8.5254520675507,-8.78316482884274,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604
