ticker,model,horizon,alpha,l1_ratio,rmse,mae,qlike,mase,hit_rate,mz_alpha,mz_beta,mz_r2,mz_alpha_p,mz_beta_p,dm_stat,dm_p,jb_p,ljungbox_p,bp_p,tail_corr,tail_corr_p,beta_stability,ceq_gain_bps,enc_beta2,enc_beta2_p,n_params,param_sample_ratio
HANG_SENG,ENet-HAR-X,1,0.3,0.1,0.0004227348591137425,0.0001537835913899643,0.4264914614873239,0.7152204186868144,0.6895097522403796,-4.431506559591916e-05,1.1658110904640233,0.10860777986326686,0.020374692843231644,2.713400237163176e-49,-2.410259815218573,0.016035825391111036,0.0,6.019811162632271e-09,,0.1610597173562178,0.026424325759193238,0.11616236076145625,,,,9,0.0011865524060646012
HANG_SENG,ENet-HAR-X,5,0.001,0.1,0.0002499560277883072,0.00010962030305937317,0.21926987386039487,0.509824737100117,0.7306273062730627,4.093552068468197e-05,0.8225473991941319,0.13937316922553067,0.00020316290174783632,8.446686544925954e-64,-2.1033651202711625,0.035565317338374314,0.0,0.0,,0.2654235938887358,0.00021468756108922445,0.19236129006272706,,,,9,0.0011865524060646012
HANG_SENG,ENet-HAR-X,10,0.001,0.5,0.00021007417433977036,0.0001020327708118492,0.19476003666277084,0.47453645997104005,0.7395888244596732,5.0092019217080625e-05,0.7611214044881859,0.1377916217455063,8.09046859554203e-07,4.837733745222229e-63,-1.9536252119555009,0.05089242820349038,0.0,0.0,,0.12990154268743415,0.0740458585027805,0.15048084026891914,,,,9,0.0011865524060646012
HANG_SENG,ENet-HAR-X,21,0.001,0.1,0.00017163039497608491,9.700924473162695e-05,0.17773928714165807,0.4511729242784072,0.702161307327359,6.898672906667245e-05,0.6497909849674101,0.11993305439728486,1.667609368727205e-13,1.4144239143145258e-54,-1.284507375853874,0.19912140248556143,0.0,0.0,,-0.21737852484614678,0.002589410003631249,0.14309089747823656,,,,9,0.0011865524060646012
HANG_SENG,ENet-HAR-X,63,0.001,0.1,0.00013099016623104663,9.528966255148168e-05,0.1523282765673394,0.4431754501933395,0.6004217185028993,0.00013785990113248997,0.3064591476313735,0.037598666439674466,5.700356892285997e-59,1.5842806135855515e-17,2.206072357002602,0.027498471562152238,3.2254389024073665e-158,0.0,,-0.14895965918286116,0.04024983458114054,0.1295031814673348,,,,9,0.0011865524060646012
HANG_SENG,ENet-HAR-X,100,0.0316,0.9,0.00010640184679619877,8.506324719451262e-05,0.11492813842851526,0.39561419214774285,0.5835529783869268,0.0001522742786039795,0.24334188714908908,0.021788946766190143,3.630506688359918e-68,1.0449234768835074e-10,2.892624783321648,0.0038639510978144553,3.143101218130875e-41,0.0,,0.037475013887248665,0.6077211634945432,0.09059168338342667,,,,9,0.0011865524060646012
AEX_NETHERLANDS,ENet-HAR-X,1,0.0316,0.1,0.0003316926882299515,9.493483202685373e-05,0.44641733314057536,0.6492900330155247,0.8602279544091181,4.5118888526635443e-05,0.6890374437691789,0.42498796036901687,2.0288431266710457e-08,2.5566929741920303e-202,-1.429274752448549,0.15311275481842124,0.0,9.270618367319338e-22,,0.4538968534531626,7.248675139897753e-10,0.1568691157274255,,,,9,0.0013501350135013501
AEX_NETHERLANDS,ENet-HAR-X,5,0.01,0.1,0.00024494787828241156,7.720336123761903e-05,0.27856760021853666,0.5280187671549664,0.8674265146970606,4.4155144932463044e-05,0.7054767743852768,0.45955895146941717,7.103276441986376e-13,9.390187363621732e-225,-1.5146070929757194,0.13006162300001,0.0,3.7849624919022996e-291,,0.3924294268605646,1.5614162352598356e-07,0.15511094745377446,,,,9,0.0013501350135013501
AEX_NETHERLANDS,ENet-HAR-X,10,0.01,0.1,0.00023901662677761577,7.848326186931639e-05,0.28865384256811427,0.536772421695339,0.8524295140971806,4.961468135191924e-05,0.6646106981580494,0.36370466827055903,1.2134756740197036e-15,1.1382489021978892e-165,-1.4218189962601244,0.15526597631942196,0.0,0.0,,0.32364960268791165,1.9859492117657715e-05,0.146619081721274,,,,9,0.0013501350135013501
AEX_NETHERLANDS,ENet-HAR-X,21,0.01,0.5,0.00022501624232081646,8.100269311370362e-05,0.3296964367353595,0.5540036271541089,0.8488302339532093,6.116092303857417e-05,0.5806053708037732,0.19485415483225754,3.4559999544385016e-21,1.9311276649483256e-80,-1.033170356674847,0.30167413445819835,0.0,0.0,,0.016845826419450257,0.8289282842609343,0.1387795040103315,,,,9,0.0013501350135013501
AEX_NETHERLANDS,ENet-HAR-X,63,0.0316,0.5,0.0001744386575869527,8.525604379255033e-05,0.4178119011961983,0.5830936686460854,0.7600479904019196,9.060822116497732e-05,0.3445770936354645,0.058806396221619095,9.113140551458779e-50,9.775104305250317e-24,0.9023797336251312,0.3669856257898314,0.0,0.0,,-0.3667458542467561,1.0894911308438353e-06,0.13419465810389986,,,,9,0.0013501350135013501
