Date,Open,High,Low,Close,r_cc,r_overnight,r_intraday,r_range,yz_var,log_yz,parkinson_var,gk_var,rs_var,rv_1,rv_5,rv_21,hv_10,hv_22,hv_100,target_yz_1,target_yz_5,target_yz_21,log_yz_jump,target_jump_1,target_jump_5,target_jump_21,vov_21,gap_abs,jump_flag,vdi,rsi_s,pde,fdi,srs,sai,bocpd_p_change,bocpd_runlen,bocpd_p_evt
1987-05-28,2950.800048828125,2950.800048828125,2950.800048828125,2950.800048828125,0.0031226523721602,0.0031226523721602,0.0,0.0,9.750957837357787e-06,-11.538144935496698,0.0,0.0,0.0,9.750957837357725e-06,0.0002709944393824,0.0024288353673702,0.0051874588490081,0.0094782719893929,0.013572550402044,-26.937873935368604,-8.849926427478067,-9.03983721497326,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604,,,1,,,8.289306334778562e-11,,,27.791568388553777,1.0,0.0,0.0
1987-05-29,2950.800048828125,2950.800048828125,2950.800048828125,2950.800048828125,0.0,0.0,0.0,0.0,1e-12,-26.937873935368604,0.0,0.0,0.0,0.0,0.0001859410267229,0.0017093253168978,0.0051632361708123,0.0088732057381729,0.0135152085754997,-10.343178752237092,-8.84789749054869,-9.03181776057661,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604,,0.0,0,,,8.289306334778562e-11,,,185941026.7229,1.0,0.0,0.0
1987-06-02,2934.10009765625,2934.10009765625,2934.10009765625,2934.10009765625,-0.0056755409893357,-0.0056755409893357,0.0,0.0,3.221176552163074e-05,-10.343178752237092,0.0,0.0,0.0,3.2211765521629655e-05,0.0002181527922445,0.0016505032547107,0.0058018390409524,0.0078800245536173,0.0135298736582297,-9.250445185458243,-8.669133897216067,-8.889539443865246,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604,,0.0056755409893357,1,,0.0043990966807479,8.289306334778562e-11,3.795633537258404e-06,,6.772456645555719,1.0,0.0,0.0
1987-06-03,2963.0,2963.0,2963.0,2963.0,0.0098014730053346,0.0098014730053346,0.0,0.0,9.606887307430464e-05,-9.250445185458243,0.0,0.0,0.0,9.606887307430288e-05,0.0001417939054327,0.0017316310568975,0.0063032437515635,0.0078882091801749,0.0135121038116673,-7.799602179774404,-8.770496466920244,-8.922944212043571,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604,,0.0098014730053346,1,,0.0080917357853887,8.289306334778562e-11,1.1692490445656654e-05,,1.4759609373898963,1.0,0.0,0.0
1987-06-04,3023.60009765625,3023.60009765625,3023.60009765625,3023.60009765625,0.0202459381424615,0.0202459381424615,0.0,0.0,0.0004098980112683,-7.799602179774404,0.0,0.0,0.0,0.0004098980112683,0.0005479296077016,0.0020972419027191,0.0083563716656188,0.0085717428976098,0.0136229447003993,-8.629339046414767,-9.494355899121564,-9.080145721694914,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604,7.8168444822114305,0.0202459381424615,1,,0.0086799181233232,8.289306334778562e-11,5.476449618284416e-05,,1.3367461936920813,1.0,0.0,0.0
1987-06-05,3064.300048828125,3064.300048828125,3064.300048828125,3064.300048828125,0.0133709675131296,0.0133709675131296,0.0,0.0,0.0001787827722371,-8.629339046414767,0.0,0.0,0.0,0.0001787827722371,0.0007169614221014,0.0014505794339263,0.0079119409768379,0.0087433035045016,0.0136712393495307,-13.439715804773458,-9.47528084406541,-9.147200244797036,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604,7.23357043536836,0.0133709675131296,1,,0.008318928624525,8.289306334778562e-11,6.449767499168977e-05,,4.01023772659893,1.0,0.0,0.0
1987-06-08,3068.0,3068.0,3068.0,3068.0,0.0012067092579902,0.0012067092579902,0.0,0.0,1.4561472333193658e-06,-13.439715804773458,0.0,0.0,0.0,1.456147233319259e-06,0.0007184175693347,0.001445186251128,0.0080126696556352,0.0070739810198542,0.0135534399568419,-8.663182390065717,-9.112226148540882,-9.138331749614382,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604,6.6146331617182845,0.0012067092579902,1,,0.008959816896294,8.289306334778562e-11,5.349412553168439e-05,,493.36843110888674,1.0,0.0,0.0
1987-06-09,3108.60009765625,3108.60009765625,3108.60009765625,3108.60009765625,0.0131466119765155,0.0131466119765155,0.0,0.0,0.000172833406461,-8.663182390065717,0.0,0.0,0.0,0.000172833406461,0.0008590392102742,0.0015693564950896,0.0080493509865865,0.0071411754035744,0.0134699017044897,-11.230600769654265,-9.472760778585718,-9.18891924233193,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604,6.277227595482153,0.0131466119765155,1,,0.0093855434423271,8.289306334778562e-11,5.948290982460451e-05,,4.970330811003902,1.0,0.0,0.0
1987-06-10,3097.300048828125,3097.300048828125,3097.300048828125,3097.300048828125,-0.0036417154804037,-0.0036417154804037,0.0,0.0,1.3262091640212094e-05,-11.230600769654265,0.0,0.0,0.0,1.3262091640211952e-05,0.0007762324288401,0.0013638323359565,0.0083773632929247,0.0073558988304729,0.0134352816772903,-11.508629041017722,-9.07279929257408,-9.179225585990736,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604,5.878553913176395,0.0036417154804037,1,,0.0103108914441511,8.289306334778562e-11,5.039700604065971e-05,,58.53016186046597,1.0,0.0,0.0
1987-06-11,3087.5,3087.5,3087.5,3087.5,-0.003169078047026,-0.003169078047026,0.0,0.0,1.0043055668142398e-05,-11.508629041017722,0.0,0.0,0.0,1.0043055668142126e-05,0.0003763774732399,0.001368674333761,0.0087557819797049,0.0071536947150203,0.0134278186450572,-8.58959666302614,-8.923264491928174,-9.1803171588391,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604,5.544369327335061,0.003169078047026,0,,0.0092177521096207,8.289306334778562e-11,4.23850049495923e-05,,37.47638649036185,1.0,0.0,0.0
