Date,Open,High,Low,Close,r_cc,r_overnight,r_intraday,r_range,yz_var,log_yz,parkinson_var,gk_var,rs_var,rv_1,rv_5,rv_21,hv_10,hv_22,hv_100,target_yz_1,target_yz_5,target_yz_21,log_yz_jump,target_jump_1,target_jump_5,target_jump_21,vov_21,gap_abs,jump_flag,vdi,rsi_s,pde,fdi,srs,sai,bocpd_p_change,bocpd_runlen,bocpd_p_evt
1988-05-26,1046.6199951171875,1046.6199951171875,1046.6199951171875,1046.6199951171875,0.0028800771918696,0.0028800771918696,0.0,0.0,8.294844631127831e-06,-11.699876244365097,0.0,0.0,0.0,8.29484463112748e-06,0.000742508728499,0.0037156425802848,0.0175162535299203,0.0132713247179861,0.0153441683195798,-9.682023842074292,-8.99457525425548,-8.976859360672517,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604,,,1,,,8.289306334778562e-11,,,89.51447218169318,1.0,0.0,0.0
1988-05-27,1054.9200439453125,1054.9200439453125,1054.9200439453125,1054.9200439453125,0.007899056720942,0.007899056720942,0.0,0.0,6.23950970806597e-05,-9.682023842074292,0.0,0.0,0.0,6.239509708065898e-05,0.0003131042507228,0.0036251450066738,0.0161636717630312,0.0134027685452027,0.0145037106645775,-9.38941425239587,-9.078675926895276,-8.977534859550845,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604,,0.007899056720942,1,,,8.289306334778562e-11,,,5.0180905288111886,1.0,0.0,0.0
1988-05-30,1064.6099853515625,1064.6099853515625,1064.6099853515625,1064.6099853515625,0.0091435448258544,0.0091435448258544,0.0,0.0,8.360441198240944e-05,-9.38941425239587,0.0,0.0,0.0,8.360441198240878e-05,0.0002815139916413,0.00370843598323,0.0160407063562473,0.0132807330904565,0.0139675631547871,-9.146192720018645,-9.199358262093524,-9.009560612437443,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604,,0.0091435448258544,1,,0.0031317338169924,8.289306334778562e-11,2.2020332545631893e-05,,3.3672144997960025,1.0,0.0,0.0
1988-05-31,1075.6600341796875,1075.6600341796875,1075.6600341796875,1075.6600341796875,0.0103259372989219,0.0103259372989219,0.0,0.0,0.0001066249811012,-9.146192720018645,0.0,0.0,0.0,0.0001066249811012,0.0003878117905094,0.0038010769955995,0.0102933895696341,0.0134461442213124,0.0139704745779257,-8.011286433871062,-9.411720438027132,-8.936268643520977,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604,,0.0103259372989219,1,,0.0024819533690174,8.289306334778562e-11,2.4765194915747e-05,,3.637156910763368,1.0,0.0,0.0
1988-06-01,1095.4300537109375,1095.4300537109375,1095.4300537109375,1095.4300537109375,0.0182125708288759,0.0182125708288759,0.0,0.0,0.0003316977361968,-8.011286433871062,0.0,0.0,0.0,0.0003316977361968,0.0005926170709922,0.0040585188864384,0.0111850306507542,0.0139362100829667,0.0140596390009675,-10.22968262678942,-8.858101858986284,-8.982078852295244,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604,1.340661429914542,0.0182125708288759,1,,0.0038331234092515,8.289306334778562e-11,5.372851913167248e-05,,1.7866177683346498,1.0,0.0,0.0
1988-06-03,1102.030029296875,1102.030029296875,1102.030029296875,1102.030029296875,0.0060069308950438,0.0060069308950438,0.0,0.0,3.6083218777831856e-05,-10.22968262678942,0.0,0.0,0.0,3.608321877783171e-05,0.0006204054451389,0.0040824092630353,0.0108624746590756,0.0137750226645511,0.0140242185299833,-11.301661198739913,-8.801202866752663,-8.98243172007812,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604,1.2276012354544776,0.0060069308950438,1,,0.0055076267141676,8.289306334778562e-11,4.7037397158491794e-05,,17.193738501131648,1.0,0.0,0.0
1988-06-06,1105.9100341796875,1105.9100341796875,1105.9100341796875,1105.9100341796875,0.0035145961984545,0.0035145961984545,0.0,0.0,1.2352386438191002e-05,-11.301661198739913,0.0,0.0,0.0,1.2352386438190822e-05,0.0005703627344965,0.0039657681278933,0.005105558604017,0.013775122509592,0.0134436325609524,-10.883624203230228,-8.773453981896267,-8.906944734899984,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604,1.2749452003808943,0.0035145961984545,1,,0.0050050780445712,8.289306334778562e-11,4.287698294015831e-05,,46.17429119273461,1.0,0.0,0.0
1988-06-07,1101.1300048828125,1101.1300048828125,1101.1300048828125,1101.1300048828125,-0.0043316266911706,-0.0043316266911706,0.0,0.0,1.8762989791662383e-05,-10.883624203230228,0.0,0.0,0.0,1.876298979166156e-05,0.0005055213123057,0.0039464911060641,0.0063084677081806,0.0135241392953332,0.0134536156695743,-11.522523405024597,-8.777583917231217,-8.895521293760691,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604,1.2282721765454112,0.0043316266911706,1,,0.0054109558795789,8.289306334778562e-11,4.3904389611367445e-05,,26.9424697756798,1.0,0.0,0.0
1988-06-08,1097.6700439453125,1097.6700439453125,1097.6700439453125,1097.6700439453125,-0.0031471381812117,-0.0031471381812117,0.0,0.0,9.904478731640928e-06,-11.522523405024597,0.0,0.0,0.0,9.904478731640486e-06,0.0004088008099361,0.0039495841998669,0.0067911425438971,0.0135514235234027,0.0132638293642255,-7.3634288340785,-8.550376592539875,-8.855287466169154,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604,1.250320690662372,0.0031471381812117,1,,0.0048826474583764,8.289306334778562e-11,3.8994958342782125e-05,,41.27433454481814,1.0,0.0,0.0
1988-06-09,1125.6600341796875,1125.6600341796875,1125.6600341796875,1125.6600341796875,0.0251797691643666,0.0251797691643666,0.0,0.0,0.0006340207751707,-7.3634288340785,0.0,0.0,0.0,0.0006340207751707,0.0007111238489101,0.004532794075523,0.0090119574828754,0.0143595223585845,0.0134564771236076,-9.462414308542662,-9.409004922593988,-9.072505255831205,-26.937873935368604,-26.937873935368604,-26.937873935368604,-26.937873935368604,1.4826998729209957,0.0251797691643666,0,,0.0074875652236211,8.289306334778562e-11,6.820584510324662e-05,,1.121609694251788,1.0,0.0,0.0
