ticker,model,family,horizon,n_trees,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_lambda,reg_alpha,rmse,mae,qlike,mase,hit_rate,mz_alpha,mz_beta,mz_r2,mz_alpha_p,mz_beta_p,dm_stat,dm_p,jb_p,ljungbox_p,bp_p,tail_corr,tail_corr_p,tail_shape_y,tail_shape_yhat,tail_lambda_90,tail_lambda_95,ceq_gain_bps,enc_beta2,enc_beta2_p,n_params,param_sample_ratio,n_obs_total,n_train,n_test,n_features
HANG_SENG,XGB-QLIKE-HAR-X,XGB-QLIKE-HAR-X,1,300,2,0.05,0.8,0.8,10.0,10.0,1.0,0.00041577313359588856,0.0001426883242958866,0.40896562765678,0.663618284123932,0.7343173431734318,2.3498955714805636e-05,0.9355437680456222,0.1364757527664191,0.09821771750156683,2.0617563399191695e-62,-1.9070607984133536,0.05666370769216145,0.0,0.017897415138517496,,0.21130225213994847,0.0034280283219047135,0.5571000196577593,0.3969823230406729,0.4021164021164021,0.32978723404255317,,,,2100,0.27686222808174027,9482,7585,1897,8
HANG_SENG,XGB-QLIKE-HAR-X,XGB-QLIKE-HAR-X,5,300,2,0.05,0.8,0.8,10.0,10.0,1.0,0.0002380931691044268,0.00010557215315628873,0.20393935681621242,0.49099750434776773,0.7538218239325251,4.729908368514225e-05,0.7845405887638782,0.23045502724480615,3.791631356478774e-08,6.134003570171229e-110,-2.2192056298825706,0.026590703588132536,0.0,0.0,,0.3460894819946901,1.0030781528458498e-06,0.5922979246482553,0.3852511341123809,0.455026455026455,0.4148936170212766,,,,2100,0.27686222808174027,9482,7585,1897,8
HANG_SENG,XGB-QLIKE-HAR-X,XGB-QLIKE-HAR-X,10,300,2,0.05,0.8,0.8,10.0,10.0,1.0,0.00021158193104147817,0.00010092641581780268,0.1940331366330098,0.46939099760469655,0.7559304164470216,7.891592781581372e-05,0.6253556837133806,0.1743437458272029,3.985449447394486e-23,6.435917259618883e-81,-1.3263176054204437,0.18489425735019305,0.0,0.0,,0.22315212114054772,0.0019697128036368764,0.6427325355605273,0.30644151586401797,0.3968253968253968,0.3829787234042553,,,,2100,0.27686222808174027,9482,7585,1897,8
HANG_SENG,XGB-QLIKE-HAR-X,XGB-QLIKE-HAR-X,21,200,2,0.05,0.8,0.8,5.0,5.0,0.0,0.00018180881207974754,0.00010555917824382348,0.18082379457790598,0.49093716031338835,0.7090142329994729,9.702893608858586e-05,0.4842505770451324,0.1306891280274779,3.1671160995823337e-37,1.1799578663853677e-59,0.24534961314804685,0.8062122925572832,0.0,0.0,,-0.1273307098428358,0.08000041312046006,0.27392191556131235,0.22737922438629352,0.35978835978835977,0.1702127659574468,,,,1400,0.1845748187211602,9482,7585,1897,8
HANG_SENG,XGB-QLIKE-HAR-X,XGB-QLIKE-HAR-X,63,200,2,0.05,0.8,0.8,5.0,5.0,0.0,0.00015220010308681153,0.00010705181032052428,0.17949766939090678,0.4978791294090131,0.6273062730627307,0.0001622186698390603,0.18847250009852184,0.031215411323936904,1.1381444728129546e-133,9.106469673098422e-15,4.3733177548502065,1.2901211993376904e-05,4.151054273596036e-51,0.0,,-0.10706218890342369,0.14149645477499412,0.04898619639089523,0.15354962377830933,0.07936507936507936,0.010638297872340425,,,,1400,0.1845748187211602,9482,7585,1897,8
HANG_SENG,XGB-QLIKE-HAR-X,XGB-QLIKE-HAR-X,100,200,2,0.05,0.8,0.8,5.0,5.0,0.0,0.00013413804975130793,0.00010363704175501919,0.15308443498827604,0.4819976417869305,0.5846072746441751,0.00017662049590886047,0.12142810173844953,0.01619219919822179,1.2404295819074882e-180,2.678901804717092e-08,6.0224578929555905,2.0580031012684685e-09,0.020462250961250816,0.0,,0.04284712028512733,0.5572177636424263,0.03245788567680915,0.11882679238606403,0.0582010582010582,0.0,,,,1400,0.1845748187211602,9482,7585,1897,8
AEX_NETHERLANDS,XGB-QLIKE-HAR-X,XGB-QLIKE-HAR-X,1,200,2,0.05,0.8,0.8,5.0,5.0,0.0,0.0003120132631915738,9.854295468029884e-05,0.4337391679662003,0.673967151274045,0.8440311937612478,-4.975036430354156e-05,1.3358817065610764,0.4425408639114612,4.243533263878646e-08,1.5495911817202508e-213,-1.7299451471354925,0.0838252779887223,0.0,5.116599255635452e-25,,0.46642944747338366,2.1121623252159817e-10,0.759627942629384,0.6634660579847642,0.5060240963855421,0.46987951807228917,,,,1400,0.21002100210021002,8333,6666,1667,8
AEX_NETHERLANDS,XGB-QLIKE-HAR-X,XGB-QLIKE-HAR-X,5,300,2,0.05,0.8,0.8,10.0,10.0,1.0,0.00022226830958510974,7.505422245270245e-05,0.26017864361642756,0.5133201116370558,0.8602279544091181,-1.5552470664639352e-05,1.212609868693979,0.5055172471972766,0.016634798131190273,6.6050522546460735e-257,-1.666313833900794,0.09583890314911203,0.0,0.0,,0.4600755459820463,3.9714122715791473e-10,0.7282570262474163,0.5765462097795223,0.4759036144578313,0.5421686746987951,,,,2100,0.31503150315031503,8333,6666,1667,8
AEX_NETHERLANDS,XGB-QLIKE-HAR-X,XGB-QLIKE-HAR-X,10,300,2,0.05,0.8,0.8,10.0,10.0,1.0,0.00021266551698858707,7.465903085405682e-05,0.2792964499100963,0.5106172684271001,0.8530293941211757,-7.231905971337026e-06,1.1428357664640147,0.43071644600381975,0.27001447472702433,6.092832174969889e-206,-1.6956842988567775,0.09013252624931067,0.0,0.0,,0.3777170272192277,4.848902164513092e-07,0.852673135721007,0.5522033648103546,0.4457831325301205,0.5421686746987951,,,,2100,0.31503150315031503,8333,6666,1667,8
AEX_NETHERLANDS,XGB-QLIKE-HAR-X,XGB-QLIKE-HAR-X,21,300,2,0.05,0.8,0.8,10.0,10.0,1.0,0.00020372399955003836,7.78420269976055e-05,0.32529674833215894,0.5323868089319848,0.8326334733053389,2.173139235318314e-05,0.9096564650999559,0.2604115497899532,0.001544353892883968,3.2875777817684047e-111,-1.7404029853156242,0.08197291732859546,0.0,0.0,,0.09860399682562587,0.20488168806910115,0.903386381401529,0.44849241701013576,0.4457831325301205,0.3855421686746988,,,,2100,0.31503150315031503,8333,6666,1667,8
