ticker,model,family,horizon,d_model,nhead,num_layers,dropout,weight_decay,lr,max_epochs,batch_size,rmse,mae,qlike,mase,hit_rate,mz_alpha,mz_beta,mz_r2,mz_alpha_p,mz_beta_p,mz_joint_p,jb_stat,jb_p,ljungbox_stat,ljungbox_p,ljungbox_sq_stat,ljungbox_sq_p,bp_p,arch_p,tail_corr_90,tail_corr_p_90,tail_corr_95,tail_corr_p_95,ceq_gain_bps,enc_beta2,enc_beta2_p,pit_ks_stat,pit_ks_p,cc_p_95,stress_qlike,stress_correlation,self_attention_to_t_minus_1,causal_violation,self_attention_sparsity,attention_entropy,attention_gini,avg_attention_matrix,n_params,param_sample_ratio,n_obs_total,n_train,n_test,n_features,n_nonstationary_feats,window,target_param_ratio,sigma2_final
SP500,Decoder-Only Transformer-HAR-X-Attention,Decoder-Only Transformer-HAR-X,1,16,2,2,0.2,0.0005,0.0005,250,64,0.0003394782017423295,0.00024300763833368655,1.1068535292036785,1.6082498676980534,0.4898752301084066,-6.480934677719264e-05,0.5330185144219419,0.24638583942689385,6.814027539388538e-33,1.2988296817239302e-302,1.298829681724892e-302,789468.9768388382,0.0,8060.858922737965,0.0,1878.9012243812408,0.0,1.078549014559384e-212,,0.21754491024240366,0.000432253092717433,0.08420031740433787,0.3885348762745008,,0.24429232971910309,7.868722076288612e-30,0.49940906775820204,0.0,,0.299106209163857,0.3772127658264353,0.3287414014339447,0.0,0.44,2.5663392543792725,0.5621216769759587,"[[1.         0.         0.         0.         0.        ]
 [0.5195746  0.48042557 0.         0.         0.        ]
 [0.3434618  0.34138477 0.3151531  0.         0.        ]
 [0.25833178 0.25470123 0.25317714 0.23379049 0.        ]
 [0.20742233 0.20425469 0.20192997 0.2008291  0.18556412]]",6866,0.35071767890892375,24472,19577,4895,8,0,5,0.5,1.7735017094007735
SP500,Decoder-Only Transformer-HAR-X-Attention,Decoder-Only Transformer-HAR-X,5,16,4,2,0.1,0.0001,0.0005,250,64,0.0002831416076896361,0.00016936768422715147,0.9335119681396219,1.1208112476483094,0.48424713584288054,-4.7174412042622216e-05,0.6874939425411317,0.1356141725695873,4.854848973625945e-13,6.851601099320276e-157,6.851601099332753e-157,3475274.6837158524,0.0,6657.494458940927,0.0,1205.5546983521594,9.129071824267626e-253,1.2514262415173682e-38,,0.11587107893869641,0.08787154693869861,-0.09202037351443124,0.37771896088576506,,0.12585560295113313,0.001119869729455339,0.4996302001734419,0.0,,0.5042650315402174,0.28275794477501354,0.32070159912109375,0.0,0.48,2.566930055618286,0.5602517572925325,"[[1.         0.         0.         0.         0.        ]
 [0.5013849  0.49861512 0.         0.         0.        ]
 [0.3345314  0.33164802 0.33382133 0.         0.        ]
 [0.25049204 0.24870849 0.24956091 0.25123978 0.        ]
 [0.20035003 0.19855769 0.19926436 0.20021252 0.20161504]]",6866,0.350771431490753,24468,19574,4894,8,0,5,0.5,1.6717876697534788
SP500,Decoder-Only Transformer-HAR-X-Attention,Decoder-Only Transformer-HAR-X,10,16,2,1,0.1,0.0001,0.0005,250,64,0.00032521462239641115,0.00022496545830609762,1.0994685109984808,1.4885845785681322,0.49887456517290774,-4.514465336300904e-05,0.5215461903689682,0.14765565372720446,4.664184335974381e-13,9.224795703232218e-172,9.224795703242563e-172,1894752.7025459902,0.0,7398.706560927419,0.0,1159.5087207348383,7.79196246576414e-243,5.876989974727549e-65,,0.2749843823085303,9.203343218473226e-05,0.16554554460116044,0.12769047554308535,,0.26975066035757034,1.0140370914054628e-16,0.49960017717441085,0.0,,0.44267844035002835,0.2384098545382148,0.32659924030303955,0.0,0.48,2.566321849822998,0.5622989512369867,"[[1.         0.         0.         0.         0.        ]
 [0.5210212  0.47897923 0.         0.         0.        ]
 [0.34181163 0.32971355 0.3284742  0.         0.        ]
 [0.26262864 0.23452932 0.25160208 0.25123945 0.        ]
 [0.2129384  0.1891642  0.18785684 0.20406021 0.205979  ]]",3586,0.1832396525293817,24463,19570,4893,8,0,5,0.5,1.8328504700226693
SP500,Decoder-Only Transformer-HAR-X-Attention,Decoder-Only Transformer-HAR-X,21,16,2,2,0.2,0.0005,0.0003,250,64,0.0008966051765648563,0.0007535828841805088,2.0057788968061385,4.984638563007216,0.5095189355168884,6.166223056931799e-06,0.11558790229334802,0.045841840732329,0.40128789756229377,9.078369950672207e-52,9.078369950698831e-52,17254.71046217746,0.0,25669.393685467086,0.0,18107.908608382193,0.0,0.0,,-0.0076019518996165904,0.9261900213937374,-0.25868432479374726,0.07584328683904479,,0.002140744500334899,0.8447641350824866,0.4992438636850474,0.0,,0.5515714122041592,0.09899488307844512,0.3193923234939575,0.0,0.52,2.5669286251068115,0.5602631885693308,"[[1.         0.         0.         0.         0.        ]
 [0.49827847 0.5017216  0.         0.         0.        ]
 [0.3336414  0.3312521  0.33510846 0.         0.        ]
 [0.25039274 0.24908817 0.248876   0.25164253 0.        ]
 [0.20044786 0.1993446  0.1993995  0.19916269 0.20164567]]",6866,0.3510045498696386,24452,19561,4891,8,0,5,0.5,3.2115535640578736
SP500,Decoder-Only Transformer-HAR-X-Attention,Decoder-Only Transformer-HAR-X,63,16,4,2,0.2,0.0001,0.0005,250,64,0.0003397813796980416,0.0002226508455424438,1.194036279482283,1.4708135402117803,0.4854388843314192,6.674122597292077e-05,0.137581386935694,0.005514141378101245,3.3056005879054657e-17,2.0845648162903768e-07,2.0845648162859844e-07,1822131.6986363267,0.0,13147.603734006361,0.0,1711.9045306363712,0.0,8.257873756944729e-19,,-0.147002700270027,0.1444311817221461,-0.04035087719298246,0.8697227104002634,,-0.02455264555273592,0.4717300348664971,0.4995802994748523,0.0,,1.035057340875778,0.006269204692620629,0.32072222232818604,0.0,0.52,2.566906213760376,0.5604959645394518,"[[1.         0.         0.         0.         0.        ]
 [0.4952894  0.5047105  0.         0.         0.        ]
 [0.32932365 0.3351992  0.3354765  0.         0.        ]
 [0.24623114 0.25033203 0.25114718 0.25229022 0.        ]
 [0.19820781 0.1985637  0.19978835 0.20125316 0.20218727]]",6866,0.35159770585825484,24410,19528,4882,8,0,5,0.5,2.0965508905617334
SP500,Decoder-Only Transformer-HAR-X-Attention,Decoder-Only Transformer-HAR-X,100,16,4,2,0.2,0.0005,0.0005,250,64,0.000331198248473594,0.00021872780296867063,1.2046645997833751,1.442934776876885,0.5130416923392894,8.823552442910469e-05,0.0564188471187245,0.0005942563232078646,1.235380498197118e-21,0.08894290551081943,0.08894290551088033,2249014.453628936,0.0,13208.166724952614,0.0,1816.574850993269,0.0,6.266006122395889e-05,,-0.1842105263157895,0.17015105922822799,-0.3356643356643357,0.2861229029149875,,-0.10693634507260096,0.016403051961307303,0.4996435755496744,0.0,,1.0632680242409376,-0.06135582626533133,0.32388296723365784,0.0,0.48,2.566880702972412,0.5606877630494276,"[[1.         0.         0.         0.         0.        ]
 [0.500012   0.49998796 0.         0.         0.        ]
 [0.32778797 0.3387367  0.3334759  0.         0.        ]
 [0.24462512 0.25118726 0.2536499  0.25053886 0.        ]
 [0.1947805  0.19998734 0.201441   0.20313321 0.2006577 ]]",6866,0.3521386808903477,24373,19498,4875,8,0,5,0.5,2.0070849096458145
SP500,Decoder-Only Transformer-HAR-X-Attention,Decoder-Only Transformer-HAR-X,1,16,4,2,0.1,0.0001,0.0005,250,64,0.00025906913351671256,0.00015659939786058166,0.8205456403840637,1.0363911299983315,0.4918099918099918,-6.897998408778295e-05,0.7793496320777118,0.3148204921992669,7.01540826419507e-45,0.0,0.0,2956821.263990419,0.0,2936.1182769378665,0.0,808.1220521756435,3.70179652997884e-167,1.897732313820377e-94,,0.37338168500475793,9.324293661895062e-10,0.4550633812847173,1.9983331295274807e-07,,0.5630908431246825,1.3305679805462326e-91,0.49955972576877455,0.0,,0.3037836718364495,0.46642925902131954,0.21760453283786774,0.0,0.51,3.8129258155822754,0.6154585234051466,"[[1.         0.         0.         0.         0.         0.
  0.         0.         0.         0.        ]
 [0.5058997  0.49410048 0.         0.         0.         0.
  0.         0.         0.         0.        ]
 [0.33312336 0.33887094 0.3280051  0.         0.         0.
  0.         0.         0.         0.        ]
 [0.25157732 0.24947384 0.25427222 0.24467763 0.         0.
  0.         0.         0.         0.        ]
 [0.20151182 0.20075847 0.19921023 0.20336895 0.19515027 0.
  0.         0.         0.         0.        ]
 [0.16929342 0.16708332 0.16655236 0.1655614  0.16943558 0.1620739
  0.         0.         0.         0.        ]
 [0.14594708 0.14384432 0.1424019  0.14232138 0.14160973 0.14520432
  0.13867196 0.         0.         0.        ]
 [0.1276373  0.12664102 0.12513018 0.12415101 0.12436195 0.12392378
  0.12703723 0.12111715 0.         0.        ]
 [0.11415487 0.11241164 0.11165538 0.11080097 0.11007004 0.1104872
  0.11023025 0.11281954 0.10737064 0.        ]
 [0.10306997 0.10183941 0.10030024 0.09999546 0.09940748 0.09891614
  0.09939665 0.09911113 0.1015323  0.09643139]]",6866,0.35071767890892375,24472,19577,4895,8,0,10,0.5,1.328052971220444
SP500,Decoder-Only Transformer-HAR-X-Attention,Decoder-Only Transformer-HAR-X,5,16,2,2,0.1,0.0001,0.0005,250,64,0.0002840279020493756,0.00018420312059919637,0.9931248171076834,1.218986552018995,0.4886340364530002,-7.819823903979963e-05,0.7532612552359941,0.19770917986515346,4.210149435177122e-35,7.64232280409127e-236,7.642322804107192e-236,3881285.5209673685,0.0,4676.153855096784,0.0,962.2830852908032,2.48531376867909e-200,6.1133446214350216e-43,,0.3519437854651392,8.184992352430095e-08,0.1795839469808542,0.07838963161622405,,0.4479309871642842,1.909697156038568e-26,0.4997052684782361,0.0,,0.42053737315413897,0.3331426888365726,0.216319739818573,0.0,0.49,3.8128294944763184,0.61550154236984,"[[1.         0.         0.         0.         0.         0.
  0.         0.         0.         0.        ]
 [0.5108422  0.4891576  0.         0.         0.         0.
  0.         0.         0.         0.        ]
 [0.34342706 0.3352135  0.3213585  0.         0.         0.
  0.         0.         0.         0.        ]
 [0.25625527 0.25376043 0.2504682  0.23951535 0.         0.
  0.         0.         0.         0.        ]
 [0.20444946 0.20217317 0.20235711 0.20018114 0.19083875 0.
  0.         0.         0.         0.        ]
 [0.16902839 0.16832313 0.1680627  0.1685292  0.167039   0.1590177
  0.         0.         0.         0.        ]
 [0.14464687 0.1430567  0.14378238 0.14395554 0.14454654 0.14331466
  0.13669747 0.         0.         0.        ]
 [0.12638047 0.12487044 0.1245951  0.12556234 0.12590171 0.12666525
  0.12600449 0.12001973 0.         0.        ]
 [0.11275738 0.11065449 0.11035155 0.11047036 0.111548   0.1119706
  0.11291699 0.11234873 0.10698221 0.        ]
 [0.10123224 0.10003702 0.09902929 0.09902593 0.09926046 0.10041724
  0.10107465 0.10193203 0.10146569 0.09652564]]",6866,0.350771431490753,24468,19574,4894,8,0,10,0.5,1.7008827545350316
SP500,Decoder-Only Transformer-HAR-X-Attention,Decoder-Only Transformer-HAR-X,10,16,2,2,0.2,0.0001,0.0005,250,64,0.0003433166986035889,0.0002335593699780315,1.0943790930081465,1.5454500390736783,0.5020483408439165,-2.191057194541636e-05,0.42741920893489593,0.12333990544919471,0.0002593162639832609,9.797561967269161e-142,9.797561967265023e-142,1455341.512468255,0.0,11078.94374576123,0.0,1075.6438632233053,9.386024164807677e-225,1.9936295701931807e-59,,0.21761090916393871,0.0018159329963392176,0.12982959069915592,0.21998291283298407,,0.1109152894625278,0.0001316636216889059,0.4996534826782615,0.0,,0.5225837109157258,0.2126166085462648,0.20927321910858154,0.0,0.54,3.812624216079712,0.6156086694284011,"[[1.         0.         0.         0.         0.         0.
  0.         0.         0.         0.        ]
 [0.48009357 0.5199062  0.         0.         0.         0.
  0.         0.         0.         0.        ]
 [0.32609862 0.32407787 0.34982267 0.         0.         0.
  0.         0.         0.         0.        ]
 [0.24653126 0.2456193  0.24428797 0.2635613  0.         0.
  0.         0.         0.         0.        ]
 [0.1976249  0.19743815 0.19705355 0.19602296 0.21186009 0.
  0.         0.         0.         0.        ]
 [0.1648166  0.16466215 0.16480295 0.16454911 0.16413487 0.17703433
  0.         0.         0.         0.        ]
 [0.14087057 0.14119288 0.14135545 0.14144203 0.14170669 0.14117552
  0.15225708 0.         0.         0.        ]
 [0.12410321 0.12308386 0.12348174 0.12374314 0.12413789 0.12416768
  0.12375528 0.13352692 0.         0.        ]
 [0.10967671 0.11017133 0.10945547 0.10978968 0.11036689 0.11053208
  0.11060961 0.11030734 0.11909136 0.        ]
 [0.09907962 0.09851976 0.09908654 0.09850308 0.09903296 0.09937766
  0.09964584 0.09976966 0.09960356 0.10738129]]",6866,0.35084312723556466,24463,19570,4893,8,0,10,0.5,1.873310218180606
SP500,Decoder-Only Transformer-HAR-X-Attention,Decoder-Only Transformer-HAR-X,21,16,4,2,0.1,0.0001,0.0005,250,64,0.00030313178598526043,0.00018685976887386182,1.0179631973964334,1.2359999534970307,0.49221311475409835,-1.0784101145605594e-05,0.49103738407858954,0.07218459919810005,0.11942940976269018,1.7779159500446765e-81,1.7779159500444497e-81,2965380.4581166673,0.0,9612.177330012715,0.0,1451.0293722800193,9.500502243936325e-306,5.341739965500178e-18,,0.06660534036099647,0.38956908300324333,-0.08390343833381808,0.46518203277459125,,0.16582657556946132,0.0003087820315670965,0.49972520587452773,0.0,,0.7497284002186472,0.1628762385019664,0.21900494396686554,0.0,0.5,3.812894821166992,0.6155418452746126,"[[1.         0.         0.         0.         0.         0.
  0.         0.         0.         0.        ]
 [0.500499   0.4995009  0.         0.         0.         0.
  0.         0.         0.         0.        ]
 [0.33073464 0.3391901  0.33007494 0.         0.         0.
  0.         0.         0.         0.        ]
 [0.24703342 0.25084203 0.25587928 0.24624532 0.         0.
  0.         0.         0.         0.        ]
 [0.19858961 0.19854632 0.2011307  0.2051752  0.19655797 0.
  0.         0.         0.         0.        ]
 [0.16398886 0.16552928 0.16623019 0.1683301  0.17224655 0.16367549
  0.         0.         0.         0.        ]
 [0.14064725 0.14064515 0.14234841 0.14312734 0.14516962 0.14833815
  0.13972373 0.         0.         0.        ]
 [0.12303012 0.12260348 0.12337814 0.12521783 0.12627557 0.12748948
  0.1298979  0.12210733 0.         0.        ]
 [0.10940956 0.10890889 0.10915934 0.11042615 0.11212286 0.11275804
  0.11339309 0.11557094 0.10825172 0.        ]
 [0.09790119 0.09761681 0.09838461 0.098863   0.1002083  0.10139284
  0.10178918 0.10218162 0.10424735 0.09741516]]",6866,0.3510045498696386,24452,19561,4891,8,0,10,0.5,1.7763003902649492
