Date,Open,High,Low,Close,r_cc,r_overnight,r_intraday,r_range
2007-04-02,4177.31005859375,4191.759765625,4163.77001953125,4189.5498046875,0.0020357066991888426,-0.0008900635479303679,0.0029257702471190868,0.006699718990790538
2007-04-03,4199.5400390625,4248.06982421875,4199.5400390625,4246.2998046875,0.013454686543658157,0.002381721803824027,0.011072964739834113,0.011489715984292445
2007-04-04,4252.7099609375,4261.830078125,4242.0498046875,4261.830078125,0.0036506943123350366,0.0015084480762470498,0.002142246236087881,0.0046520669114196765
2007-04-05,4259.97998046875,4274.169921875,4253.7900390625,4271.5400390625,0.002275763267007336,-0.00043420298565592923,0.0027099662526631225,0.004779553774306551
2007-04-10,4275.68017578125,4307.66015625,4267.009765625,4301.47021484375,0.0069824475878265185,0.0009687680762821062,0.006013679511544146,0.009481576675276795
2007-04-11,4298.240234375,4326.7001953125,4284.919921875,4293.2001953125,-0.0019244535715591657,-0.0007511835752393451,-0.0011732699963198476,0.009703308015000673
2007-04-12,4290.10986328125,4291.10009765625,4249.2998046875,4280.02001953125,-0.0030747340753474756,-0.000720079350200748,-0.00235465472514676,0.009788915561688148
2007-04-13,4285.56005859375,4319.27978515625,4284.02978515625,4317.35009765625,0.00868412368358204,0.0012935585878549821,0.0073905650957269975,0.008194566746094431
2007-04-16,4333.9501953125,4380.52001953125,4333.39013671875,4379.25,0.014235666122699138,0.003837600699736162,0.010398065422962845,0.010817266080297646
2007-04-17,4374.35986328125,4391.27978515625,4348.6201171875,4384.3798828125,0.0011707211434098402,-0.00111728470969885,0.0022880058531086615,0.009762127079401616
2007-04-18,4377.77978515625,4377.77978515625,4338.509765625,4358.9501953125,-0.005816950516087671,-0.0015065004872360918,-0.004310450028851633,0.009010780334941735
2007-04-19,4330.35986328125,4339.93017578125,4288.10986328125,4339.93017578125,-0.004372988023715849,-0.006580599613100896,0.002207611589385081,0.012012214911901907
2007-04-20,4350.669921875,4431.330078125,4350.669921875,4416.7900390625,0.017554937293407808,0.0024715788185456,0.015083358474862257,0.01836994409032704
2007-04-23,4416.06982421875,4428.419921875,4390.93994140625,4400.1201171875,-0.003781356834243436,-0.0001630762531035546,-0.003618280581140033,0.008499529826484676
2007-04-24,4399.169921875,4402.85986328125,4348.68994140625,4367.830078125,-0.007365503754629623,-0.00021597090491967563,-0.007149532849710007,0.012379661866626961
2007-04-25,4380.58984375,4415.9599609375,4380.58984375,4404.43994140625,0.00834677358222548,0.0029170466865683846,0.005429726895656905,0.008041859272672112
