Date,Open,High,Low,Close,r_cc,r_overnight,r_intraday,r_range
1992-10-13,126.77315521240234,127.00458526611328,126.49180603027344,126.8502960205078,-0.0007509875062620302,-0.0013592972671238352,0.0006083097608619373,0.004045658659048731
1992-10-14,126.0561752319336,126.55533599853516,126.00172424316406,126.48727416992188,-0.0028659160091065454,-0.006279976898377375,0.0034140608892707907,0.004384059915344488
1992-10-15,126.09701538085938,126.56895446777344,125.68861389160156,125.8247528076172,-0.005251615572240719,-0.0030901296379259547,-0.00216148593431474,0.006979724381110429
1992-10-16,126.2649154663086,126.47819519042967,124.85819244384766,125.23029327392578,-0.004735699632070945,0.0034921153969987235,-0.008227815029069583,0.012891290408295012
1992-10-19,124.96710205078124,125.1849136352539,124.14122009277344,124.28643035888672,-0.007565564370539058,-0.002103869385870357,-0.005461694984668636,0.008372163986019221
1992-10-20,125.43903350830078,126.73685455322266,125.23483276367188,126.4736557006836,0.017445207063855335,0.009231027674759697,0.008214179389095742,0.011922288548144361
1992-10-21,127.23601531982422,127.5854263305664,126.10609436035156,126.3012237548828,-0.0013643125687055806,0.006009718987589006,-0.00737403155629468,0.011662579291988448
1992-10-22,126.2649154663086,126.42828369140624,125.43903350830078,125.66592407226562,-0.005042729056976501,-0.0002875150955412139,-0.004755213961435397,0.007855368303081884
1992-10-23,124.80374145507812,126.3420639038086,124.79920196533205,126.2240753173828,0.004431713525593007,-0.006884554429230231,0.011316267954823222,0.012286960038193944
1992-10-26,126.83214569091795,126.87298583984376,126.21500396728516,126.3375244140625,0.0008983875967743796,0.004805821737483447,-0.003907434140709231,0.005199641085356891
1992-10-27,126.15147399902344,126.8502960205078,125.8065948486328,126.6778564453125,0.0026902098627293257,-0.0014737311319045372,0.004163940994633898,0.008261853496601912
1992-10-28,126.51903533935548,126.67332458496094,126.26038360595705,126.40105438232422,-0.0021874771979947566,-0.0012545266702717612,-0.0009329505277229529,0.003265214026571845
1992-10-29,125.52979278564452,125.56155395507812,124.71298217773438,124.7810516357422,-0.012899208744076924,-0.006916700197331965,-0.005982508546745014,0.0067811535458889875
1992-10-30,125.4980239868164,125.57970428466795,124.02777099609376,124.0459213256836,-0.005908784245962745,0.005729398756713193,-0.01163818300267595,0.01243515071105306
1992-11-02,123.75096130371094,125.04424285888672,123.39701080322266,125.02155303955078,0.007834316435105333,-0.002380660790814449,0.010214977225919847,0.013260730009271967
1992-11-03,126.38290405273438,126.56441497802734,125.90189361572266,126.2240753173828,0.009572556293425415,0.010830073062581384,-0.0012575167691558906,0.005248406306562501
1992-11-04,125.93819427490234,126.06071472167967,125.01701354980467,125.27113342285156,-0.007578247394120556,-0.0022674380701398545,-0.005310809323980641,0.0083138173244891
1992-11-05,124.15937042236328,125.51617431640624,124.13668060302734,125.3891143798828,0.0009413615982428504,-0.008914469928767755,0.0098558315270104,0.011051407795903303
1992-11-06,125.43449401855467,126.24222564697266,125.17584228515624,126.0153350830078,0.004981789300888254,0.0003618450388843251,0.004619944262004045,0.008483000171308187
1992-11-09,125.87920379638672,126.7504653930664,125.87012481689452,126.24222564697266,0.0017988806717434064,-0.0010808594777775814,0.002879740149520964,0.0069696942684109656
1992-11-10,126.36475372314452,126.990966796875,126.20138549804688,126.7595443725586,0.004089453180502176,0.0009701084751240766,0.0031193447053781565,0.00623702770848306
1992-11-11,126.2376937866211,126.66424560546876,126.04256439208984,126.20592498779295,-0.004377042210872369,-0.004125351959004804,-0.0002516902518675964,0.004920187687347597
1992-11-12,126.81853485107422,127.98021697998048,126.55533599853516,127.59449768066406,0.010942350160883123,0.0048423070299796435,0.006100043130903496,0.011196045888137057
1992-11-13,127.29954528808594,127.63987731933594,126.91382598876952,127.0000457763672,-0.0046698014536731315,-0.0023143147700996074,-0.0023554866835734747,0.00570451963599355
1992-11-16,127.03180694580078,127.80323791503906,126.97281646728516,127.34491729736328,0.002711842437763757,0.0002500565913977314,0.0024617858463659784,0.006518857437601749
1992-11-17,127.068115234375,127.4175262451172,126.81853485107422,127.00458526611328,-0.0026760990757003374,-0.0021760062325053347,-0.0005000928431948743,0.004712097094225028
1992-11-18,126.60071563720705,126.61432647705078,125.97449493408205,126.36475372314452,-0.005050594563779091,-0.0031850278277751145,-0.001865566736003972,0.005066201329953919
1992-11-19,126.52357482910156,126.53265380859376,125.3936538696289,125.3936538696289,-0.007714575882657053,0.0012560573890223025,-0.00897063327167944,0.009042387913286008
1992-11-20,125.37550354003906,125.90189361572266,124.82189178466795,125.70222473144533,0.00245779436021744,-0.00014475727245746221,0.0026025516326748503,0.008615126077239252
1992-11-23,125.94727325439452,126.07886505126952,124.73113250732422,124.90357208251952,-0.0063737979158462734,0.0019475389568776563,-0.008321336872723916,0.01074714348780279
1992-11-24,124.40895080566406,124.6313018798828,123.85987091064452,124.62222290039062,-0.002255071876461173,-0.003967886731669634,0.001712814855208576,0.006208940453345613
1992-11-25,124.88542175292967,125.0805435180664,124.640380859375,124.94441223144533,0.0025819918586391048,0.0021097465813543683,0.00047224527728475206,0.0035252401505834557
1992-11-26,125.03517150878906,125.96088409423828,125.03517150878906,125.75668334960938,0.006480019232428276,0.0007261335503776455,0.005753885682050509,0.007376345262420304
1992-11-27,126.04256439208984,126.06071472167967,125.42996215820312,125.55248260498048,-0.0016250962339026613,0.002270707064303161,-0.003895803298205856,0.005016121423321005
1992-11-30,126.17416381835938,126.46004486083984,125.93365478515624,126.2240753173828,0.005334843805704617,0.0049393458034606725,0.00039549800224367187,0.004171188422177169
1992-12-01,126.24676513671876,127.14525604248048,125.89281463623048,126.89567565917967,0.0053065943311337415,0.00017974209897848306,0.005126852232155242,0.00989931381290653
1992-12-02,126.7913055419922,127.29046630859376,126.60071563720705,126.70054626464844,-0.0015388985810583095,-0.000822826008507648,-0.0007160725725506865,0.005433448795049334
1992-12-03,127.27685546875,128.30239868164062,127.25869750976562,127.97567749023438,0.010013827457216006,0.004538279305997995,0.005475548151217942,0.008167964451728904
1992-12-04,128.11634826660156,128.11634826660156,127.59903717041016,127.98021697998048,3.547087482388292e-05,0.0010985956325627638,-0.001063124757738845,0.004045996692843121
1992-12-07,127.86222839355467,128.62911987304688,127.86222839355467,128.19802856445312,0.0017004694250677714,-0.0009223535572317134,0.0026228229822994782,0.005979880178759965
1992-12-08,127.92122650146484,128.4612274169922,127.90760803222656,128.320556640625,0.0009553154629514682,-0.002161510041001749,0.00311682550395328,0.0043189356019807685
1992-12-09,129.02845764160156,129.1736602783203,128.738037109375,128.86509704589844,0.004234615820838025,0.0055014998866340595,-0.0012668840657960006,0.003378083178196531
1992-12-10,128.75164794921875,129.16912841796875,128.06643676757812,128.06643676757812,-0.006216931326660415,-0.0008807587722274852,-0.005336172554432927,0.008573452150354115
1992-12-11,127.52189636230467,127.8985366821289,127.10441589355467,127.6171875,-0.00351410639752749,-0.004261080484630154,0.0007469740871025918,0.006228346359906685
1992-12-14,127.70794677734376,127.73517608642578,126.83214569091795,127.14071655273438,-0.003740582688499128,0.0007109310364081881,-0.0044515137249071515,0.007094659102157741
1992-12-15,126.80038452148438,127.04995727539062,126.38290405273438,126.6460952758789,-0.003897932280714389,-0.0026804029247067393,-0.0012175293560076183,0.005264153666339084
1992-12-16,126.38743591308594,126.51903533935548,126.11970520019533,126.14693450927734,-0.003949170716978379,-0.002044467795821228,-0.0019047029211572263,0.0031612766187143946
1992-12-17,125.85651397705078,126.3375244140625,125.85651397705078,125.97903442382812,-0.0013318747844928733,-0.002304894338101231,0.0009730195536084708,0.003814610554282907
1992-12-18,126.60525512695312,127.22693634033205,126.44189453125,126.72323608398438,0.005889965374093399,0.0049585188952767575,0.0009314464788166966,0.006189521295465809
1992-12-21,127.11802673339844,128.28878784179688,127.11802673339844,127.88491821289062,0.009125318027204872,0.0031105342239958183,0.0060147838032090905,0.009167878394627803
1992-12-22,128.18441772460938,129.67282104492188,128.17080688476562,129.47769165039062,0.012377818006114595,0.002339207443103767,0.01003861056301093,0.01165071374734239
1992-12-23,129.70004272460938,130.6076202392578,129.59567260742188,130.2173614501953,0.005696464304149808,0.001715819681083115,0.003980644623066664,0.0077781700812203595
