Date,Open,High,Low,Close,r_cc,r_overnight,r_intraday,r_range
1965-01-06,1263.989990234375,1263.989990234375,1263.989990234375,1263.989990234375,0.004972841880624715,0.004972841880624715,0.0,0.0
1965-01-07,1274.27001953125,1274.27001953125,1274.27001953125,1274.27001953125,0.008100104374469959,0.008100104374469959,0.0,0.0
1965-01-08,1286.4300537109375,1286.4300537109375,1286.4300537109375,1286.4300537109375,0.009497500868685189,0.009497500868685189,0.0,0.0
1965-01-12,1288.5400390625,1288.5400390625,1288.5400390625,1288.5400390625,0.001638842975097069,0.001638842975097069,0.0,0.0
1965-01-13,1281.6700439453125,1281.6700439453125,1281.6700439453125,1281.6700439453125,-0.005345875439297441,-0.005345875439297441,0.0,0.0
1965-01-14,1289.5,1289.5,1289.5,1289.5,0.006090596985372392,0.006090596985372392,0.0,0.0
1965-01-18,1271.6800537109375,1271.6800537109375,1271.6800537109375,1271.6800537109375,-0.013915643161797747,-0.013915643161797747,0.0,0.0
1965-01-19,1270.3399658203125,1270.3399658203125,1270.3399658203125,1270.3399658203125,-0.0010543489071456118,-0.0010543489071456118,0.0,0.0
1965-01-20,1268.8800048828125,1268.8800048828125,1268.8800048828125,1268.8800048828125,-0.0011499288090237295,-0.0011499288090237295,0.0,0.0
1965-01-21,1270.4599609375,1270.4599609375,1270.4599609375,1270.4599609375,0.001244383406580287,0.001244383406580287,0.0,0.0
1965-01-22,1261.8299560546875,1261.8299560546875,1261.8299560546875,1261.8299560546875,-0.006815995463863054,-0.006815995463863054,0.0,0.0
1965-01-25,1249.719970703125,1249.719970703125,1249.719970703125,1249.719970703125,-0.009643510624301192,-0.009643510624301192,0.0,0.0
1965-01-26,1248.050048828125,1248.050048828125,1248.050048828125,1248.050048828125,-0.001337130408924006,-0.001337130408924006,0.0,0.0
1965-01-27,1258.2099609375,1258.2099609375,1258.2099609375,1258.2099609375,0.008107672567356125,0.008107672567356125,0.0,0.0
1965-01-28,1247.199951171875,1247.199951171875,1247.199951171875,1247.199951171875,-0.008789045326911006,-0.008789045326911006,0.0,0.0
1965-01-29,1242.27001953125,1242.27001953125,1242.27001953125,1242.27001953125,-0.003960632699437133,-0.003960632699437133,0.0,0.0
1965-02-01,1242.8299560546875,1242.8299560546875,1242.8299560546875,1242.8299560546875,0.0004506350154231342,0.0004506350154231342,0.0,0.0
1965-02-02,1238.75,1238.75,1238.75,1238.75,-0.003288195265157773,-0.003288195265157773,0.0,0.0
1965-02-03,1248.030029296875,1248.030029296875,1248.030029296875,1248.030029296875,0.007463524932290033,0.007463524932290033,0.0,0.0
1965-02-04,1261.5999755859375,1261.5999755859375,1261.5999755859375,1261.5999755859375,0.010814405720674174,0.010814405720674174,0.0,0.0
1965-02-05,1263.5899658203125,1263.5899658203125,1263.5899658203125,1263.5899658203125,0.001576111652983997,0.001576111652983997,0.0,0.0
1965-02-08,1258.9300537109375,1258.9300537109375,1258.9300537109375,1258.9300537109375,-0.0036946524698481115,-0.0036946524698481115,0.0,0.0
1965-02-09,1251.6800537109375,1251.6800537109375,1251.6800537109375,1251.6800537109375,-0.005775504632450685,-0.005775504632450685,0.0,0.0
1965-02-10,1248.6099853515625,1248.6099853515625,1248.6099853515625,1248.6099853515625,-0.0024557710140243557,-0.0024557710140243557,0.0,0.0
1965-02-12,1257.93994140625,1257.93994140625,1257.93994140625,1257.93994140625,0.007444494956424541,0.007444494956424541,0.0,0.0
1965-02-15,1249.5,1249.5,1249.5,1249.5,-0.0067319445152402265,-0.0067319445152402265,0.0,0.0
1965-02-16,1247.010009765625,1247.010009765625,1247.010009765625,1247.010009765625,-0.0019947775497015127,-0.0019947775497015127,0.0,0.0
1965-02-17,1237.0799560546875,1237.0799560546875,1237.0799560546875,1237.0799560546875,-0.007994965352432593,-0.007994965352432593,0.0,0.0
1965-02-18,1241.4100341796875,1241.4100341796875,1241.4100341796875,1241.4100341796875,0.003494129528489287,0.003494129528489287,0.0,0.0
1965-02-19,1237.3499755859375,1237.3499755859375,1237.3499755859375,1237.3499755859375,-0.0032758816574390416,-0.0032758816574390416,0.0,0.0
1965-02-22,1224.8199462890625,1224.8199462890625,1224.8199462890625,1224.8199462890625,-0.0101781256892734,-0.0101781256892734,0.0,0.0
1965-02-23,1223.5899658203125,1223.5899658203125,1223.5899658203125,1223.5899658203125,-0.0010047178506626677,-0.0010047178506626677,0.0,0.0
1965-02-24,1219.0999755859375,1219.0999755859375,1219.0999755859375,1219.0999755859375,-0.0036762711591869783,-0.0036762711591869783,0.0,0.0
1965-02-25,1216.7099609375,1216.7099609375,1216.7099609375,1216.7099609375,-0.001962398937288284,-0.001962398937288284,0.0,0.0
1965-02-26,1213.0699462890625,1213.0699462890625,1213.0699462890625,1213.0699462890625,-0.002996170443797542,-0.002996170443797542,0.0,0.0
1965-03-01,1206.47998046875,1206.47998046875,1206.47998046875,1206.47998046875,-0.005447279299908096,-0.005447279299908096,0.0,0.0
1965-03-02,1202.5400390625,1202.5400390625,1202.5400390625,1202.5400390625,-0.0032709939205352125,-0.0032709939205352125,0.0,0.0
1965-03-03,1207.8199462890625,1207.8199462890625,1207.8199462890625,1207.8199462890625,0.004381018357059136,0.004381018357059136,0.0,0.0
1965-03-04,1213.030029296875,1213.030029296875,1213.030029296875,1213.030029296875,0.00430434855895086,0.00430434855895086,0.0,0.0
1965-03-05,1209.6400146484375,1209.6400146484375,1209.6400146484375,1209.6400146484375,-0.0027985790879543624,-0.0027985790879543624,0.0,0.0
1965-03-08,1190.97998046875,1190.97998046875,1190.97998046875,1190.97998046875,-0.015546325567585097,-0.015546325567585097,0.0,0.0
1965-03-09,1178.4300537109375,1178.4300537109375,1178.4300537109375,1178.4300537109375,-0.01059339155251928,-0.01059339155251928,0.0,0.0
1965-03-10,1173.3399658203125,1173.3399658203125,1173.3399658203125,1173.3399658203125,-0.004328736055399305,-0.004328736055399305,0.0,0.0
1965-03-11,1164.6300048828125,1164.6300048828125,1164.6300048828125,1164.6300048828125,-0.007450909414429244,-0.007450909414429244,0.0,0.0
1965-03-12,1175.8599853515625,1175.8599853515625,1175.8599853515625,1175.8599853515625,0.009596338113763099,0.009596338113763099,0.0,0.0
1965-03-15,1188.489990234375,1188.489990234375,1188.489990234375,1188.489990234375,0.010683803285674639,0.010683803285674639,0.0,0.0
1965-03-16,1181.219970703125,1181.219970703125,1181.219970703125,1181.219970703125,-0.00613580772299807,-0.00613580772299807,0.0,0.0
1965-03-17,1175.800048828125,1175.800048828125,1175.800048828125,1175.800048828125,-0.004598969362102644,-0.004598969362102644,0.0,0.0
1965-03-18,1182.68994140625,1182.68994140625,1182.68994140625,1182.68994140625,0.0058426469532544935,0.0058426469532544935,0.0,0.0
