ticker,start_date,end_date,type,label
EUROSTOXX50,2020-03-10,2020-04-27,data,drawdown_35%
EUROSTOXX50,2020-05-04,2020-05-19,data,drawdown_35%
HANG_SENG,1987-10-01,1987-11-30,literature,Black_Monday_1987
HANG_SENG,1997-07-01,1998-03-31,literature,Asian_Financial_1997
HANG_SENG,2000-03-01,2002-10-31,literature,Dotcom_Bubble_2000
HANG_SENG,2007-10-01,2009-03-31,literature,Global_Financial_2008
HANG_SENG,2010-11-01,2012-06-30,literature,Eurozone_2011
HANG_SENG,2015-06-01,2016-02-29,literature,China_2015
HANG_SENG,2020-02-01,2020-08-31,literature,Covid_2020
HANG_SENG,1987-10-26,1988-03-09,data,drawdown_35%
HANG_SENG,1988-03-23,1988-04-06,data,drawdown_35%
HANG_SENG,1988-05-10,1988-06-02,data,drawdown_35%
HANG_SENG,1988-08-22,1988-10-10,data,drawdown_35%
HANG_SENG,1989-06-05,1989-07-28,data,drawdown_35%
HANG_SENG,1989-08-21,1989-09-04,data,drawdown_35%
HANG_SENG,1994-12-09,1994-12-13,data,drawdown_35%
HANG_SENG,1995-01-03,1995-02-06,data,drawdown_35%
HANG_SENG,1997-10-27,1997-12-01,data,drawdown_35%
HANG_SENG,1997-12-11,1998-02-24,data,drawdown_35%
HANG_SENG,1998-04-27,1999-03-15,data,drawdown_35%
HANG_SENG,1999-03-24,1999-03-29,data,drawdown_35%
HANG_SENG,2001-08-09,2003-10-09,data,drawdown_35%
HANG_SENG,2003-10-23,2003-10-27,data,drawdown_35%
HANG_SENG,2003-11-19,2003-11-24,data,drawdown_35%
HANG_SENG,2004-05-10,2004-05-25,data,drawdown_35%
HANG_SENG,2004-06-18,2004-06-23,data,drawdown_35%
HANG_SENG,2008-09-09,2009-07-27,data,drawdown_35%
HANG_SENG,2009-08-17,2009-09-04,data,drawdown_35%
HANG_SENG,2010-01-26,2010-02-22,data,drawdown_35%
HANG_SENG,2010-05-05,2010-06-18,data,drawdown_35%
HANG_SENG,2010-06-29,2010-07-21,data,drawdown_35%
HANG_SENG,2011-08-08,2012-02-01,data,drawdown_35%
HANG_SENG,2012-05-07,2012-09-13,data,drawdown_35%
HANG_SENG,2013-06-20,2013-06-27,data,drawdown_35%
HANG_SENG,2016-01-07,2016-03-17,data,drawdown_35%
HANG_SENG,2016-03-24,2016-04-12,data,drawdown_35%
HANG_SENG,2016-05-04,2016-05-26,data,drawdown_35%
HANG_SENG,2016-06-13,2016-06-29,data,drawdown_35%
HANG_SENG,2022-03-07,2022-03-21,data,drawdown_35%
HANG_SENG,2022-04-11,2022-06-02,data,drawdown_35%
HANG_SENG,2022-06-13,2022-06-20,data,drawdown_35%
HANG_SENG,2022-07-11,2023-01-12,data,drawdown_35%
HANG_SENG,2023-02-10,2024-09-30,data,drawdown_35%
HANG_SENG,2024-10-08,2025-02-11,data,drawdown_35%
HANG_SENG,2025-04-07,2025-04-17,data,drawdown_35%
HANG_SENG_CHINA_ENT,1997-07-01,1998-03-31,literature,Asian_Financial_1997
HANG_SENG_CHINA_ENT,2000-03-01,2002-10-31,literature,Dotcom_Bubble_2000
HANG_SENG_CHINA_ENT,2007-10-01,2009-03-31,literature,Global_Financial_2008
HANG_SENG_CHINA_ENT,2010-11-01,2012-06-30,literature,Eurozone_2011
HANG_SENG_CHINA_ENT,2015-06-01,2016-02-29,literature,China_2015
HANG_SENG_CHINA_ENT,2020-02-01,2020-08-31,literature,Covid_2020
HANG_SENG_CHINA_ENT,1994-03-17,1994-09-06,data,drawdown_35%
HANG_SENG_CHINA_ENT,1994-09-22,1997-08-11,data,drawdown_35%
HANG_SENG_CHINA_ENT,1997-09-01,1997-09-08,data,drawdown_35%
HANG_SENG_CHINA_ENT,1997-09-16,2006-01-26,data,drawdown_35%
HANG_SENG_CHINA_ENT,2008-02-06,2008-02-13,data,drawdown_35%
HANG_SENG_CHINA_ENT,2008-03-04,2008-04-03,data,drawdown_35%
HANG_SENG_CHINA_ENT,2008-04-14,2008-04-21,data,drawdown_35%
HANG_SENG_CHINA_ENT,2008-06-10,2009-11-06,data,drawdown_35%
HANG_SENG_CHINA_ENT,2009-11-26,2009-12-01,data,drawdown_35%
HANG_SENG_CHINA_ENT,2009-12-08,2010-10-12,data,drawdown_35%
HANG_SENG_CHINA_ENT,2010-11-16,2011-03-30,data,drawdown_35%
HANG_SENG_CHINA_ENT,2011-04-29,2015-04-02,data,drawdown_35%
HANG_SENG_CHINA_ENT,2015-06-26,2018-01-22,data,drawdown_35%
HANG_SENG_CHINA_ENT,2018-02-06,2025-11-27,data,drawdown_35%
NASDAQ,1973-10-01,1974-03-31,literature,Oil_Crisis_1973
NASDAQ,1987-10-01,1987-11-30,literature,Black_Monday_1987
NASDAQ,1997-07-01,1998-03-31,literature,Asian_Financial_1997
NASDAQ,2000-03-01,2002-10-31,literature,Dotcom_Bubble_2000
