ticker,model,family,horizon,hidden_dim_1,hidden_dim_2,dropout,weight_decay,lr,max_epochs,batch_size,rmse,mae,qlike,mase,hit_rate,mz_alpha,mz_beta,mz_r2,mz_alpha_p,mz_beta_p,mz_joint_p,dm_stat_naive,dm_p_naive,dm_stat_har,dm_p_har,jb_p,ljungbox_p,ljungbox_sq_p,bp_p,arch_p,tail_corr,tail_corr_p,tail_shape_y,tail_shape_yhat,tail_lambda_90,tail_lambda_95,ceq_gain_bps,enc_beta2,enc_beta2_p,pit_ks_stat,pit_ks_p,cc_p_95,n_params,param_sample_ratio,n_obs_total,n_train,n_test,n_features,n_nonstationary_feats
HANG_SENG,MLP-HAR-X,MLP-HAR-X,1,32,0,0.0,1e-05,0.0005,250,128,0.00047195010445624563,0.0001683646804908104,0.4331700142302249,0.7830344979221722,0.6889826041117554,0.00011700727203100444,0.3873957830247884,0.07436607082708746,2.8884484891963014e-21,1.061183038286588e-33,,0.8658603898710464,0.3866762757894542,1.3019437325560919,0.1930937695382946,0.0,1.2635103583367707e-06,0.046063822007843536,9.344974263672493e-32,0.07341728081486386,0.18392315868204542,0.011079425219540294,0.5571000196577593,0.4508130601111877,0.03900896151818661,0.016341591987348445,,,,0.04488994696896775,0.000925992202094673,0.0,385,0.05075807514831905,9482,7585,1897,8,0
HANG_SENG,MLP-HAR-X,MLP-HAR-X,5,32,0,0.0,1e-05,0.001,250,128,0.0004616052012144677,0.00018193199668211933,0.5149890489282566,0.8460578671608334,0.6645569620253164,0.00012123974905608144,0.36402543529313114,0.030200485627094986,8.484554015053605e-16,2.5347574167015178e-14,,1.5574485918966923,0.1195309979841559,2.4542135691311566,0.014208702573251353,0.0,8.713201280696357e-42,0.8196778093674163,0.5096655390818962,0.8595272911358687,0.04693671351152751,0.5201831418577405,0.5571000196577593,0.4113762632329413,0.0290084388185654,0.00949367088607595,,,,0.05340555078817588,3.8554178129427547e-05,1.7763568394002505e-15,385,0.05077815879715115,9478,7582,1896,8,0
HANG_SENG,MLP-HAR-X,MLP-HAR-X,10,32,0,0.0,0.0005,0.001,250,128,0.0005066912400943764,0.00020145165565922302,0.5775990426554859,0.9366823085394589,0.6068601583113457,0.00016466534779250834,0.16235181790753395,0.010622958910411762,3.2041514566394537e-32,6.933489489184761e-06,,1.5169590988670236,0.12944389163062775,1.5521546215328959,0.12079230138290997,0.0,4.060775942318263e-74,5.023017832713957e-41,5.601051215510009e-16,9.543511964881928e-40,-0.06368889063846353,0.38267162896835516,0.5571000196577593,0.3390539250475295,0.023746701846965697,0.0063324538258575196,,,,0.033860411091403975,0.025339976602944958,7.771561172376096e-16,385,0.05080496173132753,9473,7578,1895,8,0
HANG_SENG,MLP-HAR-X,MLP-HAR-X,21,16,0,0.0,1e-05,0.0005,250,128,0.011822869516772872,0.002954184164806759,1.5111838768395198,13.729270858760943,0.503433703116746,0.00020242032613252854,0.0011005888729699149,0.0007980268697540538,5.1226313401330604e-74,0.21925017936119834,,2.9615454841282323,0.0030991227511514285,2.9615120691404897,0.0030994574832905464,0.0,1.1965735255061181e-110,3.4744896048871122e-31,8.116203680031885e-140,6.873651586087515e-32,-0.05199473378034966,0.47618579572232256,0.5571000196577593,0.7420171594366114,0.01531959852086635,0.005282620179609086,,,,0.08664376484362879,8.187113753183607e-13,,193,0.025498744880433348,9462,7569,1893,8,0
HANG_SENG,MLP-HAR-X,MLP-HAR-X,63,32,0,0.1,0.0001,0.001,250,128,0.00046112376445358027,0.00017869277980733653,0.7139193203587143,0.8294716652806131,0.5934182590233545,0.00024193530556841357,-0.19221944335022115,0.0016738608138391342,8.45610260740285e-25,0.07583358628085482,,4.949251169582967,8.113650500352065e-07,5.888171666961607,4.613147419618713e-09,0.0,1.4441484978510213e-126,0.3944342112443783,0.7464521288785043,0.43738921595869534,-0.12377752892870475,0.0897150754764696,0.5500796495495002,0.16899453325474517,0.004777070063694267,0.0,,,,0.06382696390658171,4.0801822871409716e-07,0.0,385,0.05108811040339703,9420,7536,1884,8,0
HANG_SENG,MLP-HAR-X,MLP-HAR-X,100,32,0,0.1,0.0005,0.0005,250,128,0.00045226465680219734,0.00016365252759193176,0.6687374388315719,0.7570726428995729,0.6558337773042089,0.00016677070298917702,0.21785887802802917,0.0012849467251948576,6.079228042572712e-10,0.12054838099205226,,1.5769376782615236,0.11497846614215068,1.4578355650081458,0.14505324934481423,0.0,2.0017287222840821e-87,0.3932591227190738,0.8812237582923886,0.4337375196979917,0.11836043250311085,0.10571764913609291,0.5520655622421194,0.11030587842387538,0.011188066062866276,0.002131060202450719,,,,0.09064557978905455,7.175395651484378e-14,0.0,385,0.05129229949373834,9383,7506,1877,8,0
AEX_NETHERLANDS,MLP-HAR-X,MLP-HAR-X,1,16,0,0.1,0.0001,0.0005,250,128,0.0014799045461322412,0.00029583890085680325,0.6188168208396093,2.0233379635649023,0.8026394721055788,9.941662433549815e-05,0.09991041020700284,0.14801145967992124,4.958489508713997e-25,6.174940497104895e-60,,2.7443021222120247,0.006129034068811823,2.7664746248972603,0.005729192525072868,0.0,2.6733540876692616e-60,1.756109871033182e-05,2.0956938495403342e-38,0.00047922321068057414,0.42999371309017076,6.659092582785876e-09,0.759627942629384,1.1536883388657169,0.04319136172765447,0.01859628074385123,,,,0.03574190652418571,0.027585522518863925,0.0,193,0.028952895289528952,8333,6666,1667,8,0
AEX_NETHERLANDS,MLP-HAR-X,MLP-HAR-X,5,32,0,0.0,0.0005,0.001,250,128,0.00037938071188134474,0.00011671359253598379,0.6256827321088098,0.7979267451606725,0.7935174069627852,1.9999863433023534e-05,0.8769691315248901,0.13768202870983148,0.08709780862367772,1.5687351750761223e-55,,-1.1069585570060558,0.268471745427306,-0.6078411183383352,0.5433757512611361,0.0,2.4467017380770692e-110,5.110940004300847e-59,1.2073426995645577e-18,1.3487808974827675e-38,0.34360281158852696,5.463172061735667e-06,0.759627942629384,0.44255831155432274,0.035414165666266505,0.01680672268907563,,,,0.03960990069147874,0.010439911275227295,0.0,385,0.057781779978988444,8329,6663,1666,8,0
AEX_NETHERLANDS,MLP-HAR-X,MLP-HAR-X,10,32,0,0.0,0.0005,0.0005,250,128,0.0003950098796755092,0.00012783398624261245,0.7479978462727933,0.8735812850103547,0.76996996996997,3.6423055806029347e-05,0.7254783013377835,0.07318647738444495,0.004960071242474405,2.571101991303211e-29,,-0.8759777845851195,0.38116854236102604,-0.9295002202771385,0.35276472808995063,0.0,5.759446359847883e-258,7.375439314790852e-67,0.00020612722760688962,4.3940710902845027e-42,0.3104187494202645,4.4518652577435194e-05,0.759627942629384,0.39223746793815906,0.02942942942942943,0.013813813813813814,,,,0.035557016695325766,0.028975248305498247,0.0,385,0.05781648896230665,8324,6659,1665,8,0
AEX_NETHERLANDS,MLP-HAR-X,MLP-HAR-X,21,16,0,0.0,0.0001,0.001,250,128,0.0004513731828029219,0.0001465162946550904,1.033974235018138,1.000383820049745,0.7294046903187011,0.00011499351162339856,0.14092817967040083,0.0061326367163225814,1.4408165471922642e-21,0.0013933331404406674,,1.8398059678136265,0.06597496719562113,1.6661466326055039,0.09587265093023967,0.0,0.0,1.58738235205295e-92,6.568557519019633e-11,5.913126446780667e-48,-0.0012728415801787133,0.9869749543141266,0.759627942629384,0.5471258852855269,0.02345159350571257,0.009019843656043296,,,,0.038295407791878955,0.014830966073078603,0.0,193,0.029022556390977443,8313,6650,1663,8,0
