ticker,model,family,horizon,hidden_dim_1,hidden_dim_2,dropout,weight_decay,lr,max_epochs,batch_size,rmse,mae,qlike,mase,hit_rate,mz_alpha,mz_beta,mz_r2,mz_alpha_p,mz_beta_p,mz_joint_p,dm_stat_naive,dm_p_naive,dm_stat_har,dm_p_har,jb_p,ljungbox_p,ljungbox_sq_p,bp_p,arch_p,tail_corr,tail_corr_p,tail_shape_y,tail_shape_yhat,tail_lambda_90,tail_lambda_95,ceq_gain_bps,enc_beta2,enc_beta2_p,pit_ks_stat,pit_ks_p,cc_p_95,n_params,param_sample_ratio,n_obs_total,n_train,n_test,n_features,n_nonstationary_feats
DJIA,MLP-HAR-X,MLP-HAR-X,1,32,0,0.0,0.0001,0.001,250,128,0.00037542917261107716,7.327606483054474e-05,0.47213320307372103,1.0268928063908591,0.8076009501187649,1.154733646223683e-05,1.0838439816283634,0.19196006128295795,0.25835996045677556,6.270262400900603e-80,,-1.6430593657494619,0.10055744557009616,0.4134493659734044,0.6793300866333292,0.0,1.0670421811003285e-78,9.17318368212146e-06,1.6961323501467915e-84,1.8017819882232276e-05,0.4154119636020089,1.9524559029559266e-08,0.8449378102638766,0.7041813759576707,0.04453681710213777,0.02315914489311164,,,,0.03512031027051282,0.03065126818443964,0.0,385,0.05718954248366013,8416,6732,1684,8,0
DJIA,MLP-HAR-X,MLP-HAR-X,5,16,0,0.1,0.0005,0.0005,250,128,0.0008819427793437886,0.00021238996180259937,0.8010397814107907,2.9755089488100275,0.7153891859774213,7.515417598840974e-05,0.1180718190466773,0.06158646879466401,2.6697695327305987e-13,4.873924673931081e-25,,2.629918672315491,0.008618418711307196,2.64737407293474,0.008187709964498024,0.0,1.267236296656306e-112,2.0737614530231553e-106,1.6882054039982533e-127,5.962702123087715e-60,0.34649196956889267,3.936012839385559e-06,0.8449378102638766,1.0312978029251099,0.035056446821152706,0.016042780748663103,,,,0.026336640115455223,0.19013072228032224,0.0,193,0.02868182493684054,8412,6729,1683,8,0
DJIA,MLP-HAR-X,MLP-HAR-X,10,16,0,0.0,0.0005,0.001,250,128,0.0003989212558879645,9.718256613343941e-05,0.7550927517341643,1.3623079591276528,0.7294887039239001,3.008291688167375e-05,0.7564167415779979,0.095337076725034,0.006874357457259447,1.7622936066024618e-38,,-0.7461420596448222,0.45568593282025915,-0.71709400979546,0.47341571619394296,0.0,3.084971211070786e-209,2.2426468436652196e-06,1.1677174306295567e-12,1.2196932201233308e-05,0.26048928447118497,0.0006251227878424155,0.8449378102638766,0.6525483699071974,0.03210463733650416,0.014863258026159334,,,,0.03676080431774886,0.02069014105814321,0.0,193,0.028698884758364313,8407,6725,1682,8,0
DJIA,MLP-HAR-X,MLP-HAR-X,21,32,0,0.0,1e-05,0.001,250,128,0.0004234684053931092,0.00010399792708356468,0.9542803494806598,1.457366112840741,0.7023809523809523,7.254957920716194e-05,0.3207656228554634,0.008398299151454292,2.4826177761613784e-08,0.00016900880486299632,,1.4859209946780672,0.1374877559074461,-0.30568330392035653,0.7598836808245806,0.0,0.0,8.429622832840058e-18,0.9605083317871905,1.0295668219394071e-14,0.031058761597683757,0.6894081294342573,0.8449378102638766,0.49934641520182343,0.022023809523809525,0.008333333333333333,,,,0.030322399954621493,0.08921303640133549,0.0,385,0.05732578916021441,8396,6716,1680,8,0
DJIA,MLP-HAR-X,MLP-HAR-X,63,16,0,0.1,0.0005,0.001,250,128,0.0004407883603685995,0.00011582253766736414,1.3328948890551842,1.6185289486647183,0.651705565529623,9.790395880396191e-05,0.054988221922761524,0.000372638147744242,3.5243380754565323e-15,0.43035595272942484,,3.4875176867245816,0.0005001578607441992,2.5005972407708215,0.01249358776394316,0.0,0.0,9.722478564170042e-18,0.43434379298925274,1.5363835219211664e-14,-0.08522885382419328,0.2734636652627677,0.8508772513624132,0.6030343124665409,0.017354877318970677,0.0047875523638539795,,,,0.03736187453844003,0.018357309103951197,0.0,193,0.0288792458476732,8354,6683,1671,8,0
DJIA,MLP-HAR-X,MLP-HAR-X,100,32,0,0.0,0.0005,0.001,250,128,0.00042486036203820063,0.00010665566529889013,1.2076914034649844,1.5004284355947048,0.5378605769230769,0.00013587218791354577,-0.3608673742325395,0.00194747032473086,6.07964733914857e-11,0.07190990883757568,,3.921075103110553,9.173613524238178e-05,0.6926086313813743,0.48865189408814547,0.0,0.0,1.4828883913672068e-17,0.8993514445280895,2.613469460556105e-14,-0.1503988580498212,0.05237567118059205,0.8508772513624132,0.2285120745739305,0.006009615384615385,0.0018028846153846155,,,,0.056862451438911304,4.0603629439616196e-05,0.0,385,0.05786863069292049,8317,6653,1664,8,0
RUSSELL2000,MLP-HAR-X,MLP-HAR-X,1,16,0,0.0,0.0001,0.0005,250,128,0.0015175879712051284,0.0009203497132159805,1.2059051505231388,11.234069981247371,0.5021030494216614,6.076393515659008e-05,0.09142568206287775,0.1501609973021597,6.612890733030523e-13,3.4895595532805464e-69,,9.883671725888675,0.0,9.942994330685575,0.0,0.0,8.95447838785592e-253,1.9530945401112537e-16,4.294748547406172e-140,1.0213798117253363e-10,0.3449555662717002,1.0242235050393738e-06,0.5637977092957946,0.4089807209215666,0.02786540483701367,0.013669821240799159,,,,0.03309149924413013,0.030348422095493488,5.686457319920013e-05,193,0.025381378221988427,9506,7604,1902,8,0
RUSSELL2000,MLP-HAR-X,MLP-HAR-X,5,32,0,0.0,1e-05,0.001,250,128,0.0002981451973161718,0.00012912030608702748,0.5127407824786524,1.575777461449048,0.6370331404523935,6.284903979497533e-05,0.5817478117480127,0.11787234324507889,2.7185437655727995e-12,1.0170025013327034e-53,,-0.6001322183554335,0.5484896897881351,-0.3309430449798644,0.7407239994175812,0.0,4.073942764357046e-269,6.031717091137056e-247,9.04658931132171e-24,5.759886893900768e-206,0.31155287870636456,1.2114326417549623e-05,0.5637977092957946,0.4584674684624923,0.029458179905312992,0.01262493424513414,,,,0.05730696167293253,7.218500980542442e-06,0.0,385,0.05065123010130246,9502,7601,1901,8,0
RUSSELL2000,MLP-HAR-X,MLP-HAR-X,10,32,0,0.0,0.0005,0.001,250,128,0.00031356451715085925,0.00013915245346777342,0.5800778831560084,1.6977857911892889,0.5810526315789474,8.615275037705862e-05,0.4223082034211018,0.047476705060773616,3.6114752137028856e-17,7.464029101814344e-22,,0.13730353678202084,0.8908054304074378,0.015424270887952658,0.9876953206130799,0.0,0.0,0.0,1.1148948646500995e-14,1.7022654828488375e-183,0.21687289777672805,0.0026513303717133575,0.5637977092957946,0.307593099694503,0.022631578947368423,0.007368421052631579,,,,0.06283907082435586,5.769689915498888e-07,0.0,385,0.05067789917072529,9497,7597,1900,8,0
RUSSELL2000,MLP-HAR-X,MLP-HAR-X,21,16,0,0.0,0.0001,0.001,250,128,0.00032898916433517916,0.00014503319242375684,0.7800596712327134,1.767982898463441,0.5626975763962065,0.0001250468199806832,0.20272648782109715,0.01014378199480026,2.1630085749482185e-32,1.1021126469725702e-05,,2.042803903707127,0.04120981393998102,0.9401341658084903,0.3472684386058984,0.0,0.0,0.0,0.7299332787178892,1.0838409096470151e-187,0.005725482991947583,0.937509724896644,0.5595594937418624,0.3715354990451894,0.01738672286617492,0.0036880927291886197,,,,0.06267619051322232,6.33613305008871e-07,0.0,193,0.025434897206114918,9486,7588,1898,8,0
