ticker,model,family,horizon,hidden_dim_1,hidden_dim_2,dropout,weight_decay,lr,max_epochs,batch_size,rmse,mae,qlike,mase,hit_rate,mz_alpha,mz_beta,mz_r2,mz_alpha_p,mz_beta_p,mz_joint_p,dm_stat_naive,dm_p_naive,dm_stat_har,dm_p_har,jb_p,ljungbox_p,ljungbox_sq_p,bp_p,arch_p,tail_corr,tail_corr_p,tail_shape_y,tail_shape_yhat,tail_lambda_90,tail_lambda_95,ceq_gain_bps,enc_beta2,enc_beta2_p,pit_ks_stat,pit_ks_p,cc_p_95,n_params,param_sample_ratio,n_obs_total,n_train,n_test,n_features,n_nonstationary_feats
AEX_NETHERLANDS,MLP-HAR-X,MLP-HAR-X,1,16,0,0.1,0.0001,0.0005,250,128,0.0014799045461322,0.0002958389008568,0.6188168208396093,2.0233379635649023,0.8026394721055788,9.941662433549816e-05,0.0999104102070028,0.1480114596799212,4.958489508713997e-25,6.174940497104896e-60,,2.7443021222120247,0.0061290340688118,2.7664746248972603,0.0057291925250728,0.0,2.6733540876692616e-60,1.756109871033182e-05,2.0956938495403342e-38,0.0004792232106805,0.4299937130901707,6.659092582785876e-09,0.759627942629384,1.1536883388657169,0.0431913617276544,0.0185962807438512,,,,0.0357419065241857,0.0275855225188639,0.0,193,0.0289528952895289,8333,6666,1667,8,0
AEX_NETHERLANDS,MLP-HAR-X,MLP-HAR-X,5,32,0,0.0,0.0005,0.001,250,128,0.0003793807118813,0.0001167135925359,0.6256827321088098,0.7979267451606725,0.7935174069627852,1.999986343302353e-05,0.8769691315248901,0.1376820287098314,0.0870978086236777,1.5687351750761223e-55,,-1.1069585570060558,0.268471745427306,-0.6078411183383352,0.5433757512611361,0.0,2.446701738077069e-110,5.110940004300847e-59,1.2073426995645577e-18,1.3487808974827675e-38,0.3436028115885269,5.463172061735667e-06,0.759627942629384,0.4425583115543227,0.0354141656662665,0.0168067226890756,,,,0.0396099006914787,0.0104399112752272,0.0,385,0.0577817799789884,8329,6663,1666,8,0
AEX_NETHERLANDS,MLP-HAR-X,MLP-HAR-X,10,32,0,0.0,0.0005,0.0005,250,128,0.0003950098796755,0.0001278339862426,0.7479978462727933,0.8735812850103547,0.76996996996997,3.642305580602935e-05,0.7254783013377835,0.0731864773844449,0.0049600712424744,2.5711019913032107e-29,,-0.8759777845851195,0.381168542361026,-0.9295002202771384,0.3527647280899506,0.0,5.7594463598478835e-258,7.375439314790852e-67,0.0002061272276068,4.394071090284503e-42,0.3104187494202645,4.45186525774352e-05,0.759627942629384,0.392237467938159,0.0294294294294294,0.0138138138138138,,,,0.0355570166953257,0.0289752483054982,0.0,385,0.0578164889623066,8324,6659,1665,8,0
AEX_NETHERLANDS,MLP-HAR-X,MLP-HAR-X,21,16,0,0.0,0.0001,0.001,250,128,0.0004513731828029,0.000146516294655,1.033974235018138,1.000383820049745,0.7294046903187011,0.0001149935116233,0.1409281796704008,0.0061326367163225,1.4408165471922642e-21,0.0013933331404406,,1.8398059678136265,0.0659749671956211,1.666146632605504,0.0958726509302396,0.0,0.0,1.5873823520529497e-92,6.568557519019633e-11,5.913126446780666e-48,-0.0012728415801787,0.9869749543141266,0.759627942629384,0.5471258852855269,0.0234515935057125,0.0090198436560432,,,,0.0382954077918789,0.0148309660730786,0.0,193,0.0290225563909774,8313,6650,1663,8,0
AEX_NETHERLANDS,MLP-HAR-X,MLP-HAR-X,63,32,0,0.0,0.0001,0.001,250,128,0.0004208487033698,0.00014194160151,1.2979125040530106,0.9651638546429504,0.6851963746223565,0.0001511368021996,-0.1124486525389524,0.0005976153047494,1.5424003018732147e-16,0.3202673049101295,,1.8396676016007985,0.0659961645571904,1.5466472303662226,0.1221396363741982,0.0,0.0,3.542866437901468e-102,0.5324143711030753,1.5473278627382332e-51,-0.1524368568449082,0.0499204954626422,0.7675287759342134,0.2458762133993753,0.0138972809667673,0.0042296072507552,,,,0.0644847974515684,1.995275890994287e-06,0.0,385,0.058192261185006,8271,6616,1655,8,0
AEX_NETHERLANDS,MLP-HAR-X,MLP-HAR-X,100,32,0,0.1,0.0001,0.0005,250,128,0.000424408371473,0.0001437570293676,1.2464983333760664,0.974137552903126,0.6885245901639344,0.0001586656301052,-0.1709290937120426,0.0015400514565615,7.298510315428581e-20,0.1113774348156669,,2.401613287800759,0.0164332223803931,3.529962177611827,0.000427055346899,0.0,0.0,1.5983652192495385e-102,0.9078614711828435,8.969775353867608e-52,-0.1624956589105869,0.0370414938194112,0.7675287759342134,0.2954040620385146,0.00789313904068,0.0012143290831815,,,,0.0720589182811095,6.987910156475421e-08,0.0,385,0.0584484590860786,8234,6587,1647,8,0
CAC40_FRANCE,MLP-HAR-X,MLP-HAR-X,1,16,0,0.0,1e-05,0.001,250,128,0.0003419143964533,0.0001068148632845,0.4407822734310575,0.6898908449508435,0.83984375,7.330720607425362e-06,0.908810232310933,0.3661705277376074,0.4212944473623412,1.8134979578150632e-179,,-1.3850744381104136,0.1662021978275734,-0.990443498170372,0.3220911811941214,0.0,3.7760781683103234e-17,2.2318810048752597e-12,5.1124700942167246e-27,8.773581253660394e-11,0.426249781371853,2.4318294394106994e-09,0.7094912694110066,0.7260116459278578,0.0496651785714285,0.02734375,,,,0.0558436035789053,2.6797032749320157e-05,0.0,193,0.0269364968597348,8957,7165,1792,8,0
CAC40_FRANCE,MLP-HAR-X,MLP-HAR-X,5,16,0,0.0,0.0005,0.001,250,128,0.0003989832902174,0.0001254161853835,0.6009414630497663,0.8097374188843981,0.8090452261306532,1.6906860839103983e-05,0.8807206734213275,0.1345540060644809,0.1635188672355579,3.721644441655305e-58,,-1.3514450726799176,0.1767236690228997,-0.8730004607332493,0.3827799194034016,0.0,2.017999277158802e-130,7.863233739156177e-23,9.072070787081528e-19,4.4316163357461733e-16,0.3150754294561965,1.740503274693586e-05,0.7094912694110066,0.5509426620569122,0.0368509212730318,0.0189838079285315,,,,0.0641563023158237,7.486589470854073e-07,0.0,193,0.0269477799497347,8953,7162,1791,8,0
CAC40_FRANCE,MLP-HAR-X,MLP-HAR-X,10,32,0,0.0,0.0001,0.0005,250,128,0.0004121380463218,0.0001353343530411,0.6830126917003684,0.87345948147293,0.7837988826815643,2.5273394160417623e-05,0.7987998711588629,0.0795721028602122,0.0642203676369056,4.26000211797766e-34,,-1.1134735459850866,0.2656546841466651,-1.1340731868225506,0.2569157882255433,0.0,2.699669188715287e-273,4.06260708679177e-28,0.0190673166285102,2.4506901840769026e-19,0.2939154269453685,6.515044100888486e-05,0.7094912694110066,0.4172193120034893,0.0329608938547486,0.0167597765363128,,,,0.0676705050098261,1.4297489499363228e-07,0.0,385,0.0537859737356803,8948,7158,1790,8,0
CAC40_FRANCE,MLP-HAR-X,MLP-HAR-X,21,32,0,0.0,0.0005,0.001,250,128,0.000432977483118,0.000138286085439,0.8644959488476172,0.8918082731526186,0.7623042505592841,9.386099593902857e-05,0.3492359984016447,0.0086952349355994,8.562336482595652e-09,7.853494905938561e-05,,0.5264773234940349,0.5986219406982407,-0.8665106426888155,0.3863265190441227,0.0,0.0,1.2734490187065984e-50,0.8465725709812422,1.047816916143129e-28,0.0450861004749649,0.5489796394538716,0.7057022587020412,0.3313160424821832,0.0262863534675615,0.0106263982102908,,,,0.0676250303933248,1.4887081695316914e-07,0.0,385,0.053853685830186,8937,7149,1788,8,0
