ticker,model,horizon,n_obs_total,n_train,n_test,rmse,mae,qlike,mase_var,hit_rate,dm_stat,dm_p,mz_alpha_log,mz_beta_log,mz_r2_log,mz_alpha_log_p,mz_beta_log_p,jb_p,ljungbox_p,tail_corr,tail_corr_p,enc_beta2,enc_beta2_p,naive_level,naive_den,n_params,param_sample_ratio,garch_alpha_mean,garch_alpha_std,garch_beta_mean,garch_beta_std,garch_persistence,garch_nu_mean,garch_nu_std,q95_coverage,q95_coverage_err,q95_width
NASDAQ,GARCH,1,13721,10976,2455,0.007678279924281412,0.00766654802428965,4.769066850211595,38.42165702124539,0.23136456211812628,162.60174677477966,0.0,,,,,,0.0,0.0,,,,,0.00015644508685780105,0.00019953715218608102,5,0.00045553935860058307,0.1449116747490329,0.0253289110118667,0.8263746558222861,0.031900914980075336,0.9712863305713193,6.295850500802957,1.5766699241259299,0.9983706720977596,0.04837067209775969,0.0
NASDAQ,GARCH,5,13721,10976,2451,0.007665696921829569,0.007654075826088984,3.6046274173994806,38.35915137723863,0.266421868625051,167.8742722534891,0.0,,,,,,0.0,0.0,,,,,0.00015644508685780105,0.00019953715218608102,5,0.00045553935860058307,0.1449116747490329,0.0253289110118667,0.8263746558222861,0.031900914980075336,0.9712863305713193,6.295850500802957,1.5766699241259299,0.9987760097919217,0.04877600979192176,0.0
NASDAQ,GARCH,10,13721,10976,2446,0.007662939386868208,0.00765357436037422,3.471718109110252,38.356638232647406,0.2784137367130008,177.33341443109305,0.0,,,,,,0.0,0.0,,,,,0.00015644508685780105,0.00019953715218608102,5,0.00045553935860058307,0.1449116747490329,0.0253289110118667,0.8263746558222861,0.031900914980075336,0.9712863305713193,6.295850500802957,1.5766699241259299,1.0,0.050000000000000044,0.0
NASDAQ,GARCH,21,13721,10976,2435,0.007659006451179886,0.007652298731599907,3.3620221367536915,38.35024529398743,0.29075975359342915,201.14528072656617,0.0,,,,,,0.0,0.0,,,,,0.00015644508685780105,0.00019953715218608102,5,0.00045553935860058307,0.1449116747490329,0.0253289110118667,0.8263746558222861,0.031900914980075336,0.9712863305713193,6.295850500802957,1.5766699241259299,1.0,0.050000000000000044,0.0
NASDAQ,GARCH,63,13721,10976,2393,0.007652793593874458,0.007649561352405016,3.2170156500964797,38.33652664979059,0.31884663602173,281.7412836393042,0.0,,,,,,0.0,0.0,,,,,0.00015644508685780105,0.00019953715218608102,5,0.00045553935860058307,0.1449116747490329,0.0253289110118667,0.8263746558222861,0.031900914980075336,0.9712863305713193,6.295850500802957,1.5766699241259299,1.0,0.050000000000000044,0.0
NASDAQ,GARCH,100,13721,10976,2356,0.007648270838202994,0.007646073759732256,3.1338282849441845,38.3190482372015,0.3769100169779287,337.92692231333064,0.0,,,,,,0.0,0.0,,,,,0.00015644508685780105,0.00019953715218608102,5,0.00045553935860058307,0.1449116747490329,0.0253289110118667,0.8263746558222861,0.031900914980075336,0.9712863305713193,6.295850500802957,1.5766699241259299,1.0,0.050000000000000044,0.0
NASDAQ,GJR,1,13721,10976,2744,0.007659427697947887,0.007647108757146901,4.660787237410654,38.32423522821198,0.2602040816326531,176.53741682327356,0.0,,,,,,0.0,0.0,,,,,0.00015644508685780105,0.00019953715218608102,6,0.0005466472303206997,0.1449116747490329,0.0253289110118667,0.8263746558222861,0.031900914980075336,0.9712863305713193,6.295850500802957,1.5766699241259299,0.9985422740524781,0.04854227405247813,0.0
NASDAQ,GJR,5,13721,10976,2740,0.0076463345086870025,0.0076352988736198965,3.4820297422163784,38.26504883912294,0.32116788321167883,181.6712666713836,0.0,,,,,,0.0,0.0,,,,,0.00015644508685780105,0.00019953715218608102,6,0.0005466472303206997,0.1449116747490329,0.0253289110118667,0.8263746558222861,0.031900914980075336,0.9712863305713193,6.295850500802957,1.5766699241259299,0.9989051094890511,0.048905109489051135,0.0
NASDAQ,GJR,10,13721,10976,2735,0.007643537461126514,0.007634643767815419,3.355490792875826,38.261765712159864,0.3396709323583181,191.45769840068928,0.0,,,,,,0.0,0.0,,,,,0.00015644508685780105,0.00019953715218608102,6,0.0005466472303206997,0.1449116747490329,0.0253289110118667,0.8263746558222861,0.031900914980075336,0.9712863305713193,6.295850500802957,1.5766699241259299,1.0,0.050000000000000044,0.0
NASDAQ,GJR,21,13721,10976,2724,0.007640902092120218,0.007634501825677077,3.2577646556144977,38.26105435521813,0.35205580029368577,216.8476819216524,0.0,,,,,,0.0,0.0,,,,,0.00015644508685780105,0.00019953715218608102,6,0.0005466472303206997,0.1449116747490329,0.0253289110118667,0.8263746558222861,0.031900914980075336,0.9712863305713193,6.295850500802957,1.5766699241259299,1.0,0.050000000000000044,0.0
NASDAQ,GJR,63,13721,10976,2682,0.007636451960058948,0.007633260027231854,3.129095423715384,38.25483096056897,0.37583892617449666,298.8879751492179,0.0,,,,,,0.0,0.0,,,,,0.00015644508685780105,0.00019953715218608102,6,0.0005466472303206997,0.1449116747490329,0.0253289110118667,0.8263746558222861,0.031900914980075336,0.9712863305713193,6.295850500802957,1.5766699241259299,1.0,0.050000000000000044,0.0
