ticker,thr,TPR,FPR_per_day,mean_delay_days,n_windows,true_positives,false_positives
CAC40_FRANCE,0.7,1.0,0.4627934739355352,-8.916666666666666,24,24,2326
CAC40_FRANCE,0.75,1.0,0.4520493434142459,-8.916666666666666,24,24,2272
CAC40_FRANCE,0.7999999999999999,1.0,0.4403103859928372,-8.916666666666666,24,24,2213
CAC40_FRANCE,0.85,1.0,0.4249900517309988,-7.333333333333333,24,24,2136
CAC40_FRANCE,0.9,1.0,0.4037007560684441,-7.0,24,24,2029
CAC40_FRANCE,0.95,1.0,0.3758456028651015,-6.208333333333333,24,24,1889
DAX_GERMANY,0.05,1.0,0.7112473653956697,-10.384615384615385,13,13,3712
DAX_GERMANY,0.1,1.0,0.6721594175129335,-10.384615384615385,13,13,3508
DAX_GERMANY,0.15,1.0,0.6464840007664303,-10.307692307692308,13,13,3374
DAX_GERMANY,0.2,1.0,0.6248323433607971,-10.307692307692308,13,13,3261
DAX_GERMANY,0.25,1.0,0.6093121287602989,-10.23076923076923,13,13,3180
DAX_GERMANY,0.3,1.0,0.5955163824487449,-9.76923076923077,13,13,3108
DAX_GERMANY,0.35,1.0,0.5803793830235677,-9.692307692307692,13,13,3029
DAX_GERMANY,0.39999999999999997,1.0,0.5683081050009581,-9.692307692307692,13,13,2966
DAX_GERMANY,0.44999999999999996,1.0,0.558152902854953,-9.692307692307692,13,13,2913
DAX_GERMANY,0.49999999999999994,1.0,0.5481893082966085,-9.692307692307692,13,13,2861
DAX_GERMANY,0.5499999999999999,1.0,0.5412914351408316,-9.692307692307692,13,13,2825
DAX_GERMANY,0.6,1.0,0.5292201571182219,-9.692307692307692,13,13,2762
DAX_GERMANY,0.65,1.0,0.5186817397968959,-9.692307692307692,13,13,2707
DAX_GERMANY,0.7,1.0,0.5064188541866258,-9.692307692307692,13,13,2643
DAX_GERMANY,0.75,1.0,0.4924315002874114,-8.846153846153847,13,13,2570
DAX_GERMANY,0.7999999999999999,1.0,0.47652807051159224,-8.076923076923077,13,13,2487
DAX_GERMANY,0.85,1.0,0.46254071661237783,-7.230769230769231,13,13,2414
DAX_GERMANY,0.9,1.0,0.4433799578463307,-7.230769230769231,13,13,2314
DAX_GERMANY,0.95,1.0,0.4086989844797854,-5.384615384615385,13,13,2133
DJIA,0.05,1.0,0.6443745082612117,-10.11111111111111,9,9,4095
DJIA,0.1,1.0,0.6026750590086546,-10.11111111111111,9,9,3830
DJIA,0.15,1.0,0.5767112509834775,-9.666666666666666,9,9,3665
DJIA,0.2,1.0,0.5559402045633359,-9.222222222222221,9,9,3533
DJIA,0.25,1.0,0.5351691581431943,-9.222222222222221,9,9,3401
DJIA,0.3,1.0,0.5213217938631,-9.222222222222221,9,9,3313
