Date,abs_return,p_evt
1993-12-14,0.0166643379798997,0.0
1993-12-15,0.0001221735537075,0.0
1993-12-16,0.0073495779607334,0.0
1993-12-17,0.0049921036639677,0.0
1993-12-20,0.0153907638697911,0.0
1993-12-21,0.0020127832224011,0.0
1993-12-22,0.0115595103886858,0.0
1993-12-23,0.0083213434327893,0.0
1993-12-27,0.017386820301467,0.0
1993-12-28,0.0132295977932921,0.0
1993-12-29,0.0032641900297324,0.0
1993-12-30,0.011447365186927,0.0
1994-01-03,0.0085344718933411,0.0
1994-01-04,0.0109494662709026,0.0
1994-01-05,0.0117315411245448,0.0
1994-01-06,0.0013411629716842,0.0
1994-01-07,0.0019435348730931,0.0
1994-01-10,2.2494108327715703e-05,0.0
1994-01-11,0.0013923325724026,0.0
1994-01-12,0.0208798365967656,0.0
1994-01-13,0.0183566640244826,0.0
1994-01-14,0.0040433701480683,0.0
1994-01-17,0.0166365371557301,0.0
1994-01-18,0.0069667507500059,0.0
1994-01-19,0.0010180568503211,0.0
1994-01-20,0.0161482497225142,0.0
1994-01-21,0.011705986907656,0.0
1994-01-24,0.0159526288059417,0.0
1994-01-25,0.0078655642309749,0.0
1994-01-26,0.0179554163726522,0.0
1994-01-27,0.0025164130394028,0.0
1994-01-28,0.0155613747540369,0.0
1994-01-31,0.0165505046032131,0.0
1994-02-01,0.0049012620252092,0.0
1994-02-02,0.0009941369780721,0.0
1994-02-03,0.0217405258995143,0.0
1994-02-04,0.0031861069283312,0.0
1994-02-07,0.0230204455440362,0.0
1994-02-08,0.0021264851818213,0.0
1994-02-09,0.0079980802453862,0.0
1994-02-10,0.001539149271928,0.0
1994-02-11,0.0051649755474753,0.0
1994-02-14,0.0032489106260764,0.0
1994-02-15,0.0135993014178165,0.0
1994-02-16,0.0021284966657564,0.0
1994-02-17,0.0125841275030616,0.0
1994-02-18,0.0132399577070406,0.0
1994-02-21,0.0121597845728805,0.0
1994-02-22,0.0026434077731957,0.0
1994-02-23,0.0125111158000022,0.0
1994-02-24,0.0271615380800107,0.0
1994-02-25,0.0036408917334994,0.0
1994-02-28,0.0133587934208662,0.0
1994-03-01,0.0224199598199439,0.0
1994-03-02,0.0186102912685888,0.0
1994-03-03,0.0126800236237942,0.0
1994-03-04,0.015680210860795,0.0
1994-03-07,0.0263078532169121,0.0
1994-03-08,0.0031239042534399,0.0
1994-03-09,0.0035159673932026,0.0
1994-03-10,0.0030642189340395,0.0
1994-03-11,0.0107043032832446,0.0
1994-03-14,0.0316136977437175,0.0
1994-03-15,0.0043741248136933,0.0
1994-03-16,0.0049688415783746,0.0
1994-03-17,0.0035393591138443,0.0
1994-03-18,0.0093285054979414,0.0
1994-03-21,0.0046078199623295,0.0
1994-03-22,0.0052196981257621,0.0
1994-03-23,0.0098777525105403,0.0
1994-03-24,0.0086364462501489,0.0
1994-03-25,0.0001679464474534,0.0
1994-03-28,0.0110026672215208,0.0
1994-03-29,0.0022629530684704,0.0
1994-03-30,0.0050896264240993,0.0
1994-03-31,0.0041726669677496,0.0
1994-04-05,0.0158384990941754,0.0
1994-04-06,0.0035762718011235,0.0
1994-04-07,0.0080594565601235,0.0
1994-04-08,0.0002768487931205,0.0
1994-04-11,0.0097878012904316,0.0
1994-04-12,0.006158735857744,0.0
1994-04-13,0.0018073464974688,0.0
1994-04-14,0.0076811163974298,0.0
1994-04-15,0.0062038455697686,0.0
1994-04-18,0.0029118634731359,0.0
1994-04-19,0.0110965698984481,0.0
1994-04-20,9.124714038355472e-05,0.0
1994-04-21,0.0001457555972728,0.0
1994-04-22,0.010751268107378,0.0
1994-04-25,0.004269424674845,0.0
1994-04-26,0.0146878513488569,0.0
1994-04-27,0.0069447554075607,0.0
1994-04-28,0.0085254195740555,0.0
1994-04-29,0.0065429460895615,0.0
1994-05-02,0.0062886853865194,0.0
1994-05-03,0.0022126926485963,0.0
1994-05-04,0.008819685652707,0.0
1994-05-05,0.0035309852572865,0.0
1994-05-06,0.0072401768703402,0.0
1994-05-09,0.0066392727215518,0.0
1994-05-10,0.0101209434190445,0.0
1994-05-11,0.0029758969699711,0.0
1994-05-13,0.0041328960653024,0.0
1994-05-16,0.0069001960990427,0.0
1994-05-17,0.0021359967085134,0.0
1994-05-18,0.0061473712821345,0.0
1994-05-19,0.0037421918671317,0.0
1994-05-20,0.0030414441806816,0.0
1994-05-24,0.0230234662066583,0.0
1994-05-25,0.0233274403746803,0.0
1994-05-26,0.0039406251867389,0.0
1994-05-27,0.0155915390970982,0.0
1994-05-30,0.0079951967904805,0.0
1994-05-31,0.0035528044455323,0.0
1994-06-01,0.0111599336339033,0.0
1994-06-03,0.0211873417052024,0.0
1994-06-06,0.0021794052819015,0.0
1994-06-07,0.0148022035230764,0.0
1994-06-08,0.005673845359202,0.0
1994-06-09,0.0059835641281037,0.0
1994-06-10,0.005820367533528,0.0
1994-06-13,0.0279867633284173,0.0
1994-06-14,0.0019267461197378,0.0
1994-06-15,0.0073192357919497,0.0
1994-06-16,0.0125811254789754,0.0
1994-06-17,0.0075948627553052,0.0
1994-06-20,0.0225880779576924,0.0
1994-06-21,0.0148805017294103,0.0
1994-06-22,0.0241556302001383,0.0
1994-06-23,0.0136672378788953,0.0
1994-06-24,0.0135974660194529,0.0
1994-06-27,0.002291804078469,0.0
1994-06-28,0.0108236109146543,0.0
1994-06-29,0.0099392908256548,0.0
1994-06-30,0.0106318408385033,0.0
1994-07-01,0.0097697543457891,0.0
1994-07-04,0.0102429042620908,0.0
1994-07-05,0.0132119552431689,0.0
1994-07-06,0.0016281769658094,0.0
1994-07-07,0.0087099907167888,0.0
1994-07-08,0.0006200455587982,0.0
1994-07-11,0.0105070103440107,0.0
1994-07-12,0.010145662668818,0.0
1994-07-13,0.0013073412870023,0.0
1994-07-14,0.0094421613504976,0.0
1994-07-15,0.0157301335907014,0.0
1994-07-18,0.0063594204964337,0.0
1994-07-19,0.0060752214379659,0.0
1994-07-20,0.0041827828997787,0.0
1994-07-21,0.002721475475873,0.0
1994-07-22,0.0100492452988043,0.0
1994-07-25,0.0018730702171454,0.0
1994-07-26,0.0088729423444719,0.0
1994-07-27,0.01274199327912,0.0
1994-07-28,0.0008476783835323,0.0
1994-07-29,0.0084314625025232,0.0
1994-08-01,0.0043165239856911,0.0
1994-08-02,0.0147552273339151,0.0
1994-08-03,0.0012771493378934,0.0
1994-08-04,0.0064889516718336,0.0
1994-08-05,0.0055664924690531,0.0
1994-08-08,0.0029694814909854,0.0
1994-08-09,0.0100210879546417,0.0
1994-08-10,0.0027501079612208,0.0
1994-08-11,0.0047191277638768,0.0
1994-08-12,0.010522150716392,0.0
1994-08-15,0.0002812026247023,0.0
1994-08-16,0.0085420893584985,0.0
1994-08-17,0.0064410873596605,0.0
1994-08-18,0.007003325144325,0.0
1994-08-19,0.0035387035976708,0.0
1994-08-22,0.0143147693162049,0.0
1994-08-23,0.0037216523275228,0.0
1994-08-24,0.0055145162570924,0.0
1994-08-25,0.0095650753690157,0.0
1994-08-26,0.0170812554187505,0.0
1994-08-29,0.0114110092776712,0.0
1994-08-30,0.0044780410443972,0.0
1994-08-31,0.0005755927591297,0.0
1994-09-01,0.0097021879495655,0.0
1994-09-02,0.0052929305930638,0.0
1994-09-05,0.0108808641887149,0.0
1994-09-06,0.0071704886302466,0.0
1994-09-07,0.0044431042433848,0.0
1994-09-08,0.004795542303083,0.0
