Date,p_change,expected_runlen,p_evt
1984-10-11,1.0,0.0,0.0
1984-10-12,1.0,0.0,0.0
1984-10-15,0.9999999943937975,5.606202502228541e-09,0.0
1984-10-16,0.9999673691527184,3.263084728159407e-05,0.0
1984-10-17,0.9998808959221387,0.00011910934390097435,0.0
1984-10-18,0.9999999999808667,1.9133287896002366e-11,0.0
1984-10-19,1.0,0.0,0.0
1984-10-22,0.9999999833333343,1.6666665714204498e-08,0.0
1984-10-23,0.9999999999207447,7.925538003571029e-11,0.0
1984-10-24,0.9998399765705586,0.00016002342944148454,0.0
1984-10-25,0.9999998129044161,1.871339220115338e-07,0.0
1984-10-26,0.9999999999974195,2.5804913660573016e-12,0.0
1984-10-29,0.5401562605592379,0.45984373973286774,0.0
1984-10-30,0.9305911428619941,0.06943956666416082,0.0
1984-10-31,0.07328518490266198,1.0359124632863903,0.0
1984-11-01,0.8478699995500107,0.30196022355874946,0.0
1984-11-02,0.04973927190635239,1.250364944065995,0.0
1984-11-05,0.12425270615590056,1.7960168207930134,0.0
1984-11-06,0.9788153709085566,0.0606342556499329,0.0
1984-11-07,0.5331721162213651,0.5301270985923764,0.0
1984-11-08,0.9999575680359062,5.856635096843795e-05,0.0
1984-11-09,0.8145219834554503,0.1861927832062353,0.0
1984-11-12,0.0212005471478347,0.9846317223883772,0.0
1984-11-13,0.9974041309593428,0.0051866101155698206,0.0
1984-11-14,0.9507725993875943,0.049410463055769835,0.0
1984-11-15,0.9388001133626053,0.061795854975821365,0.0
1984-11-16,0.8729484638338142,0.1398980591931983,0.0
1984-11-19,0.028037594931585204,0.9886109165224662,0.0
1984-11-20,0.002000014557338329,1.915625171869489,0.0
1984-11-21,0.0032155440490832894,2.6150834021809786,0.0
1984-11-23,0.9721103363165738,0.09051379441381784,0.0
1984-11-26,0.99314483098599,0.006935764919096867,0.0
1984-11-27,0.9999999975248209,2.5049414064817876e-09,0.0
1984-11-28,1.0,0.0,0.0
1984-11-29,1.0,0.0,0.0
1984-11-30,0.9999999999642328,3.5767167005928975e-11,0.0
1984-12-03,1.0,0.0,0.0
1984-12-04,0.9999999555500244,4.444997570018927e-08,0.0
1984-12-05,0.9999999999314456,6.85543843398434e-11,0.0
1984-12-06,0.9999999999479712,5.202893671291603e-11,0.0
1984-12-07,1.0,0.0,0.0
1984-12-10,1.0,0.0,0.0
1984-12-11,1.0,0.0,0.0
1984-12-12,0.9999999999874424,1.2557621609232683e-11,0.0
1984-12-13,1.0,0.0,0.0
1984-12-14,1.0,0.0,0.0
1984-12-17,0.9999999988735714,1.1264286170487028e-09,0.0
1984-12-18,1.0,0.0,0.0
1984-12-19,1.0,0.0,0.0
1984-12-20,0.9999999999987296,1.2704282070785666e-12,0.0
1984-12-21,0.9999999999968752,3.1248337251099644e-12,0.0
1984-12-24,1.0,0.0,0.0
1984-12-26,0.9999999999905526,9.44744282804777e-12,0.0
1984-12-27,1.0,0.0,0.0
1984-12-28,1.0,0.0,0.0
1984-12-31,0.9999999998556468,1.4435319606320715e-10,0.0
1985-01-02,0.9999999999976605,2.339461957327296e-12,0.0
1985-01-03,0.9999965668637228,3.4331362772333195e-06,0.0
1985-01-04,0.9999999055735097,9.442649027710488e-08,0.0
1985-01-07,0.9999981006850241,1.8993149757998943e-06,0.0
1985-01-08,0.9999998561861354,1.4381386461449726e-07,0.0
1985-01-09,0.9999999999861148,1.388522548420292e-11,0.0
1985-01-10,0.9999999999102993,8.970080234144937e-11,0.0
1985-01-11,0.9999995799244425,4.2007555744343066e-07,0.0
1985-01-14,0.9999779983037783,2.2001699258113535e-05,0.0
1985-01-15,0.9999999999724517,2.75482641890428e-11,0.0
1985-01-16,0.9999999648577536,3.5142246445815295e-08,0.0
1985-01-17,0.8839827882735452,0.11601721185809345,0.0
1985-01-18,0.999880061426031,0.00015156339903375738,0.0
1985-01-21,0.997950829996623,0.0020492066388214255,0.0
1985-01-22,0.9999999999098587,9.014134557724598e-11,0.0
1985-01-23,0.9982315121481868,0.0017684878871625288,0.0
1985-01-24,0.9997502854699244,0.000249718536543022,0.0
1985-01-25,0.9979296042547354,0.0020709999104357164,0.0
1985-01-28,0.9961444339440886,0.003871044044399914,0.0
1985-01-29,0.9989613443363901,0.0010455027773093376,0.0
1985-01-30,1.0,0.0,0.0
1985-01-31,0.9931638713652877,0.0068361286347122805,0.0
1985-02-01,0.9999998616492163,1.384028226850403e-07,0.0
1985-02-04,0.9761540602748664,0.023845997584668963,0.0
1985-02-05,0.913885784844452,0.08645081105661437,0.0
1985-02-06,0.31007518484421187,0.6989188667185644,0.0
1985-02-07,0.020322366941684412,1.3818740487636239,0.0
1985-02-08,0.0033020095832612386,2.136271901724755,0.0
1985-02-11,0.0032497347383754096,2.8826149163158723,0.0
1985-02-12,0.9998943589632401,0.0004197495576746947,0.0
1985-02-13,0.002654175997636208,1.0179469320513326,0.0
1985-02-14,0.29378114097907837,1.5788360786114441,0.0
1985-02-15,0.002000171530335232,2.2679797452083736,0.0
1985-02-19,0.9996781765708762,0.0010284605454620919,0.0
1985-02-20,0.002006351352654745,1.0290344663940083,0.0
1985-02-21,0.0020000555330395,1.6293661349189434,0.0
1985-02-22,0.0031219579780582566,2.0720507176537337,0.0
1985-02-25,0.9918589468187532,0.0272760317204434,0.0
1985-02-26,0.044571111668350386,0.962647663763948,0.0
1985-02-27,0.9976784242556426,0.004624520146800982,0.0
1985-02-28,0.9999416484131208,5.836675825713536e-05,0.0
1985-03-01,0.7277058956033168,0.272883213937542,0.0
1985-03-04,0.01543924520059687,0.9903864133001544,0.0
1985-03-05,0.0023027598513100313,1.9090134074126832,0.0
1985-03-06,0.012737695198412311,2.836591588537399,0.0
1985-03-07,0.9986833933555261,0.005105930322530629,0.0
1985-03-08,0.9934287587510438,0.006694637059510281,0.0
1985-03-11,0.026246551868478657,0.9774282824862945,0.0
1985-03-12,0.014054327855874467,1.8005213409018226,0.0
1985-03-13,0.9975658944979106,0.006988758673918307,0.0
1985-03-14,0.9999922714559879,7.835978992396372e-06,0.0
1985-03-15,0.006306220348055056,0.9937692443180677,0.0
1985-03-18,0.9967829572101462,0.006431515950008419,0.0
1985-03-19,0.9980487454353446,0.00195606166708201,0.0
1985-03-20,0.1118612317959456,0.8905515942154302,0.0
1985-03-21,0.018641646553638366,1.3417176847860524,0.0
1985-03-22,0.002068139207750988,2.014967199434184,0.0
1985-03-25,0.26745087317561345,2.1970629469537672,0.0
1985-03-26,0.002242869313985944,3.7331812847155854,0.0
1985-03-27,0.3449363448263215,2.5635117941480496,0.0
1985-03-28,0.23604768552207803,1.4218753289281494,0.0
1985-03-29,0.0260005779434932,1.6783452587366245,0.0
1985-04-01,0.0022289237056132265,3.2471357721675864,0.0
1985-04-02,0.9113317424730749,0.289546960659521,0.0
1985-04-03,0.015096307920008958,1.6212607911677728,0.0
1985-04-04,0.004095345630175795,3.2922996703049865,0.0
1985-04-08,0.004168837984661717,4.8752263567086445,0.0
1985-04-09,0.002002640890598074,6.617811426883158,0.0
1985-04-10,0.6396151914693431,2.429053366309316,0.0
1985-04-11,0.9931675705497826,0.01959428165243631,0.0
1985-04-12,0.0023687923933635546,1.0671172598119645,0.0
1985-04-15,0.0020189470075817634,1.8487064599259369,0.0
1985-04-16,0.02747197172067858,2.616560639244706,0.0
1985-04-17,0.20955173113059508,2.866270503716553,0.0
1985-04-18,0.9938624558241561,0.020362110566603496,0.0
1985-04-19,0.005818699632434424,1.1524526702901121,0.0
1985-04-22,0.023278837634187456,2.6678527358679265,0.0
