Date,abs_return,p_evt
1992-06-10,0.0128518824557363,0.0
1992-06-12,0.0036324049524384,0.0
1992-06-15,0.0019757645730209,0.0
1992-06-16,0.0,0.0
1992-06-17,0.0016461992719764,0.0
1992-06-18,0.00754123063354,0.0
1992-06-19,0.0046589102572411,0.0
1992-06-22,0.0068277599775898,0.0
1992-06-23,0.001208247943904,0.0
1992-06-24,0.0012754839850712,0.0
1992-06-25,0.008494799315926,0.0
1992-06-26,0.0058114944718514,0.0
1992-06-29,0.0073964836673505,0.0
1992-06-30,0.0004050058113746,0.0
1992-07-01,0.0067960937379537,0.0
1992-07-02,0.0003352442395334,0.0
1992-07-06,0.0024286429097103,0.0
1992-07-07,0.0002701589877744,0.0
1992-07-08,0.0050095043516709,0.0
1992-07-09,0.0050770120900492,0.0
1992-07-10,0.0041103630096092,0.0
1992-07-13,0.0028282518326565,0.0
1992-07-14,0.0006067512181579,0.0
1992-07-17,0.0078937844720899,0.0
1992-07-20,0.0036590373339373,0.0
1992-07-21,0.0078464789171692,0.0
1992-07-22,0.0016716758045287,0.0
1992-07-23,0.0085268012753291,0.0
1992-07-24,0.0165608189295714,0.0
1992-07-27,0.0,0.0
1992-07-28,0.0079607719995484,0.0
1992-07-29,0.0120334837470741,0.0
1992-07-30,0.0134789955530122,0.0
1992-07-31,0.001930536162875,0.0
1992-08-03,0.004694877937025,0.0
1992-08-04,0.0074462896780317,0.0
1992-08-05,0.0095245723796699,0.0
1992-08-06,0.017630196912603,0.0
1992-08-07,0.0054902134744759,0.0
1992-08-11,0.0225031331852761,0.0
1992-08-12,0.019354794663843,0.0
1992-08-13,0.0062751739345598,0.0
1992-08-14,0.0271323398040341,0.0
1992-08-17,0.0026941907877815,0.0
1992-08-18,0.0176915661366924,0.0
1992-08-19,0.0008386837411088,0.0
1992-08-20,0.0087263900974514,0.0
1992-08-21,0.0177473474010057,0.0
1992-08-24,0.0123223241681384,0.0
1992-08-25,0.0060680977026245,0.0
1992-08-26,0.0233272372050884,0.0
1992-08-27,0.007102838779263,0.0
1992-08-28,0.0011029007008538,0.0
1992-08-31,0.0140260542011277,0.0
1992-09-01,0.0021786500992221,0.0
1992-09-02,0.0075896332401471,0.0
1992-09-03,0.0019027930621196,0.0
1992-09-04,0.0020492774373817,0.0
1992-09-07,0.0005126908531089,0.0
1992-09-08,0.0084585424074029,0.0
1992-09-09,0.006337167528998,0.0
1992-09-10,0.0026271456531861,0.0
1992-09-11,0.0021158031396819,0.0
1992-09-15,0.0021709249042822,0.0
1992-09-16,0.0113406094520656,0.0
1992-09-17,0.0117665715752144,0.0
1992-09-18,0.0073505354865089,0.0
1992-09-21,0.0032095932222676,0.0
1992-09-22,0.0058483533915455,0.0
1992-09-23,0.0002255173174411,0.0
1992-09-24,0.0036152232744868,0.0
1992-09-25,0.0108814997887996,0.0
1992-09-28,0.0074360839651409,0.0
1992-09-29,0.0029590196583188,0.0
1992-09-30,0.002070430181766,0.0
1992-10-01,0.0009618236265796,0.0
1992-10-02,0.0057103297089615,0.0
1992-10-05,0.0037255091826574,0.0
1992-10-06,0.005239140887346,0.0
1992-10-07,0.0006756179657244,0.0
1992-10-08,0.0006005921979107,0.0
1992-10-09,0.0005251537688281,0.0
1992-10-12,0.0049627711208567,0.0
1992-10-13,0.0047377782385011,0.0
1992-10-14,0.0007499625232943,0.0
1992-10-15,0.0027699446285305,0.0
1992-10-16,0.0026200561935611,0.0
1992-10-19,0.004281660003597,0.0
1992-10-20,0.0030066167617588,0.0
1992-10-21,0.0002250773042859,0.0
1992-10-22,0.0009007966931966,0.0
1992-10-23,0.0259466001141357,0.0
1992-10-27,0.0176983107976703,0.0
1992-10-28,0.0007187006076597,0.0
1992-10-29,0.0064146851086945,0.0
1992-10-30,0.0028880886500734,0.0
1992-11-02,0.0217516152870755,0.0
1992-11-03,0.0082170721506124,0.0
1992-11-04,0.0110349676397596,0.0
1992-11-05,0.0033824631718506,0.0
1992-11-06,0.0025443336074566,0.0
1992-11-09,0.001979533221965,0.0
1992-11-10,0.0155573923820118,0.0
1992-11-11,0.0026389243287465,0.0
1992-11-12,0.0006243882449484,0.0
1992-11-13,0.0040169378274698,0.0
1992-11-16,0.0227195112759502,0.0
1992-11-17,0.0136237376437585,0.0
1992-11-18,0.0075614214851938,0.0
1992-11-19,0.0031675667372124,0.0
1992-11-20,0.0032483436987429,0.0
1992-11-23,0.0038121488762766,0.0
1992-11-24,7.052855824661904e-05,0.0
1992-11-25,0.0003522242879581,0.0
1992-11-26,0.0120415560828926,0.0
1992-11-27,0.0076256868666368,0.0
1992-11-30,0.0144666578123393,0.0
1992-12-01,0.0034092492336977,0.0
1992-12-02,0.002872745595263,0.0
1992-12-10,0.002976657069054,0.0
1992-12-11,0.0035985860092805,0.0
1992-12-14,0.0014517133679871,0.0
1992-12-15,0.0023549148178973,0.0
1992-12-16,0.0100045683843182,0.0
1992-12-17,0.0080003662009394,0.0
1992-12-18,0.0158781750283142,0.0
1992-12-21,0.0131190579674374,0.0
1992-12-22,0.0148635050091094,0.0
1992-12-23,0.0020838078741566,0.0
1992-12-24,0.0018823863226403,0.0
