Date,abs_return,p_evt
1984-10-11,0.00577883814932,0.0
1984-10-12,0.0061112433777105,0.0
1984-10-15,0.0060741228200239,0.0
1984-10-16,0.001616137307258,0.0
1984-10-17,0.0008090491725236,0.0
1984-10-18,0.0108674722131287,0.0
1984-10-19,0.0055888125370441,0.0
1984-10-22,0.0023913556277495,0.0
1984-10-23,0.0,0.0
1984-10-24,0.0007977541092824,0.0
1984-10-25,0.0072029244621512,0.0
1984-10-26,0.0064464611769573,0.0
1984-10-29,0.0036444418050053,0.0
1984-10-30,0.0040485885260001,0.0
1984-10-31,0.0020222453807678,0.0
1984-11-01,0.0040404095370049,0.0
1984-11-02,0.0,0.0
1984-11-05,0.0016115793230223,0.0
1984-11-06,0.0084185950369149,0.0
1984-11-07,0.0027983106166375,0.0
1984-11-08,0.0012016947167085,0.0
1984-11-09,0.0,0.0
1984-11-12,0.0008019124207543,0.0
1984-11-13,0.0060350212603702,0.0
1984-11-14,0.0032336448824716,0.0
1984-11-15,0.0040568006956144,0.0
1984-11-16,0.0036652204961518,0.0
1984-11-19,0.0090165045557732,0.0
1984-11-20,0.0012343266632278,0.0
1984-11-21,0.0008226942031171,0.0
1984-11-23,0.0094205203648156,0.0
1984-11-26,0.0016320246697233,0.0
1984-11-27,0.0297689287071215,0.0
1984-11-28,0.0063618747514617,0.0
1984-11-29,0.0291400504686561,0.0
1984-11-30,0.0045277135070052,0.0
1984-12-03,0.0062073447311177,0.0
1984-12-04,0.0004151581764427,0.0
1984-12-05,0.0087592055482035,0.0
1984-12-06,0.0008375082234764,0.0
1984-12-07,0.0016729788838293,0.0
1984-12-10,0.0445425781683564,0.0
1984-12-11,0.0466341915375349,0.0
1984-12-12,0.0012570839696063,0.0
1984-12-13,0.0016785312013263,0.0
1984-12-14,0.0037727728044411,0.0
1984-12-17,0.0020942416031147,0.0
1984-12-18,0.0199259520042697,0.0
1984-12-19,0.0085942450724436,0.0
1984-12-20,0.0036741984901823,0.0
1984-12-21,0.0012262541895751,0.0
1984-12-24,0.0040766464430459,0.0
1984-12-26,0.0032494059333673,0.0
1984-12-27,0.004878108075806,0.0
1984-12-28,0.0020354169959085,0.0
1984-12-31,0.0048682132941357,0.0
1985-01-02,0.0048682132941356,0.0
1985-01-03,0.0020312824875852,0.0
1985-01-04,0.0012182246906358,0.0
1985-01-07,0.0008130577969495,0.0
1985-01-08,0.000406611531345,0.0
1985-01-09,0.0052706509353142,0.0
1985-01-10,0.0136548061236236,0.0
1985-01-11,0.005965418438972,0.0
1985-01-14,0.0129999982134865,0.0
1985-01-15,0.0089616335105461,0.0
1985-01-16,0.009266569838131,0.0
1985-01-17,0.0038358311442614,0.0
1985-01-18,0.007247767108012,0.0
1985-01-21,0.0124647045104292,0.0
1985-01-22,0.0074794666020162,0.0
1985-01-23,0.0085328593574148,0.0
1985-01-24,0.0058931131357954,0.0
1985-01-25,0.0062237515377044,0.0
1985-01-28,0.003642991278501,0.0
1985-01-29,0.0043541875049672,0.0
1985-01-30,0.0086517980819757,0.0
1985-01-31,0.0003588950342842,0.0
1985-02-01,0.0010770717510816,0.0
1985-02-04,0.0085837221426046,0.0
1985-02-05,0.006389863168825,0.0
1985-02-06,0.0067007617182389,0.0
1985-02-07,0.0090973548198301,0.0
1985-02-08,0.0045177758612091,0.0
1985-02-11,0.0034734318395067,0.0
1985-02-12,0.0027874157175605,0.0
1985-02-13,0.0059140256125785,0.0
1985-02-14,0.0003468219444886,0.0
1985-02-15,0.0024300712602005,0.0
1985-02-19,0.0027846112739228,0.0
1985-02-20,0.001393221783145,0.0
1985-02-21,0.0010447077368253,0.0
1985-02-22,0.0027913059851707,0.0
1985-02-25,0.0077166716132444,0.0
1985-02-26,0.0035149421074445,0.0
1985-02-27,0.0031628699248209,0.0
1985-02-28,0.000351948271426,0.0
1985-03-01,0.0105006210624032,0.0
1985-03-04,0.0003482712914433,0.0
1985-03-05,0.0,0.0
1985-03-06,0.0055885792901506,0.0
1985-03-07,0.0080886241725772,0.0
1985-03-08,0.0028289209174166,0.0
1985-03-11,0.004258280659067,0.0
1985-03-12,0.0007109196434633,0.0
1985-03-13,0.0114367996225088,0.0
1985-03-14,0.0025193901814694,0.0
1985-03-15,0.0018001805041478,0.0
1985-03-18,0.0032426397953039,0.0
1985-03-19,0.0064747988538659,0.0
1985-03-20,0.0003586376470179,0.0
1985-03-21,0.0007171467191844,0.0
1985-03-22,0.0003585090721665,0.0
1985-03-25,0.0093660850001812,0.0
1985-03-26,0.0003619025774793,0.0
1985-03-27,0.0050559654478385,0.0
1985-03-28,0.0021590727485815,0.0
1985-03-29,0.0035880912417165,0.0
1985-04-01,0.0039320000111869,0.0
1985-04-02,0.0021427707696481,0.0
1985-04-03,0.0064563290657487,0.0
1985-04-04,0.001800828907314,0.0
1985-04-08,0.0032496649157617,0.0
1985-04-09,0.000361620334485,0.0
1985-04-10,0.0079221938053064,0.0
1985-04-11,0.0046520689543691,0.0
1985-04-12,0.0017834853634694,0.0
1985-04-15,0.0017803102054353,0.0
1985-04-16,0.0042597923926442,0.0
1985-04-17,0.0035360717296617,0.0
1985-04-18,0.0007061500703325,0.0
1985-04-19,0.001060322819903,0.0
1985-04-22,0.0035423347110134,0.0
1985-04-23,0.0028349357016347,0.0
1985-04-24,0.0017677218292817,0.0
1985-04-25,0.0031740244837776,0.0
1985-04-26,0.0003520721826234,0.0
1985-04-29,0.007064670699879,0.0
1985-04-30,0.0053314502239307,0.0
1985-05-01,0.0035701572309097,0.0
1985-05-02,0.0021482503677443,0.0
1985-05-03,0.0046486327994963,0.0
1985-05-06,0.0014280399055124,0.0
1985-05-07,0.0035663376664194,0.0
1985-05-08,0.0007117872436861,0.0
1985-05-09,0.0077958641223057,0.0
1985-05-10,0.0147164964896441,0.0
1985-05-13,0.002084803038484,0.0
1985-05-14,0.0013893502886649,0.0
