ticker,n,mean,std,skew,kurtosis,jb_p,ks_p,shapiro_p,anderson_stat,hill_alpha,hurst,beta_scaling,evt_var99,evt_viol,ljung_r_p,ljung_abs_p,ljung_sq_p,bds_stat,bds_p,zeta_p1,zeta_p15,zeta_p2,zeta_p25,zeta_p3
HANG_SENG,9504,0.0002290678725785535,0.016384816807536555,-2.080461649410717,52.2232641534149,0.0,7.772169670947244e-58,2.539790183404314e-14,158.5947646248096,2.9156903087684682,0.5419256308860335,0.9785723241102767,0.04395351342577805,85,2.0361385829667503e-06,0.0,2.14438436592215e-66,[20.32135239 26.07501958],[8.32511211e-092 7.00207406e-150],0.5284116954699023,0.7693676170367055,0.9873082419949887,1.168655750595822,1.3009071460241939
AEX_NETHERLANDS,8355,0.00022875393707428584,0.01294047200135224,-0.2667301770737877,7.220539016692845,0.0,9.613385864153668e-48,2.9693476883969544e-17,130.02839725216108,2.8748780588006606,0.5569987213203839,1.0096832478143853,0.038300510436985104,84,9.628923602205911e-11,0.0,0.0,[23.91719265 31.70426152],[2.02899390e-126 1.35714922e-220],0.5313432683923053,0.7806082147599435,1.0197413917334406,1.2487941679357215,1.468035814329731
CAC40_FRANCE,8979,0.00015666373149591313,0.013410294301990897,-0.20388743672403128,5.898222611049231,0.0,7.511993441591121e-34,3.3263221027364863e-09,87.8358123448179,3.1711070139239004,0.5627604633353492,0.9579316444952867,0.03855546523474551,94,1.623257622757166e-05,0.0,0.0,[18.011901   24.54671874],[1.57138118e-072 4.68841467e-133],0.5054413906053989,0.741502362729164,0.9660786337473601,1.1779859835203408,1.3763466554371746
STI_SINGAPORE,9376,0.0001639535726405768,0.011409211553754706,-0.16801875733951047,9.946271674570559,0.0,7.599128122667704e-55,4.617939858945439e-09,157.5477532581499,2.697092971152379,0.5739320501398563,1.0776809177100664,0.0329960647721365,91,1.2523262957777937e-16,0.0,0.0,[28.67117465 35.75634384],[8.73097844e-181 5.27228598e-280],0.5573511650714496,0.824700051950843,1.0817581284694295,1.3262826755188881,1.5570267864078222
EUROSTOXX50,4581,6.274374353732692e-05,0.013911631936475112,-0.31258293930964054,7.679704806813101,0.0,1.1842244152832697e-25,3.9159842669543575e-18,67.60026869475769,2.962529687349127,0.5122934082721853,0.9305847139425645,0.04187819299801195,45,0.0004492073853237349,0.0,0.0,[13.43346537 18.83326791],[3.84966388e-41 4.03100701e-79],0.49000864890179247,0.7166428779224426,0.9321086941479242,1.1365745674491765,1.3299353484368852
NIFTY50,4364,0.00037365118907119595,0.012726541225513399,-0.2859460889122388,16.235752554191677,0.0,1.2010471524930133e-26,1.4158570107558398e-14,76.3256715655134,2.688015593474086,0.5564905550830663,0.9580227099148114,0.03621744849069408,42,3.095120354539593e-05,0.0,0.0,[18.63233091 22.95907326],[1.75702991e-077 1.19596745e-116],0.5275272188321208,0.7762194489068602,1.0124757483851896,1.2324174798731888,1.4329620946051227
NIKKEI225,14873,0.0002549569299676489,0.012810605118482817,-0.4206131671462603,9.710150656344668,0.0,3.125014477671521e-80,6.976174994859843e-22,214.73516878818918,3.1062355613286834,0.5418028430289994,1.0057264993247184,0.03617727748362963,146,0.015455409453222465,0.0,0.0,[27.78683013 36.92872814],[6.25797757e-170 1.59897631e-298],0.5396611616507643,0.7866318927657273,1.018439545355441,1.233676866510558,1.4313005068531484
DJIA,8438,0.0003127884217636619,0.011029018725356629,-0.38437981689441963,12.940041534753298,0.0,9.900745780550081e-56,6.502879063902461e-12,147.05699109271154,2.8301234824086934,0.528564411716235,0.9190969839921024,0.031635816957377355,79,2.1565464372340303e-16,0.0,0.0,[21.59233874 28.71056886],[2.12008277e-103 2.81582010e-181],0.5163503323954697,0.7487562915910742,0.9627974755874924,1.1568259196711324,1.3308110270358129
RUSSELL2000,9528,0.00031322642387878136,0.01344189518416755,-0.5401424231394402,8.623973783102329,0.0,1.2320685370605153e-50,1.1325029640374196e-22,137.32845674804776,3.0956561258205175,0.5655693956132751,0.9484902868948765,0.03816122587622732,87,6.835438672561246e-07,0.0,0.0,[26.45972455 35.41940378],[2.82004909e-154 8.58461584e-275],0.5138345331240928,0.7502061952971445,0.9732485956680332,1.1821397201346346,1.3762502425035454
SENSEX,6899,0.00046212932917300237,0.014225132154859276,-0.28352037554381854,8.796732375590521,0.0,1.2996200581055096e-33,5.727134863645513e-10,97.18655945655883,3.100836797233596,0.5689165931387965,1.0151773114177107,0.041261725432995666,70,5.636992416409382e-09,0.0,0.0,[24.98004442 30.51508342],[1.00741067e-137 1.64397570e-204],0.549006432064502,0.8071331043570736,1.0525105384102773,1.2836584756387113,1.4997011982872213
NASDAQ,13720,0.00039195755929940216,0.012748374915982531,-0.3294111256927418,9.570088938079142,0.0,4.726099726815669e-114,9.467440759645624e-17,293.6714118716536,2.942516557717705,0.5961515941692442,1.0504358542371344,0.0379389078366944,138,8.280733093336331e-05,0.0,0.0,[34.63014765 46.31076295],[8.89036693e-263 0.00000000e+000],0.5746338420106756,0.834105609868774,1.076496191511924,1.30252248930556,1.513291828233481
