crisis_start,crisis_end,has_signal,lead_days,signal,ticker
2001-09-13,2001-10-31,1,58,BOCPD,SENSEX
2002-07-30,2002-08-12,1,60,BOCPD,SENSEX
2002-09-30,2002-11-14,1,60,BOCPD,SENSEX
2003-04-11,2003-05-15,1,53,BOCPD,SENSEX
2008-10-16,2009-04-06,1,59,BOCPD,SENSEX
