crisis_start,crisis_end,has_signal,lead_days,signal,ticker
2003-02-24,2003-04-04,1,59,BOCPD,AEX_NETHERLANDS
2003-05-19,2003-05-27,1,60,BOCPD,AEX_NETHERLANDS
2008-10-15,2009-07-22,1,58,BOCPD,AEX_NETHERLANDS
2011-09-21,2011-09-26,1,58,BOCPD,AEX_NETHERLANDS
