crisis_start,crisis_end,has_signal,lead_days,signal,ticker
1998-07-23,1998-10-08,1,43.0,HMM,HANG_SENG_CHINA_ENT
1999-01-11,1999-04-08,1,-3.0,HMM,HANG_SENG_CHINA_ENT
2000-02-10,2000-05-10,1,31.0,HMM,HANG_SENG_CHINA_ENT
2000-05-25,2000-05-30,1,36.0,HMM,HANG_SENG_CHINA_ENT
2000-12-15,2001-02-09,0,,HMM,HANG_SENG_CHINA_ENT
2001-09-12,2001-09-21,1,-9.0,HMM,HANG_SENG_CHINA_ENT
