crisis_start,crisis_end,has_signal,lead_days,signal,ticker
1931-12-08,1933-05-25,0,,EVT,SP500
1933-10-18,1933-10-23,0,,EVT,SP500
1934-07-23,1934-08-20,0,,EVT,SP500
1934-08-30,1934-11-05,0,,EVT,SP500
1934-11-15,1934-11-22,0,,EVT,SP500
1934-12-11,1934-12-27,0,,EVT,SP500
1935-01-14,1935-01-18,0,,EVT,SP500
1935-01-28,1935-04-18,0,,EVT,SP500
1941-12-08,1942-10-07,0,,EVT,SP500
