Date,vov_21,gap_abs,jump_flag,vdi,rsi_s,pde,fdi,srs,sai
1993-03-04,,,1,0.19306153892046454,,1.3861672627071382,,,2.901313909023839
1993-03-05,,0.0071344323207424695,1,0.28408249821207465,,1.3859995485515246,,,2.4254597653289665
1993-03-08,,0.00012847045682983684,1,0.06766956331444693,0.0022638022108791996,1.3862776281623488,1.1919020205580451e-05,,6.187840572387331
1993-03-09,,0.003696002384321348,1,0.24426670288469757,0.0021321059403114667,1.3861260042713273,9.829536494290135e-06,,4.03964077148371
1993-03-10,0.7185942420553167,0.003554117600271622,1,1.2326749358952185,0.0017414953297554747,1.3811938834532504,9.02615748931052e-06,,4.404340425046789
1993-03-11,0.7781844276520377,0.0018205005107370465,1,0.15387806779754049,0.00270092799791006,1.3862248207583705,1.77345767947392e-05,,82.35288918678445
1993-03-12,0.7421533107955451,0.00550337797645146,1,0.17444361631088562,0.005278915193083017,1.3861727657512082,3.073276479707137e-05,,1.6082999660808663
1993-03-15,0.7139800121456727,0.0052784140844567,1,0.4824278399848209,0.0082967293846368,1.3856271124001946,3.6683514896561336e-05,,5.040021444849281
1993-03-16,0.7712043271083214,0.00025248000179977525,1,0.24421138516741792,0.008453492578434387,1.3861240952677758,3.124342475006225e-05,,2620.315784519141
1993-03-17,0.7298064531903932,0.002559078127514227,0,0.38194906481773716,0.007577331380690967,1.3858225618191051,2.6725407379345222e-05,,14972.529723909925
1993-03-18,0.6985787249041973,0.0007571637885868398,0,0.09173186199961486,0.007993377680202033,1.3862666495937301,2.4234556602887592e-05,,16.137731525052946
1993-03-19,0.7354840895247323,0.0010670717999525872,0,0.2445115868122695,0.007890451849169878,1.3861208440680888,1.8647642739766137e-05,,18.02755067137492
1993-03-22,0.71001423457238,0.006472258758438693,0,0.6642779501577137,0.009330301145308521,1.3849487181985631,6.02993293110931e-06,,1.2167442209315786
1993-03-23,0.6826919432407743,0.0028804641939327185,0,0.5765798057899415,0.010674689855750744,1.3853412945429042,1.578466742387579e-07,,617.4253443436228
1993-03-24,0.6597028944671475,0.0025378031793637608,0,0.23521368787700975,0.010540866079924811,1.3861079728092065,1.0427363107317031e-05,-1.2705055356120454,8.789529679012663
1993-03-25,0.6427449711914007,0.0029880472107376393,0,0.4177373277632672,0.008920447662360269,1.385734733282257,1.2621776568746955e-05,-1.2061392143520366,122.28204230769506
