Date,vov_21,gap_abs,jump_flag,vdi,rsi_s,pde,fdi,srs,sai
1997-11-27,,,1,0.328972562187316,,1.3856696804575552,,,4.324914339737538
1997-11-28,,0.003202441426939641,1,0.0936504758394325,,1.3862463755530863,,,8.382998261543998
1997-12-01,,0.006826052900513144,1,0.17699225536533159,0.0330918131070143,1.3861215097820316,7.158984816087802e-05,,258.23742143456866
1997-12-02,,0.0008743818893398251,1,0.19135175164897025,0.02444975410928163,1.3861212889277934,2.3636277939406078e-05,,63.18530164347721
1997-12-03,0.6918985979439616,0.001799403992933179,1,0.21371501251111225,0.020097018574863422,1.3860955294486403,2.4465230280736436e-05,,169.3191967075331
1997-12-04,0.6956970612218302,0.009040384213222783,1,0.2443015932568066,0.018567363345448278,1.3859464814285534,6.040360699977936e-06,,4.9332409889773015
1997-12-05,0.6352641219812662,0.0003062695985597947,1,0.0805649685967846,0.01657889016358533,1.3862612165724233,4.1098820128021164e-05,,1.4825373470982952
1997-12-08,0.7665047573461334,0.002973262279656387,1,0.12076419848934017,0.016543328012276443,1.3862388364406246,3.380856788972774e-05,,6089.54912926901
1997-12-09,0.7667563516116854,0.0004986892795567414,1,0.10987771703647667,0.01723507935413466,1.3862214950095582,6.806961130749187e-05,,1.7626764338537735
1997-12-10,0.7410922454147183,0.008016525142547259,0,0.11572691636464949,0.016342085627655864,1.3862336520217118,7.742878064330873e-05,,6.059346158035528
1997-12-11,0.7422777221158358,0.0032916125819271304,0,0.32411173251094705,0.012229584314030777,1.3856313406605558,7.718957559633311e-05,,32.87826567688836
1997-12-12,0.7133589087497655,0.0033017068101999095,0,0.24224016548989818,0.010452228706762316,1.3860044669963978,5.740323163377281e-05,,458618.8692132767
1997-12-15,0.6846996607696635,0.0023215104576429567,0,0.04151946102611569,0.010922303673267523,1.3862852246129123,5.805890975359391e-05,,6.361005312906707
1997-12-16,0.6666928308336444,0.0020824313721659097,0,0.10247056173669251,0.01074462320793059,1.3862447292761058,4.533437003760711e-05,,2.1694131138372468
1997-12-17,0.6796939964213291,0.009704920669563664,0,0.21171212240424608,0.009484637912668034,1.3861157582389168,2.9968067015796038e-05,0.3219201452859651,2.376620732976957
1997-12-18,0.6587375387787676,0.0014550412113109445,0,0.2358988556233557,0.011213895488406912,1.3860241560825046,2.1554792314688587e-05,0.3783201827630153,42.576178532912735
1997-12-19,0.6407028858652779,0.002563548168797468,0,0.8837494179818808,0.012017749115933622,1.3828337281448604,2.86242857732581e-05,0.240648749814639,3.0213279307377516
1997-12-22,0.630324259104523,0.003803285579473193,0,0.30711344260701373,0.0097795284011071,1.3858682429333988,6.404953530986775e-05,0.13186475701772013,3.2086050751271844
1997-12-23,0.6327151409198972,0.006515692800168393,0,0.21264446643786558,0.010363734058650743,1.3861002059597354,8.62628771228591e-05,0.06840776428586738,26.077276357881306
1997-12-24,0.621714427369513,0.012447008217014107,0,0.2997978212465493,0.011292655981938456,1.3858385003474645,8.592405349601038e-05,0.16785600598802927,11.487066475251165
1997-12-26,0.7406268214173226,0.003660453528758876,0,0.24100395938063238,0.012495817644050007,1.3860928081324788,9.223814650404364e-05,0.10446172811525069,20.045829366138413
1997-12-29,0.7168754160756897,0.004193897131295128,0,0.4955981882471375,0.012663707673133412,1.3852965669297763,0.00011392130905545212,0.016671493245657573,2.586773864277688
1997-12-30,0.710061625401826,0.0007961404839143351,0,0.3292717296519763,0.016372064888338846,1.3857924667142039,0.00010894056387847779,0.0708940173480941,2.644835790569214
1997-12-31,0.7071241000589576,0.0019894864916184377,0,0.24761779542844853,0.0189868559279163,1.385965028379392,9.090835762282278e-05,0.02923848953240267,27.166266249128256
1998-01-01,0.7176971767950683,0.00017489807027110628,0,0.08407164115253624,0.016949458077697845,1.3862652302318037,7.649176924534364e-05,-0.03855555989512876,9.922314706152322
1998-01-02,0.7735573267554057,0.002662451522318172,0,0.20990865014037507,0.014652019710795713,1.3861318530919406,8.77988177060214e-05,-0.08263809834428291,20.041925858720948
1998-01-05,0.7311034064576828,0.0067889632054188714,0,0.3399659206378512,0.01461660883319172,1.3857636996678209,6.550541833728932e-05,-0.11194557269332105,20.600336831355214
1998-01-06,0.7402870825509934,0.003960547086803285,0,0.3282606910123647,0.014170808336434478,1.3858530453091853,3.0924993973743845e-05,-0.05506553518522569,8.292452490815792
1998-01-07,0.7200354800984656,0.0011406146159280543,0,0.15158620745918164,0.012894125071969057,1.3861738841310278,1.3312170711774836e-05,0.017878482781500723,3.0244621565453134
1998-01-08,0.6710020019978492,0.003159789763616243,0,0.6055639125617469,0.012590005025169524,1.3846854354676137,3.609295516409702e-06,-0.006723500571506574,1.3602653003081497
1998-01-09,0.6766654768288215,0.005272094618008261,0,0.18728113298096377,0.011635988744619434,1.3861417823345923,4.193191307949234e-05,0.04066653130825979,2.9192586454966074
1998-01-12,0.6231505056882312,0.013466269149028402,0,2.730018823366621,0.009542209744903756,1.3610302335122404,0.000141710648235668,-0.27435365281681673,1.678768415722394
