Date,vov_21,gap_abs,jump_flag,vdi,rsi_s,pde,fdi,srs,sai
1988-02-02,,,1,0.25654922866850005,,1.3861003147542061,,,43.11740728695368
1988-02-03,,7.935612263638795e-05,1,0.027786873838692504,,1.38629182163975,,,7.588878168430444
1988-02-04,,7.977139506067771e-05,1,0.20330700396691373,0.00584889378630645,1.3861818210500547,1.8922053651537862e-06,,87.68787641158929
1988-02-05,,0.0,1,0.1505695822352497,0.004243599831624833,1.3862266519958844,3.049346746830765e-07,,10.01970851012812
1988-02-08,0.4384147806585861,0.0,1,0.042877484984958324,0.004715845596626375,1.3862886914231844,2.3783155781415427e-06,,2.712546216667641
1988-02-09,0.5687774294110955,0.0,1,0.058861600900198936,0.0050000182263613,1.3862857263467128,8.27813887840543e-07,,10.705324416317355
1988-02-10,0.8223001065648522,7.962798780868596e-05,1,1.5976114915705888,0.005984614460690316,1.3783561296207498,9.37138052536e-06,,1.1552763894549083
1988-02-11,0.7836639975199107,0.0,1,0.33280210389766796,0.006010047549092971,1.38594517378702,1.2835530783433287e-05,,5.164236927961965
1988-02-12,0.7633532098822645,0.0,1,0.6501008292408891,0.0055532916916676,1.3852164847981263,1.7508671154116613e-05,,3.801566515346104
1988-02-16,0.7283741765602239,0.0,0,0.7130514571044251,0.0053638815899463,1.3849604211206599,1.790271494350884e-05,,11.698895689517675
1988-02-17,0.6914099386960179,7.705450693974296e-05,0,0.2006751212012943,0.004992821277654044,1.3861719186118562,1.8234310670699322e-05,,55.103345893677556
1988-02-18,0.6952057208703436,7.67479896943677e-05,0,0.05880572500912521,0.004407362564251122,1.3862849951471612,1.9236831473673872e-05,,23.912053522547062
1988-02-19,0.6795364179172543,0.0,0,1.4859034915888725,0.0045545544068609,1.38124453600137,2.0621264447395183e-05,,5.948385620014888
1988-02-22,0.6841472024886027,0.0,0,0.6992191877561613,0.004273998491114066,1.3847711245073997,2.4125274295236088e-05,,1.8961468428271473
1988-02-23,0.7360282982424635,7.550717336146252e-05,0,0.16536161173894462,0.0044273534808781,1.3862265674595573,2.1344666294788455e-05,0.18480713703973728,89.4725425001942
1988-02-24,0.7118691928462464,7.541601000264704e-05,0,1.2991236732225373,0.0038415994163763004,1.381966279648628,2.187247299673166e-05,0.055714872257884844,3.3732668610678602
1988-02-25,0.7500802886594564,0.0,0,0.18970019303637614,0.0034186470077096996,1.3861581608208495,1.3968754906386745e-05,0.025880758039178203,8.567465653907654
1988-02-26,0.8668592256355425,7.458309052209354e-05,0,0.07993613881317493,0.003514546216675334,1.386280478213605,1.3485319201872576e-05,0.12255896530981807,100.29157937453617
1988-02-29,1.0891984608227754,0.0,0,0.09219340787731331,0.004541263867595322,1.3862472556760015,2.0776072503093833e-05,0.33856378838245627,1.3332951871207472
