Date,vov_21,gap_abs,jump_flag,vdi,rsi_s,pde,fdi,srs,sai
1988-05-26,,,1,,,8.289306334778563e-11,,,5.1797719930495
1988-05-27,,0.0064270038399659194,1,,,8.289306334778563e-11,,,8.823187802398182
1988-05-31,,0.016039041848145884,1,,0.00554833076813685,8.289306334778563e-11,5.2396022944793625e-05,,2.0524047147651077
1988-06-01,,0.00707988855282041,1,,0.006685271610533033,8.289306334778563e-11,4.205597698973005e-05,,11.511555556703131
1988-06-02,0.844763918063434,0.014304983884242005,1,,0.006820227540755175,8.289306334778563e-11,4.630831691767487e-05,,3.0098262973970127
1988-06-03,1.2294784246002546,0.0029342743357330912,1,,0.007730323942305939,8.289306334778563e-11,4.574352699869886e-05,,65.2644315009393
1988-06-06,1.1482034129296537,0.010879127378559793,1,,0.007766078792392733,8.289306334778563e-11,4.336326139262561e-05,,5.398769761803615
1988-06-07,1.1988267142604911,0.003774891529320973,1,,0.008750070237462429,8.289306334778563e-11,4.8832048558864255e-05,,27.787925035584454
1988-06-08,1.1278465711858905,0.008978241559493297,1,,0.009250453093881388,8.289306334778563e-11,4.661736721183611e-05,,5.290445346477653
1988-06-09,1.3570143554407639,0.00201620308379735,0,,0.00899618480297189,8.289306334778563e-11,4.285252286946272e-05,,55.56823237002421
1988-06-10,1.3388097943600412,0.003638155116929177,0,,0.009011443525753888,8.289306334778563e-11,4.104419579964705e-05,,17.415553287437724
1988-06-15,1.4258388990717448,0.019026533876989632,0,,0.009653259164851732,8.289306334778563e-11,5.76839483016033e-05,,1.3098262099892333
1988-06-16,1.4609804642159614,0.0027155074329081913,0,,0.010470133959157964,8.289306334778563e-11,4.540209394986183e-05,,63.37051883461149
1988-06-20,1.4784889774380157,0.002708153417666368,0,,0.009668162701804657,8.289306334778563e-11,4.3234706700129913e-05,,53.72418332405751
1988-06-21,1.481552870426491,0.013331095925356615,0,,0.010186889345639534,8.289306334778563e-11,3.0775568694849034e-05,-0.6329981006616265,3.1942232987847374
1988-06-22,1.47509466533237,0.013051238794124185,0,,0.012235498420823311,8.289306334778563e-11,4.175445915153454e-05,-0.7372340805137839,4.25497238598256
1988-06-23,1.4454843534778024,0.010578204127721987,0,,0.01088205572732571,8.289306334778563e-11,4.137747076686569e-05,-0.8334216403021724,4.241878486359502
1988-06-24,1.791024977572652,0.0006463905400982757,0,,0.010712218124993044,8.289306334778563e-11,4.290284472155445e-05,-0.6706074760510331,1119.3847445329043
1988-06-27,1.7469582496173368,0.004350403749428459,0,,0.010350215317619078,8.289306334778563e-11,3.227709417794718e-05,-0.5030580154792943,25.324677145849346
1988-06-28,1.809583729673704,0.0014831070609180026,0,,0.010818166292865144,8.289306334778563e-11,3.183106222709835e-05,-0.423144735993416,138.1049433677743
