Date,vov_21,gap_abs,jump_flag,vdi,rsi_s,pde,fdi,srs,sai
1988-05-26,,,1,,,8.289306334778563e-11,,,89.51447218169318
1988-05-27,,0.007899056720942045,1,,,8.289306334778563e-11,,,5.0180905288111886
1988-05-30,,0.009143544825854437,1,,0.0031317338169924,8.289306334778563e-11,2.2020332545631893e-05,,3.3672144997960025
1988-05-31,,0.01032593729892191,1,,0.002481953369017433,8.289306334778563e-11,2.4765194915747e-05,,3.6371569107633683
1988-06-01,1.340661429914542,0.018212570828875986,1,,0.003833123409251575,8.289306334778563e-11,5.372851913167248e-05,,1.7866177683346498
1988-06-03,1.2276012354544776,0.006006930895043812,1,,0.00550762671416768,8.289306334778563e-11,4.7037397158491794e-05,,17.193738501131648
1988-06-06,1.2749452003808945,0.0035145961984545254,1,,0.005005078044571283,8.289306334778563e-11,4.287698294015831e-05,,46.17429119273461
1988-06-07,1.2282721765454112,0.004331626691170695,1,,0.00541095587957897,8.289306334778563e-11,4.3904389611367445e-05,,26.9424697756798
1988-06-08,1.250320690662372,0.0031471381812117703,1,,0.004882647458376462,8.289306334778563e-11,3.8994958342782125e-05,,41.27433454481814
1988-06-09,1.4826998729209955,0.02517976916436664,0,,0.007487565223621111,8.289306334778563e-11,6.820584510324662e-05,,1.121609694251788
1988-06-10,1.4134503899298854,0.008815822499268553,0,,0.010707188794128079,8.289306334778563e-11,6.621427767474961e-05,,9.685688150696828
1988-06-13,1.3531635080196647,0.005790779846182307,0,,0.0121918681541879,8.289306334778563e-11,6.395533506707869e-05,,23.07986310439477
1988-06-14,1.3344847988689645,0.0039462967989740225,0,,0.013142388617753322,8.289306334778563e-11,5.2402656511475965e-05,,49.49191102710851
1988-06-15,1.3449391067635352,0.014370637843852053,0,,0.014301310963627988,8.289306334778563e-11,5.833130905813441e-05,,4.684211953593986
1988-06-16,1.3005268502989906,0.008750547151273443,0,,0.015514149303771688,8.289306334778563e-11,2.7998735972036012e-05,0.3898344892896528,5.3532885942103166
1988-06-20,1.3321595395508976,0.017444551210343502,0,,0.016203223677380665,8.289306334778563e-11,3.005795170156771e-06,0.05068041418630439,2.091620752708267
1988-06-21,1.3185085020750449,0.013362042616226675,0,,0.01875437600370789,8.289306334778563e-11,1.6048846817587413e-05,-0.08024277566851906,4.377163673135326
1988-06-22,1.319743110734651,0.015659660544260594,0,,0.01887805705016067,8.289306334778563e-11,4.404544093977917e-05,-0.1949791464615191,4.123433385632077
1988-06-23,1.5379700536912873,0.0012846116482817963,0,,0.017613319810934433,8.289306334778563e-11,4.630138765677734e-05,-0.10573538340346342,488.60144067555115
1988-06-24,1.5213245028466107,0.004040728054911578,0,,0.01414226700460051,8.289306334778563e-11,5.548131685383352e-06,0.0007021575556778424,45.6934588760445
1988-06-27,1.4830711661381952,0.006740046331788325,0,,0.013717175009183735,8.289306334778563e-11,2.242792369157669e-05,-0.039655250910810735,10.72406153105185
1988-06-28,1.440172678003939,0.01246718099832934,0,,0.014769413974179434,8.289306334778563e-11,2.5858353952834838e-06,0.003123188868166543,2.985650806020145
1988-06-29,1.4401312079501345,0.007784863017956285,0,,0.014984426126786046,8.289306334778563e-11,1.65548912422693e-05,-0.05287630611702653,4.610920060268061
1988-06-30,2.064105698808272,0.00025584194103928293,0,,0.013251963469207333,8.289306334778563e-11,2.032275928668309e-07,-0.010883149664822728,4244.919300675993
1988-07-01,2.099795391524028,0.01737318538236871,0,,0.014187890067236157,8.289306334778563e-11,3.0472564658762587e-05,-0.07680151613957159,1.8664827131411201
1988-07-04,2.079746542545159,0.014422816600582134,0,,0.0110927539511491,8.289306334778563e-11,5.712650695954793e-05,-0.15542754455940322,3.489825956319314
1988-07-05,2.0798662864430395,0.005928941919153637,0,,0.011781226923748498,8.289306334778563e-11,4.796413202410208e-05,-0.1754716258996366,17.229774171181596
1988-07-06,2.088190388730153,0.014804040982925025,0,,0.010884652131662856,8.289306334778563e-11,4.6640550400058064e-05,-0.24415737377373578,3.4870593838328623
1988-07-07,2.0763841305666566,0.007172272869923571,0,,0.013020229625687156,8.289306334778563e-11,4.37046474878914e-05,-0.16193070558187986,15.854877925249744
1988-07-08,2.049336567913822,0.011314518067904534,0,,0.01387645368692362,8.289306334778563e-11,5.7566019571397994e-05,-0.22167110407009166,5.013262454017954
1988-07-11,1.975324059198946,0.007016704354579415,0,,0.013779119808297656,8.289306334778563e-11,4.777916822487091e-05,-0.14574300768010923,9.810386230524138
1988-07-12,1.9733680844361643,0.007632773866651695,0,,0.011597344863385066,8.289306334778563e-11,4.89701643192089e-05,-0.07619316136932658,8.68725444754862
1988-07-13,1.9856142349063512,0.012535197783470366,0,,0.011305500734485255,8.289306334778563e-11,3.317675082129204e-05,-0.04427742014247268,2.826201425867236
1988-07-14,1.9853954723260816,0.014799120930891507,0,,0.012440720209266622,8.289306334778563e-11,5.1795804041896425e-05,-0.10331566826110598,2.792775402280292
1988-07-15,1.9911763817687846,0.003739311754504805,0,,0.013341769141999965,8.289306334778563e-11,3.3036030932835707e-05,-0.10467036895600404,35.588961318299305
1988-07-18,2.1716288868430462,0.0010007960592403168,0,,0.01292468393447959,8.289306334778563e-11,1.530586260654732e-05,-0.06733197723011981,448.6733716776839
1988-07-19,2.168455619334994,0.016818586259927094,0,,0.013696094060803512,8.289306334778563e-11,8.589664987828942e-06,-0.10000199590152127,2.382742377364031
1988-07-20,2.2886083815880967,0.0010349800231423034,0,,0.013238010997494712,8.289306334778563e-11,2.1484987950411848e-05,-0.08528664102558077,483.5151938816692
1988-07-21,2.2565516530551006,0.009579635751386388,0,,0.012133329307540934,8.289306334778563e-11,4.782571665195264e-06,-0.12912247775951358,4.257294909839286
1988-07-22,2.2147773876672363,0.02122190482005988,0,,0.013518920212981178,8.289306334778563e-11,4.258021784882223e-05,-0.22585078513639117,1.8364404193544301
1988-07-25,2.2048493193411614,0.005620070484913362,0,,0.015184005193322766,8.289306334778563e-11,4.084667792091613e-05,-0.17724898564871377,27.153859027306805
1988-07-26,2.2347595606090422,0.015431263514630148,0,,0.01697832853584773,8.289306334778563e-11,1.612420568732556e-05,-0.2164455122519116,3.4138486440026425
1988-07-27,2.219307021982957,0.007550726311065445,0,,0.014816797256870276,8.289306334778563e-11,9.258552412201974e-06,-0.24780861819544062,15.239578243021642
1988-07-28,2.2298047600518394,0.011308907591824168,0,,0.015683444448703922,8.289306334778563e-11,2.2056757505004747e-05,-0.19637358769037433,7.0761853105271095
1988-07-29,1.6520159978146547,0.013032902423667971,0,,0.017861411360009134,8.289306334778563e-11,1.1826797919524102e-05,-0.23827806116949776,3.6764581807356858
1988-08-01,1.6209672002259468,0.010248286785225103,0,,0.016413280853093144,8.289306334778563e-11,2.5085659866058806e-06,-0.27648098070292376,6.645054459807203
1988-08-02,1.6549249859442035,0.0029944412099051063,0,,0.01590096548776658,8.289306334778563e-11,1.859216956676947e-05,-0.24412380006048115,52.27748826285264
1988-08-03,1.667836155768778,0.004463122837560435,0,,0.015780177523235635,8.289306334778563e-11,2.270539232499678e-05,-0.2567411037945235,21.670332534191235
1988-08-04,1.6384913756808788,0.007948230257629536,0,,0.013736823359207166,8.289306334778563e-11,1.9408119493940416e-06,-0.20917383274025844,5.808438820745571
1988-08-05,1.6417111631967243,0.009163465058580036,0,,0.013904585690436387,8.289306334778563e-11,3.02437345071344e-05,-0.2424646222461278,3.347148005579527
1988-08-08,1.6295711157326829,0.007019651213843515,0,,0.011803750117680067,8.289306334778563e-11,4.004805199287753e-05,-0.26722411022734865,4.572355102544813
1988-08-09,1.629589980486407,0.007363159812375897,0,,0.01252622498686391,8.289306334778563e-11,1.9164421488462108e-05,-0.222913946849707,4.990296798776451
