Date,Open,High,Low,Close,r_cc,r_overnight,r_intraday,r_range,r_high_open,r_low_open,r_close_open,r_open_close,abs_r_cc,daily_range_perc,volatility_parkinson,volatility_gk,volatility_rs,rv_10d,rv_22d,rv_100d,log_rv_10d,log_rv_22d,log_rv_100d,bpv_22d,log_bpv_22d,jump_component,log_jump
1988-02-02,125.7300033569336,125.94000244140624,125.3000030517578,125.94000244140624,0.0017484008070036,7.955566556883482e-05,0.0016688451414345,0.0050947361884362,0.0016688451414345995,-0.003425891047001601,0.0016688451414345995,-0.0016688451414346884,0.0017484008070036,0.005081780032092647,9.361769605985328e-06,1.1902321581228337e-05,1.745401109479926e-05,8.299835053030164e-05,0.0001652769681418751,0.000661803946891426,-9.396689811445613,-8.707887890479652,-7.32054119711011,0.00014916156539724495,-8.810480501252338,1.6115402744630157e-05,-11.0357349890467
1988-02-03,125.9499969482422,126.31999969482422,125.33000183105467,125.37999725341795,-0.0044565185063072,7.935612263638795e-05,-0.0045358746289436,0.007868094298194,0.0029333889627884795,-0.0049347053354057945,-0.004535874628943601,0.00453587462894351,0.0044565185063072,0.007895979306560061,2.2328197250713752e-05,2.300577247155147e-05,2.387836739524652e-05,2.4595491890499267e-05,0.00013970334326120367,0.0006603078019874122,-10.612947347645392,-8.875989353110267,-7.322804463496889,0.00013588839719268664,-8.903676610630324,3.814946068517026e-06,-12.476583767893693
1988-02-04,125.38999938964844,125.5999984741211,125.06999969482422,125.51000213623048,0.0010363497529949,7.977139506067771e-05,0.0009565783579343,0.0042286637646055,0.001673366550559808,-0.002555297214045606,0.0009565783579343303,-0.0009565783579343154,0.0010363497529949,0.004222761296120497,6.4494229131980634e-06,8.58732299243126e-06,1.0173335250530694e-05,2.316858796905435e-05,0.00011905184416833911,0.0006604186621654055,-10.672713120422562,-9.035951486047447,-7.3226365859217895,9.822036013943042e-05,-9.228297020517841,2.0831484028908687e-05,-10.77904501243814
1988-02-05,125.51000213623048,125.98999786376952,125.25,125.7699966430664,0.0020693616752565,0.0,0.0020693616752565,0.0058907818020082,0.0038170680742271564,-0.0020737137277811154,0.002069361675256553,-0.002069361675256647,0.0020693616752565,0.005883739234482301,1.2515852048492398e-05,1.5696443100444994e-05,1.5262666637144413e-05,1.8201042596341182e-05,0.00011685322269697626,0.0006604987910891241,-10.91403162506712,-9.054591909024689,-7.322515262786118,8.803134090024987e-05,-9.337817648937873,2.882188179672639e-05,-10.454375640008166
1988-02-08,125.7699966430664,125.7699966430664,124.94000244140624,125.26000213623048,-0.0040632212163745,0.0,-0.0040632212163745,0.0066211737619588,0.0,-0.0066211737619589015,-0.0040632212163745195,0.00406322121637457,0.0040632212163745,0.006626171064227542,1.5811916724034518e-05,1.5542341231491513e-05,1.693664827915925e-05,1.883871292685916e-05,0.00011370189339836774,0.0006604930246859937,-10.87959655405164,-9.081930495971317,-7.322523993200726,8.466723329964337e-05,-9.376781875309824,2.9034660098724372e-05,-10.447020231372171
1988-02-09,125.26000213623048,125.5199966430664,125.08000183105467,125.5199966430664,0.0020734875289265,0.0,0.0020734875289265,0.003511534451855,0.0020734875289265837,-0.001438046922928616,0.0020734875289265837,-0.002073487528926543,0.0020734875289265,0.0035053762251358203,4.447422766909231e-06,4.504622236055875e-06,5.0497513132481114e-06,1.605828883013954e-05,6.182661724349927e-05,0.0006606932247120196,-11.039285341408407,-9.691176570317875,-7.322220932179092,6.607842946326467e-05,-9.624668181102876,0.0,-27.631021115928547
1988-02-10,125.51000213623048,127.18000030517578,125.51000213623048,127.16000366210938,0.0129810831612619,-7.962798780868596e-05,0.0130607111490707,0.0132179545460644,0.013217954546064439,0.0,0.013060711149070736,-0.013060711149070599,0.0129810831612619,0.013133045933081532,6.301487161813385e-05,2.146222860292284e-05,2.0784360741308357e-06,2.820417466853902e-05,6.178468305043912e-05,0.0006631775081186443,-10.476040517629535,-9.691855055114825,-7.318467867386143,4.2541144070563244e-05,-10.06503883105179,1.9243538979875872e-05,-10.858335139012876
1988-02-11,127.16000366210938,128.22000122070312,127.16000366210938,128.02999877929688,0.006818437081753,0.0,0.006818437081753,0.0083013832376652,0.008301383237665294,0.0,0.0068184370817530315,-0.006818437081753138,0.006818437081753,0.008279290546749245,2.4855097730802402e-05,1.6497238145873618e-05,1.2310504361050173e-05,2.74806905443231e-05,5.5207525573613454e-05,0.0006638221109911801,-10.502026925558388,-9.804411263004916,-7.317496348008168,4.076215733716611e-05,-10.107756398676884,1.4445368236447345e-05,-11.145136662832625
1988-02-12,128.02999877929688,129.2100067138672,128.02999877929688,129.2100067138672,0.009174437771443,0.0,0.009174437771443,0.009174437771443,0.00917443777144304,0.0,0.00917443777144304,-0.009174437771443104,0.009174437771443,0.009132481025122265,3.0358021637657608e-05,9.570638693868543e-06,0.0,2.9499703210483703e-05,5.700865277408479e-05,0.0006651014675200561,-10.431130321432033,-9.772307481055325,-7.315570944707526,4.479234791424815e-05,-10.013473216292544,1.2216304859836641e-05,-11.312738952719219
1988-02-16,129.2100067138672,129.91000366210938,129.16000366210938,129.89999389648438,0.0053258369952671,0.0,0.0053258369952671,0.005789956953877,0.005402891502206895,-0.00038706545167013507,0.005325836995267115,-0.0053258369952671036,0.0053258369952671,0.005773672326710541,1.2091083419205347e-05,5.804739021943102e-06,2.627584306722667e-06,2.9959804535892658e-05,5.723608677898455e-05,0.000664902355253161,-10.41565389012762,-9.768325953288553,-7.31587036079141,4.811828431864201e-05,-9.941848300937362,9.11780246034254e-06,-11.605281631533378
