Date,Open,High,Low,Close,r_cc,r_overnight,r_intraday,r_range,r_high_open,r_low_open,r_close_open,r_open_close,abs_r_cc,daily_range_perc,volatility_parkinson,volatility_gk,volatility_rs,rv_10d,rv_22d,rv_100d,log_rv_10d,log_rv_22d,log_rv_100d,bpv_22d,log_bpv_22d,jump_component,log_jump
1993-03-04,139.05703735351562,140.23687744140625,138.87098693847656,140.06443786621094,0.0076427054172978,0.0004243078637768,0.0072183975535207,0.0097876239355061,0.008448784908357692,-0.001338839027148418,0.007218397553520774,-0.0072183975535207385,0.0076427054172978,0.009751872236365818,3.455167422938374e-05,2.7770821776905964e-05,2.1852040413722665e-05,1.7594642634176753e-05,2.934731960819124e-05,3.242863550659014e-05,-10.9479160412079,-10.436309306890115,-10.336468682729048,2.839309579459739e-05,-10.46936451295633,9.542238135938497e-07,-13.86236653959777
1993-03-05,141.06729125976562,142.15184020996094,140.9039306640625,141.3304901123047,0.0089984620412993,0.0071344323207424,0.0018640297205568,0.0088174682128127,0.007658764052396531,-0.0011587041604161448,0.0018640297205568535,-0.0018640297205569044,0.0089984620412993,0.008829726302560882,2.8041571784637278e-05,3.753165182837269e-05,4.788295731759569e-05,2.0673887323556872e-05,3.0858052949429877e-05,3.3037542837702003e-05,-10.78663908761467,-10.386112773632378,-10.317865951127384,3.319642151608867e-05,-10.313068443387374,0.0,-27.631021115928547
1993-03-08,141.34864807128906,142.5057830810547,141.00830078125,142.1563720703125,0.0058266142435424,0.0001284704568298,0.0056981437867127,0.0105638224758231,0.008153062221775649,-0.002410760254047579,0.005698143786712706,-0.005698143786712732,0.0058266142435424,0.010534049779098274,4.024915213914481e-05,4.32546418364553e-05,3.956372631580362e-05,2.0782318717124123e-05,3.1172595265162024e-05,3.310005041364295e-05,-10.781407946323212,-10.375971173936657,-10.315975722300198,3.686628894452618e-05,-10.208212976099265,0.0,-27.631021115928547
1993-03-09,142.68275451660156,143.3997344970703,142.6101531982422,143.25453186035156,0.0076953276427184,0.0036960023843213,0.0039993252583968,0.0055213706847009,0.005012410819500543,-0.0005089598652004044,0.003999325258396871,-0.00399932525839689,0.0076953276427184,0.005511736966184291,1.0995332265958144e-05,9.064142356160487e-06,7.37253721634616e-06,2.009474666773451e-05,2.5839979371785938e-05,3.309724176943504e-05,-10.815052087109628,-10.563587638655969,-10.316060579067964,3.891173932662491e-05,-10.154214544992323,0.0,-27.631021115928547
1993-03-10,142.7462921142578,144.4434356689453,142.68275451660156,144.4434356689453,0.0082649911408059,-0.0035541176002716,0.0118191087410776,0.0122643163992029,0.011819108741077614,-0.00044520765812533654,0.011819108741077614,-0.011819108741077514,0.0082649911408059,0.01218941618350254,5.4250187030353726e-05,2.1244754739819987e-05,5.46016758259727e-06,1.8426880888033896e-05,2.7257145619685042e-05,3.320290541427759e-05,-10.901699987355114,-10.510194809966652,-10.312873143274738,4.1660093533481156e-05,-10.085966852967408,0.0,-27.631021115928547
1993-03-11,144.70663452148438,145.0878143310547,144.32090759277344,144.69300842285156,0.0017263324702775,0.001820500510737,-9.416804045957271e-05,0.0052998301382779,0.0026306924160246032,-0.0026691377222532457,-9.416804045957273e-05,9.41680404594718e-05,0.0017263324702775,0.005300233554063912,1.0130676529589426e-05,1.4040674235757155e-05,1.4041218448932161e-05,1.9305470603267688e-05,2.5357483613939674e-05,3.2378195813241355e-05,-10.855121999472765,-10.582436620462108,-10.338025299553225,4.224949194447364e-05,-10.071918205547341,0.0,-27.631021115928547
1993-03-12,143.89889526367188,143.9397430419922,141.84326171875,142.33334350585938,-0.0164425186986703,-0.0055033779764514,-0.0109391407222188,0.0146721036410094,0.0002838241511629943,-0.014388279489846336,-0.010939140722218868,0.01093914072221893,0.0164425186986703,0.01472937592557771,7.764246587522009e-05,6.140947526196228e-05,5.281252106660793e-05,6.301502363076268e-05,4.275211545276896e-05,3.295974485161372e-05,-9.672137373803473,-10.06009185613986,-10.320223563765422,4.383786384794794e-05,-10.035012619796417,0.0,-27.631021115928547
1993-03-15,143.0866241455078,143.91705322265625,143.0866241455078,143.7582244873047,0.0099610958352892,0.0052784140844567,0.0046826817508324,0.0057869042113396,0.005786904211339636,0.0,0.00468268175083249,-0.0046826817508326376,0.0099610958352892,0.005776567428472747,1.2078336784176044e-05,8.273657335169442e-06,6.390029606964941e-06,6.83858326332529e-05,4.5425026052159724e-05,3.36599495384337e-05,-9.590344865411094,-9.999447348147605,-10.299201838649108,5.512849760379755e-05,-9.805843759475636,0.0,-27.631021115928547
1993-03-16,143.79452514648438,143.9578857421875,143.28628540039062,143.8172149658203,0.0004102609002717,0.0002524800017997,0.000157780898472,0.0046761719336231,0.001135424810161317,-0.0035407471234618275,0.00015778089847201166,-0.0001577808984719963,0.0004102609002717,0.004669818852746439,7.886703057473285e-06,1.092367525093536e-05,1.4205593607540081e-05,6.064675670310585e-05,4.563078948711094e-05,3.325916791211354e-05,-9.710444383144083,-9.994927839328625,-10.311180072121022,5.475377016058075e-05,-9.812664311994448,0.0,-27.631021115928547
1993-03-17,143.44964599609375,144.32545471191406,143.43150329589844,143.79452514648438,-0.0001577808984719,-0.0025590781275142,0.0024012972290423,0.0062132592594004,0.006086776914608857,-0.00012648234479168075,0.0024012972290423343,-0.0024012972290422085,0.0001577808984719,0.006216866845973107,1.392366286238773e-05,1.7074833803286746e-05,2.275241215698073e-05,6.205780455906329e-05,4.582480212027372e-05,3.3183997356827474e-05,-9.687444259558532,-9.990685060586552,-10.31344277543417,5.459084502636191e-05,-9.815644344463955,0.0,-27.631021115928547
1993-03-18,143.9034423828125,144.73385620117188,143.57217407226562,144.50697326660156,0.0049423924211292,0.0007571637885868,0.0041852286325423,0.0080587174310398,0.005754045742638802,-0.0023046716884009793,0.0041852286325423345,-0.004185228632542451,0.0049423924211292,0.008038934749280628,2.3423209548686074e-05,2.5705077705699492e-05,2.398413494355191e-05,6.023658412370244e-05,3.945367105802778e-05,3.3314459672699345e-05,-9.717230663932998,-10.14038343368536,-10.309519000803629,5.4131319686715435e-05,-9.824097599028574,0.0,-27.631021115928547
