Date,Open,High,Low,Close,r_cc,r_overnight,r_intraday,r_range,r_high_open,r_low_open,r_close_open,r_open_close,abs_r_cc,daily_range_perc,volatility_parkinson,volatility_gk,volatility_rs,rv_10d,rv_22d,rv_100d,log_rv_10d,log_rv_22d,log_rv_100d,bpv_22d,log_bpv_22d,jump_component,log_jump
1992-05-26,3386.800048828125,3386.800048828125,3356.43994140625,3364.199951171875,-0.0066953583416636,0.0,-0.0066953583416636,0.0090046661868314,0.0,-0.009004666186831491,-0.0066953583416636585,0.006695358341663624,0.0066953583416636,0.00902446580539883,2.9244875911766783e-05,2.322527119706945e-05,2.07945462683683e-05,2.636211931707674e-05,3.678983744975402e-05,4.704486374287347e-05,-10.543582414649944,-10.210288880002814,-9.964408842568165,4.1877306968437545e-05,-10.080766453673675,0.0,-27.631021115928547
1992-05-27,3364.199951171875,3380.330078125,3360.070068359375,3370.39990234375,0.0018412238464855,0.0,0.0018412238464855,0.0060115335408028,0.004783182115358991,-0.001228351425443855,0.0018412238464855617,-0.0018412238464855198,0.0018412238464855,0.006011159017520843,1.3034221492109399e-05,1.675968921331347e-05,1.784243933658989e-05,2.6103264477938933e-05,3.410662425592356e-05,4.6318001035007325e-05,-10.553450137364464,-10.286018903516455,-9.979979859589085,4.1245952981338884e-05,-10.095957535295137,0.0,-27.631021115928547
1992-05-28,3370.39990234375,3398.429931640625,3368.6201171875,3398.39990234375,0.0082733011814856,0.0,0.0082733011814856,0.0088103404179983,0.00828213744710013,-0.0005282029708982865,0.008273301181485665,-0.008273301181485535,0.0082733011814856,0.008771720606679126,2.799625406335442e-05,1.2370161052417793e-05,4.722163808001283e-06,3.341881698368195e-05,3.435246588732052e-05,4.690932255190619e-05,-10.306391403953867,-10.278836725649818,-9.967294105853519,3.923100313887791e-05,-10.146043201871615,0.0,-27.631021115928547
1992-05-29,3398.39990234375,3420.2099609375,3396.10009765625,3396.89990234375,-0.0004414816321506,0.0,-0.0004414816321506,0.0070741980985727,0.006397237387606841,-0.0006769607109658441,-0.00044148163215061037,0.0004414816321505635,0.0004414816321506,0.007097607811350279,1.8049658189990245e-05,2.4946848267998037e-05,4.3908319081142964e-05,2.753027833088505e-05,3.448455956345615e-05,4.691235457050269e-05,-10.500224092443323,-10.274998853993697,-9.967229472207524,3.9057887880594245e-05,-10.15046568209226,0.0,-27.631021115928547
1992-06-01,3396.89990234375,3413.469970703125,3373.030029296875,3413.199951171875,0.0047870311172915,0.0,0.0047870311172915,0.0119179017363972,0.004866138364157414,-0.007051763372239955,0.004787031117291544,-0.00478703111729145,0.0047870311172915,0.011848102069837867,5.1228795911597864e-05,6.216599798751667e-05,8.386932416161004e-05,2.4875660456893885e-05,3.3119496437488325e-05,4.708083391519769e-05,-10.601620684041244,-10.31538840255122,-9.963644541761777,3.865923766769399e-05,-10.160724777401953,0.0,-27.631021115928547
1992-06-02,3413.199951171875,3420.469970703125,3392.72998046875,3396.10009765625,-0.0050225101961065,0.0,-0.0050225101961065,0.0081430586855507,0.0021277065931074356,-0.006015352092443359,-0.005022510196106598,0.005022510196106551,0.0050225101961065,0.008168189816760464,2.3916062351561596e-05,2.3410191993125565e-05,2.1185856983153262e-05,2.564632251781745e-05,3.242555910670094e-05,4.7386738013037066e-05,-10.571110329259296,-10.336563553995742,-9.957168136062961,3.616504905838356e-05,-10.22741737349743,0.0,-27.631021115928547
1992-06-03,3396.10009765625,3422.280029296875,3389.360107421875,3407.0,0.003204395500317,0.0,0.003204395500317,0.0096658594757473,0.007679260999792542,-0.001986598475954887,0.003204395500317085,-0.003204395500317071,0.003204395500317,0.009662436711182859,3.369733082136308e-05,4.274789105649352e-05,4.467608083139114e-05,2.2413152375880858e-05,2.9969147241895018e-05,4.731583910147813e-05,-10.705862567159857,-10.415342097396758,-9.958665432661798,3.351706476248081e-05,-10.303455823100801,0.0,-27.631021115928547
1992-06-04,3407.0,3410.10009765625,3392.469970703125,3399.699951171875,-0.0021449606062746,0.0,-0.0021449606062746,0.0051833840001692,0.0009095063371642834,-0.004273877663005186,-0.0021449606062746403,0.0021449606062747257,0.0021449606062746,0.005185789100902244,9.690391321907413e-06,1.165645011652658e-05,1.1876788096867794e-05,2.2798621827612965e-05,2.3604016235448156e-05,4.714230276044299e-05,-10.688810426125848,-10.65409363857778,-9.962339791042803,2.787042580472513e-05,-10.487944402460474,0.0,-27.631021115928547
1992-06-05,3399.699951171875,3403.10009765625,3392.469970703125,3398.699951171875,-0.0002941868738458,0.0,-0.0002941868738458,0.0031285486034778,0.0009996315467474424,-0.0021289170567305228,-0.0002941868738458194,0.0002941868738458847,0.0002941868738458,0.003127703859076975,3.530208532485342e-06,4.860475982545913e-06,5.1993300898295135e-06,2.024529033374198e-05,2.1935910021072176e-05,4.377069589420573e-05,-10.807588318179048,-10.727385491449398,-10.036545985156309,2.295679758391213e-05,-10.681896430733403,0.0,-27.631021115928547
1992-06-08,3398.699951171875,3404.1298828125,3391.68994140625,3404.10009765625,0.0015876249720393,0.0,0.0015876249720393,0.0036610609529912,0.0015963747223664787,-0.002064686230624669,0.0015876249720393318,-0.001587624972039198,0.0015876249720393,0.003654399415227243,4.834242884277907e-06,5.728008219927979e-06,7.554844530346025e-06,1.9986860573342386e-05,2.1700809604602104e-05,4.367154768183299e-05,-10.820435421610526,-10.738160943064754,-10.038813727806557,2.18120828483626e-05,-10.733046436768722,0.0,-27.631021115928547
