Date,Open,High,Low,Close,r_cc,r_overnight,r_intraday,r_range,r_high_open,r_low_open,r_close_open,r_open_close,abs_r_cc,daily_range_perc,volatility_parkinson,volatility_gk,volatility_rs,rv_10d,rv_22d,rv_100d,log_rv_10d,log_rv_22d,log_rv_100d,bpv_22d,log_bpv_22d,jump_component,log_jump
1988-05-26,1046.6199951171875,1046.6199951171875,1046.6199951171875,1046.6199951171875,0.0028800771918696,0.0028800771918696,0.0,0.0,0.0,0.0,0.0,0.0,0.0028800771918696,0.0,0.0,0.0,0.0,0.00030681913772444616,0.00017612805977023057,0.00023544350141959663,-8.089252108655275,-8.644299209499097,-8.354039578089576,0.00013605915420021746,-8.902420802090468,4.006890557001311e-05,-10.124909921684225
1988-05-27,1054.9200439453125,1054.9200439453125,1054.9200439453125,1054.9200439453125,0.007899056720942,0.007899056720942,0.0,0.0,0.0,0.0,0.0,0.0,0.007899056720942,0.0,0.0,0.0,0.0,0.0002612642848630141,0.0001796342046762754,0.00021035762304177962,-8.249978073451059,-8.624587965462702,-8.466701504031295,0.00013767686926090337,-8.89060113830002,4.1957335415372036e-05,-10.078857255589003
1988-05-30,1064.6099853515625,1064.6099853515625,1064.6099853515625,1064.6099853515625,0.0091435448258544,0.0091435448258544,0.0,0.0,0.0,0.0,0.0,0.0,0.0091435448258544,0.0,0.0,0.0,0.0,0.0002573042604073549,0.0001763778714199468,0.00019509282048296863,-8.265251276795244,-8.642881862056033,-8.54203510505124,0.00014263506433749107,-8.855221180230117,3.3742807082455734e-05,-10.29674325720662
1988-05-31,1075.6600341796875,1075.6600341796875,1075.6600341796875,1075.6600341796875,0.0103259372989219,0.0103259372989219,0.0,0.0,0.0,0.0,0.0,0.0,0.0103259372989219,0.0,0.0,0.0,0.0,0.0001059538688322529,0.00018079879442033537,0.00019517415993246847,-9.152506748836737,-8.618125772526538,-8.541618265019455,0.00014888205708874405,-8.812356121916423,3.1916737331591315e-05,-10.35237997319792
1988-06-01,1095.4300537109375,1095.4300537109375,1095.4300537109375,1095.4300537109375,0.0182125708288759,0.0182125708288759,0.0,0.0,0.0,0.0,0.0,0.0,0.0182125708288759,0.0,0.0,0.0,0.0,0.00012510491065831098,0.00019421795147658497,0.0001976734488375277,-8.986357879405134,-8.54652956314287,-8.528894132013356,0.00016216016164972982,-8.72692605280099,3.2057789826855145e-05,-10.347970320616385
1988-06-03,1102.030029296875,1102.030029296875,1102.030029296875,1102.030029296875,0.0060069308950438,0.0060069308950438,0.0,0.0,0.0,0.0,0.0,0.0,0.0060069308950438,0.0,0.0,0.0,0.0,0.00011799335571906096,0.00018975124940889652,0.0001966787053767274,-9.044882234074466,-8.569796551940042,-8.5339390927417,0.00016767062747806335,-8.69350904771799,2.2080621930833173e-05,-10.720810124506189
1988-06-06,1105.9100341796875,1105.9100341796875,1105.9100341796875,1105.9100341796875,0.0035145961984545,0.0035145961984545,0.0,0.0,0.0,0.0,0.0,0.0,0.0035145961984545,0.0,0.0,0.0,0.0,2.6066728659052893e-05,0.0001897540001542708,0.00018073125643390173,-10.554850782496331,-8.56978205545883,-8.61849939561367,0.00016702961695014195,-8.69733940827784,2.2724383204128837e-05,-10.692072015995986
1988-06-07,1101.1300048828125,1101.1300048828125,1101.1300048828125,1101.1300048828125,-0.0043316266911706,-0.0043316266911706,0.0,0.0,0.0,0.0,0.0,0.0,0.0043316266911706,0.0,0.0,0.0,0.0,3.979676482515764e-05,0.0001829023436795782,0.0001809997745846168,-10.13172490965014,-8.60655818318774,-8.617014766563212,0.00016528499099909436,-8.707839349763152,1.7617352680483848e-05,-10.946626137130435
1988-06-08,1097.6700439453125,1097.6700439453125,1097.6700439453125,1097.6700439453125,-0.0031471381812117,-0.0031471381812117,0.0,0.0,0.0,0.0,0.0,0.0,0.0031471381812117,0.0,0.0,0.0,0.0,4.61196170515297e-05,0.00018364107951063233,0.00017592916940329197,-9.984272144221089,-8.602527354748284,-8.645429084817577,0.0001612568160426259,-8.732512326948669,2.238426346800644e-05,-10.707152325064197
1988-06-09,1125.6600341796875,1125.6600341796875,1125.6600341796875,1125.6600341796875,0.0251797691643666,0.0251797691643666,0.0,0.0,0.0,0.0,0.0,0.0,0.0251797691643666,0.0,0.0,0.0,0.0,8.121537767315505e-05,0.00020619588236669043,0.00018107677657817605,-9.418405936202602,-8.486683950854756,-8.616589431124906,0.00016576553479329023,-8.70493620301445,4.04303475734002e-05,-10.115929852696517
1988-06-10,1115.780029296875,1115.780029296875,1115.780029296875,1115.780029296875,-0.0088158224992685,-0.0088158224992685,0.0,0.0,0.0,0.0,0.0,0.0,0.0088158224992685,0.0,0.0,0.0,0.0,0.00010708007879919832,0.00020801662757773137,0.00017616622778799803,-9.141933594082682,-8.477892536373147,-8.64408252691838,0.00018028660517642773,-8.620962716834791,2.773002240130364e-05,-10.492994854438507
1988-06-13,1122.260009765625,1122.260009765625,1122.260009765625,1122.260009765625,0.0057907798461823,0.0057907798461823,0.0,0.0,0.0,0.0,0.0,0.0,0.0057907798461823,0.0,0.0,0.0,0.0,0.00010682167420318075,0.0001945052832078501,0.00015062565166466533,-9.144349700689373,-8.545051227111067,-8.80071292068532,0.00017720430722947903,-8.6382072072814,1.7300975978371078e-05,-10.964747585316854
1988-06-14,1117.8399658203125,1117.8399658203125,1117.8399658203125,1117.8399658203125,-0.003946296798974,-0.003946296798974,0.0,0.0,0.0,0.0,0.0,0.0,0.003946296798974,0.0,0.0,0.0,0.0,0.00011535868877699668,0.00018300000419648453,0.0001448998674064595,-9.067464242181137,-8.606024376726763,-8.839467616806031,0.00016633441682009628,-8.701510230941622,1.666558737638824e-05,-11.002164540713911
1988-06-15,1134.02001953125,1134.02001953125,1134.02001953125,1134.02001953125,0.014370637843852,0.014370637843852,0.0,0.0,0.0,0.0,0.0,0.0,0.014370637843852,0.0,0.0,0.0,0.0,0.00012189050493290228,0.00016581829972906598,0.00014176161207024796,-9.012387408571676,-8.704617943012547,-8.861363692290697,0.0001554731443140812,-8.76903754020398,1.0345155414984793e-05,-11.478992127017873
1988-06-16,1124.1400146484375,1124.1400146484375,1124.1400146484375,1124.1400146484375,-0.0087505471512734,-0.0087505471512734,0.0,0.0,0.0,0.0,0.0,0.0,0.0087505471512734,0.0,0.0,0.0,0.0,0.00011712266065729262,0.0001730574207654799,0.00014104438422637408,-9.052288782110487,-8.661887100819458,-8.866435928282185,0.00015025570870777282,-8.803171983888143,2.280171205770707e-05,-10.688674890716346
1988-06-20,1104.699951171875,1104.699951171875,1104.699951171875,1104.699951171875,-0.0174445512103435,-0.0174445512103435,0.0,0.0,0.0,0.0,0.0,0.0,0.0174445512103435,0.0,0.0,0.0,0.0,0.0001542977641203983,0.0001262757621175084,0.00014192990713905103,-8.776626282689694,-8.977042446329996,-8.860177226880465,0.00012382641013012173,-8.996629883389984,2.4493519873866555e-06,-12.91968665506565
1988-06-21,1119.56005859375,1119.56005859375,1119.56005859375,1119.56005859375,0.0133620426162266,0.0133620426162266,0.0,0.0,0.0,0.0,0.0,0.0,0.0133620426162266,0.0,0.0,0.0,0.0,0.0001711565202482747,0.00013009727862633552,0.00014307342930443688,-8.672932091182414,-8.947228082531181,-8.852152560867248,0.00013134690856403915,-8.93766857036198,0.0,-27.631021115928547
1988-06-22,1137.22998046875,1137.22998046875,1137.22998046875,1137.22998046875,0.0156596605442605,0.0156596605442605,0.0,0.0,0.0,0.0,0.0,0.0,0.0156596605442605,0.0,0.0,0.0,0.0,0.00018642865476052023,0.00013511414263233453,0.00014489733880844994,-8.587461934907616,-8.909390628379045,-8.839485067616032,0.0001456213695655657,-8.83450065710981,0.0,-27.631021115928547
1988-06-23,1135.77001953125,1135.77001953125,1135.77001953125,1135.77001953125,-0.0012846116482817,-0.0012846116482817,0.0,0.0,0.0,0.0,0.0,0.0,0.0012846116482817,0.0,0.0,0.0,0.0,0.00018413780728099147,0.00010302362994086217,0.00014385819104154791,-8.599826122635541,-9.180552169438586,-8.846682521089452,0.00014226853902894767,-8.857794159327932,0.0,-27.631021115928547
1988-06-24,1131.18994140625,1131.18994140625,1131.18994140625,1131.18994140625,-0.0040407280549115,-0.0040407280549115,0.0,0.0,0.0,0.0,0.0,0.0,0.0040407280549115,0.0,0.0,0.0,0.0,0.00012817445552197387,0.00010469887299773067,0.00013795005064508184,-8.962118280428532,-9.16442219470406,-8.888618882925682,0.00012564469513020682,-8.982052506324361,0.0,-27.631021115928547
1988-06-27,1138.8399658203125,1138.8399658203125,1138.8399658203125,1138.8399658203125,0.0067400463317883,0.0067400463317883,0.0,0.0,0.0,0.0,0.0,0.0,0.0067400463317883,0.0,0.0,0.0,0.0,0.00012020384309367091,0.00010429641544034043,0.0001380392531951705,-9.026321555561973,-9.168273554742047,-8.887972462565855,0.00012715091063935654,-8.97013589632746,0.0,-27.631021115928547
1988-06-28,1124.72998046875,1124.72998046875,1124.72998046875,1124.72998046875,-0.0124671809983293,-0.0124671809983293,0.0,0.0,0.0,0.0,0.0,0.0,0.0124671809983293,0.0,0.0,0.0,0.0,0.00013834392147769187,0.00011456488809090153,0.0001379450078096339,-8.88576778129983,-9.074369178542282,-8.888655439110778,0.00013269053895678177,-8.927490908113922,0.0,-27.631021115928547
1988-06-29,1133.52001953125,1133.52001953125,1133.52001953125,1133.52001953125,0.0077848630179562,0.0077848630179562,0.0,0.0,0.0,0.0,0.0,0.0,0.0077848630179562,0.0,0.0,0.0,0.0,0.00014124511021933517,0.00011541430362079398,0.0001382475481940696,-8.865013799373259,-9.066982254719656,-8.886464645067463,0.0001373038406705843,-8.893314265460996,0.0,-27.631021115928547
1988-06-30,1133.81005859375,1133.81005859375,1133.81005859375,1133.81005859375,0.0002558419410392,0.0002558419410392,0.0,0.0,0.0,0.0,0.0,0.0,0.0002558419410392,0.0,0.0,0.0,0.0,0.00012046180547005292,0.00011495890170096968,0.00013583452706641673,-9.024177814030354,-9.070935861289776,-8.904073118409165,0.00013582170875398362,-8.9041674899763,0.0,-27.631021115928547
1988-07-01,1153.6800537109375,1153.6800537109375,1153.6800537109375,1153.6800537109375,0.0173731853823687,0.0173731853823687,0.0,0.0,0.0,0.0,0.0,0.0,0.0173731853823687,0.0,0.0,0.0,0.0,0.00013801491579156332,0.0001226345732267879,0.00013550351297713446,-8.888148785956176,-9.006301565843945,-8.906512984570197,0.00013098218596348276,-8.940449221386878,0.0,-27.631021115928547
