ticker,model,horizon,rmse,mae,qlike,mase,hit_rate,mz_alpha,mz_beta,mz_r2,mz_alpha_p,mz_beta_p,dm_stat,dm_p,jb_p,ljungbox_p,bp_p,tail_corr,tail_corr_p,beta_stability,ceq_gain_bps,enc_beta2,enc_beta2_p,n_params,param_sample_ratio
NASDAQ,HAR-X,1,0.0005941184595544614,0.0001682674350457616,3.237308943645021,0.839200708081408,0.75,-0.10542528154457195,0.9965436384948427,0.12045690984264601,0.8449732224248784,7.7380035861889115e-78,-1.2583099614998616,0.20838771864960792,0.0,3.310752801110157e-99,9.427612317829959e-70,0.3681515467384796,3.724278158602637e-10,64.39286099152152,-6725.715088615144,1.7255024541574042e-08,6.727722225860611e-21,13,0.0011948529411764707
NASDAQ,HAR-X,5,0.0004385707072616887,0.00011657566780133439,0.4761955701065507,0.7170824347501522,0.8176470588235294,-0.3517392043293278,0.9613217739483085,0.45029121346766243,0.06502883652412143,0.0,0.2357504052591697,0.8136441094551845,0.0,0.0,6.297677052849994e-119,0.23554934321159626,8.773763342732241e-05,46.552611831625285,-739.6827988284282,1.888450414596181e-08,1.4106845077236808e-51,13,0.0011948529411764707
NASDAQ,HAR-X,10,0.00036694169316093715,0.00010966294907155128,0.3804043979638674,0.7047057166643567,0.8125,-0.8538767695225172,0.9042424646221988,0.4662568806695936,6.812201729492407e-07,0.0,-0.1177245736074933,0.9062945905758899,0.0,0.0,7.287196254855778e-107,0.3364409629875225,1.2711244131887012e-08,61.2618670758926,-376.4241225483755,1.728665097707958e-08,2.466861076036661e-53,13,0.0011948529411764707
NASDAQ,HAR-X,21,0.0003076738779905554,0.00010852566662347786,0.3932031652529883,0.7229657582864747,0.8077205882352941,-1.5389415205517543,0.8259747827094225,0.4185500406442001,4.406743166013298e-19,2.17e-322,-0.4065058211877179,0.684402973286435,0.0,0.0,1.4052814511385555e-72,0.3211542635788348,6.081938324460769e-08,174.44661184566647,-423.4659315859339,1.6650919848870028e-08,1.2036389094174824e-55,13,0.0011948529411764707
NASDAQ,HAR-X,63,0.0002424644746831231,0.00011216280131349525,0.5473763440408942,0.7813047931964678,0.7136029411764706,-3.5099413326035336,0.6025486725991989,0.22474949948491296,1.0406080148361598e-68,1.8202462717254422e-152,1.377122770058579,0.1685876539637221,0.0,0.0,1.5052612736625297e-71,-0.4266989793362703,1.8423321298195446e-13,160.72441654826963,-398.3771622344102,2.1535741374666656e-08,5.576256595764896e-124,13,0.0011948529411764707
NASDAQ,HAR-X,100,0.00021141031741500564,0.00011020083201800107,0.5442866374165781,0.7840512023580248,0.6827205882352941,-4.662105385341338,0.4697607554024658,0.13475787739126321,9.243055982139265e-104,1.5454357881344052e-87,1.9424607430176941,0.05218447051937791,0.0,0.0,2.331696761991904e-109,-0.36111733935697465,8.431240013859068e-10,184.28510042070863,-481.03670361718036,2.357430671513825e-08,8.918806441493313e-174,13,0.0011948529411764707
EUROSTOXX50,HAR-X,1,0.00031829173919305,0.00011700810795833577,3.2681435917029225,0.44845326215811665,0.8465845464725644,-1.9450513990895293,0.8125766153223298,0.0621352706152426,0.0838492850868022,4.088995436459972e-14,-1.5888423146970019,0.11245035655740376,0.0,4.875206991684429e-17,3.7239708478504247e-11,0.35705642671934806,0.0005511129889340294,236.11690199378117,-8412.974236508868,1.0728539104941236e-08,5.747907802569525e-05,13,0.0036434977578475337
EUROSTOXX50,HAR-X,5,0.00016457416064040827,8.107873114319698e-05,0.477338025956083,0.4140296389792365,0.8622620380739082,-1.654516273841594,0.832014495999616,0.24220382526096285,0.00040427784158683823,1.1854367245742575e-55,-3.802327916565308,0.0001530949388106606,0.0,1.7061449365237308e-203,3.073921272865953e-10,0.3420586903732971,0.0009674406080923549,10.147734106218527,-5261.80987328774,6.381326539033649e-09,0.00013356643540790247,13,0.0036434977578475337
EUROSTOXX50,HAR-X,10,0.0001432375711804711,7.522458637715528e-05,0.3038109275985971,0.41214974611198796,0.8566629339305711,-1.9776831415629443,0.7944957258653824,0.27790573108336414,8.33198470537626e-07,5.096330644465111e-65,-4.412167912196034,1.1484676164963403e-05,0.0,0.0,1.00683881619061e-13,0.15566530847429721,0.14290048889388668,19.24843955584364,-4686.14751562763,8.616807852755197e-09,7.222224229989256e-08,13,0.0036434977578475337
EUROSTOXX50,HAR-X,21,0.00011989128680476258,6.986499308239195e-05,0.2171975104033044,0.40512077056303447,0.8275475923852184,-2.2852184196183236,0.7606705526205784,0.24730682217419275,2.6471283712693628e-08,5.782337981527883e-57,-4.623507385483148,4.3300836127802e-06,0.0,0.0,2.209404148626548e-23,0.018315018315018316,0.8639587174379864,61.58608160493093,-4290.685589221493,1.1358268606116755e-08,1.4382039434491334e-13,13,0.0036434977578475337
EUROSTOXX50,HAR-X,63,8.364026425951795e-05,5.8080154165763556e-05,0.14653611979066627,0.3762760683564057,0.8197088465845465,-2.1673161181909313,0.7800925732318077,0.24546750781594795,1.8021614009713444e-07,1.7215719100450176e-56,-5.951974029172987,3.804652815020404e-09,3.8005710384267523e-112,0.0,4.580390620794697e-49,0.45389142692513473,7.0182700658503715e-06,120.82849313908588,-3676.3300925543485,1.0842613019524917e-08,2.529517296698894e-15,13,0.0036434977578475337
EUROSTOXX50,HAR-X,100,7.314509998620656e-05,5.5355087607041583e-05,0.1290819127408305,0.3853127788503454,0.8801791713325868,-2.373576862299376,0.7656313556329807,0.20523329798973855,1.6190428527945842e-07,2.1167135733425186e-46,-7.936327412977817,6.217248937900877e-15,2.412378450847921e-125,0.0,1.1498600179605424e-69,-0.32885541424867265,0.0015524335879484482,157.54366074248782,-3318.585182215841,9.527117317713108e-09,1.6249320176997623e-12,13,0.0036434977578475337
CAC40_FRANCE,HAR-X,1,0.0005704755512841291,0.0001326034092219656,3.2323956828543032,0.6132554908210048,0.8408577878103838,0.6933462927903496,1.0692120368096503,0.10711668200252022,0.3740157434698267,1.6378023485118367e-45,-1.546941077029843,0.12205612050952075,0.0,1.1793627754373468e-100,1.2588512234063643e-08,0.40739140935113183,1.6639485476598268e-08,358.9174506883801,-8180.568187449907,-7.40694564087478e-10,0.8006841239023939,13,0.0018343445745731622
CAC40_FRANCE,HAR-X,5,0.0003024807441144005,9.447770887266727e-05,0.5394264462963106,0.6133197465627898,0.8679458239277652,-0.6357026077341545,0.94440937192391,0.3168000976687886,0.042476065238544275,1.2640713425199923e-148,-2.3170269880166203,0.020615822957856356,0.0,0.0,8.946258803328405e-43,0.49638962091817573,1.8358555835679223e-12,51.48604925580512,-4294.744392333299,9.175945176713606e-09,2.601543602676284e-09,13,0.0018343445745731622
CAC40_FRANCE,HAR-X,10,0.000263133530623926,8.886140015725461e-05,0.40701323661037786,0.6316412153610199,0.8797968397291196,-1.3402037465615768,0.8665826279841926,0.31840249897115025,2.1796463141236185e-06,1.5781615962726414e-149,-2.2961902455801058,0.0217812990290438,0.0,0.0,2.6724721467615323e-39,0.527357917459723,3.944424512094197e-14,18.12724048876414,-3787.1890530781898,7.2600523947199774e-09,2.437944334769334e-07,13,0.0018343445745731622
CAC40_FRANCE,HAR-X,21,0.0002407749093657887,8.702830653710556e-05,0.3894301495106613,0.6602744853233748,0.8527088036117382,-2.4725576552581043,0.7403978131646092,0.25161539237751074,3.123682995211026e-18,1.50413484200748e-113,-2.6696403790486194,0.00766264419492102,0.0,0.0,7.014261718655519e-25,0.19542433524234282,0.008944404501065225,52.45403032705289,-3534.296548294775,9.36290796911775e-09,2.3842613116494845e-11,13,0.0018343445745731622
CAC40_FRANCE,HAR-X,63,0.00018432189847288644,8.022378676252828e-05,0.42348625846997695,0.6782937727636021,0.804176072234763,-3.768120902870652,0.592906461958967,0.15412210249698644,1.9686801249250943e-34,2.2383037162265408e-66,-1.2150474663990518,0.22450995119766004,0.0,0.0,0.00044868564307625906,-0.3120203760071239,2.2363778110925182e-05,74.58721850154342,-3273.106714097339,1.2720163211600187e-08,6.539449589638248e-20,13,0.0018343445745731622
CAC40_FRANCE,HAR-X,100,0.00016430838955051524,8.161383735378567e-05,0.4354704836161737,0.7326521337013167,0.8188487584650113,-5.463090960178556,0.40412429935150485,0.06476346224204166,6.225270687001759e-57,1.3622412394697032e-27,0.0024296130556561574,0.9980617247948582,0.0,0.0,7.711538199834819e-07,-0.3063369680050302,3.200968621562561e-05,133.05594692587428,-3132.4046108678526,1.8247446163146752e-08,2.1433159142788304e-37,13,0.0018343445745731622
DAX_GERMANY,HAR-X,1,0.0005795989772578374,0.00013811798767962124,3.5258759344678317,0.5937822049080974,0.8340448239060833,-1.3797439526984883,0.8742447848183211,0.07001247983470649,0.07749903566321381,2.161228371421999e-31,-0.99627892545782,0.3192433305887248,0.0,3.5527173602076437e-85,5.051421814979692e-10,0.34162833411894733,1.601935483052189e-06,631.437607379062,-8209.566513571883,1.3989453081664595e-08,1.3035145222816614e-06,13,0.0017344896597731821
DAX_GERMANY,HAR-X,5,0.0002874072817253078,9.907818553659828e-05,0.5246645342431595,0.574557511848409,0.8644610458911419,-0.6711095201243886,0.9396072112705506,0.268168168085116,0.04792027125176118,4.3638335111247363e-129,-2.2480672249657494,0.02468779390397935,0.0,0.0,3.600051180877077e-37,0.5160472957719515,3.473111383631038e-14,338.9797156180265,-4675.370350893774,7.94581360132181e-09,3.766382870455425e-07,13,0.0017344896597731821
